search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2
https://www.tasteatlas.com/si-htamin,https://cdn.tasteatlas.com//images/dishes/cc13a7e333594cc1ae92cbab4af8513d.jpg?mw=660,11,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Si htamin,n/a,"Si htamin is a traditional dish originating from Myanmar (Burma). The dish is usually made with a combination of glutinous rice, thinly sliced onions, turmeric, oil, and salt. The onions are sautéed in oil, sprinkled with turmeric, and remo...",https://www.tasteatlas.com/si-htamin/wheretoeat,https://www.tasteatlas.com/glutinous-rice,https://cdn.tasteatlas.com/images/ingredientgroups/a1799e6fcf0b4167830830ecd6ae6ec9.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,
https://www.tasteatlas.com/bazun-hin,https://cdn.tasteatlas.com//images/dishes/c6cec620efa342338bc67c72f787086c.jpg?mw=660,12,Stew,https://www.tasteatlas.com/Stews,Burmese Prawn Curry (Bazun hin),n/a,"Bazun hin is a traditional prawn curry originating from Myanmar (Burma). The curry is usually made with a combination of prawns, garlic, onions, lemon juice, turmeric, salt, oil, paprika, chili powder, stock or coconut milk, and fish sauce. The on...",https://www.tasteatlas.com/bazun-hin/wheretoeat,https://www.tasteatlas.com/prawns,https://cdn.tasteatlas.com/images/ingredientgroups/f8c173a0e0e547ae889f483169ce22f8.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/fish-sauces,https://cdn.tasteatlas.com/images/ingredientgroups/1e20b1af90c8483681f1e48f8b082f11.png?h=120&w=120,
https://www.tasteatlas.com/samusa,https://cdn.tasteatlas.com//images/dishes/3a9495497d3b48068e284ef5904339db.jpg?mw=660,13,Soup,https://www.tasteatlas.com/Soups,Samusa,n/a,"Samusa is a traditional soup originating from Myanmar. It consists of a flaky samosa pastry that's dunked in a spicy lentil soup and served with shredded cabbage. Although there are many variations on the soup, it's usually prepared with a combina...",https://www.tasteatlas.com/samusa/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/shwe-yin-aye,https://cdn.tasteatlas.com//images/dishes/c79e5fd832b24dc791b19d02af952060.jpg?mw=660,14,Dessert,https://www.tasteatlas.com/Desserts,Shwe yin aye,n/a,"Shwe yin aye is a traditional Burmese cold dessert, meaning , hinting at its refreshing nature. Sweet, creamy, and rich, this specialty is made by combining steamed sticky rice, sago or tapioca pearls, tapioca sticks, c...",https://www.tasteatlas.com/shwe-yin-aye/wheretoeat,,,,,,,,,,,,,golden heart cooler
https://www.tasteatlas.com/mont-lone-yay-paw,https://cdn.tasteatlas.com//images/dishes/30dec80d19f44a9297cd0e30e6418f06.jpg?mw=660,15,Dumplings,https://www.tasteatlas.com/Dumplings,Mont lone yay paw,n/a,"Mont lone yay paw, meaning , is a traditional Burmese sweet snack made by combining glutinous rice flour, rice flour, water, and salt. The combination is shaped into smooth balls, which are then typically filled wi...",https://www.tasteatlas.com/mont-lone-yay-paw/wheretoeat,https://www.tasteatlas.com/glutinous-rice,https://cdn.tasteatlas.com/images/ingredientgroups/a1799e6fcf0b4167830830ecd6ae6ec9.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/jaggeries,https://cdn.tasteatlas.com/images/ingredientgroups/8bbe745fd5de4d9590e8a9b8f16bafec.png?h=120&w=120,https://www.tasteatlas.com/palm-sugars,https://cdn.tasteatlas.com/images/ingredientgroups/e1441990dd6d498697a3bd28ff42c165.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,round snack on the water
https://www.tasteatlas.com/kyauk-kyaw,https://cdn.tasteatlas.com//images/dishes/c45f09005e87434ab9da284856e85016.jpg?mw=660,16,Dessert,https://www.tasteatlas.com/Desserts,Kyauk kyaw,n/a,"Kyauk kyaw is a simple Burmese dessert consisting of coconut milk, agar-agar (strands or powder), water, sugar, and salt. The ingredients are boiled and then simmered before the mixture is allowed to set at room temperature. Once set, the combinat...",https://www.tasteatlas.com/kyauk-kyaw/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sanwin-makin,https://cdn.tasteatlas.com//images/dishes/4dae12bc8b294cd8a46f9c8ed6533dca.jpg?mw=660,17,Cake,https://www.tasteatlas.com/cakes,Sanwin makin,n/a,"Sanwin makin is a traditional dessert originating from Myanmar (Burma). It is usually made by boiling semolina, sugar, and coconut cream to make a thick dough, and eggs are added to aerate the mixture before it's baked in the oven. The list of ing...",https://www.tasteatlas.com/sanwin-makin/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/coconut-creams,https://cdn.tasteatlas.com/images/ingredientgroups/f54c7c4de2dc46f8be00fed40dae4a2d.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,
https://www.tasteatlas.com/htoe-mont,https://cdn.tasteatlas.com//images/dishes/263e1c2e8ce34035b37bfa2d394652e9.jpg?mw=660,18,Dessert,https://www.tasteatlas.com/Desserts,Htoe mont,n/a,"Htoe mont is a traditional Burmese dessert (mont) originating from Mandalay. This dessert is usually made with a combination of glutinous rice, raisins, cashews, desiccated coconuts, and rice flour. As the mixture cooks, it is continuously prodded...",https://www.tasteatlas.com/htoe-mont/wheretoeat,https://www.tasteatlas.com/glutinous-rice,https://cdn.tasteatlas.com/images/ingredientgroups/a1799e6fcf0b4167830830ecd6ae6ec9.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/Raisins,https://cdn.tasteatlas.com/images/ingredientgroups/24b73f40527d4dd0967bba896ecb3696.png?h=120&w=120,https://www.tasteatlas.com/Cashews,https://cdn.tasteatlas.com/images/ingredientgroups/e3db9e38eecc4cde8846d0d1a9af3797.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,,,
https://www.tasteatlas.com/san-byoke,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Porridge,https://www.tasteatlas.com/Porridge,San byoke,n/a,"San byoke, meaning , is the Burmese version of Chinese  or rice porridge. It is typically made by cooking white short-grain rice in water or meat stock until it reaches a porridge-like consistency. In Myanmar, ri...",https://www.tasteatlas.com/san-byoke/wheretoeat,,,,,,,,,,,,,boiled rice
https://www.tasteatlas.com/nan-bya,https://cdn.tasteatlas.com//images/dishes/dc3cc5caecfd449c9fcc7a355f2aedea.jpg?mw=660,20,Flatbread,https://www.tasteatlas.com/Flatbreads,Nan bya,n/a,"A Burmese version of Indian naan bread, known as nan bya is a soft and chewy flatbread that is often consumed for breakfast. Similar to  bread, this flatbread has a slightly softer texture than the Indian version, and it is often acco...",https://www.tasteatlas.com/nan-bya/wheretoeat,,,,,,,,,,,,,pita
https://www.tasteatlas.com/ngapi-jet,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,21,Sauce,https://www.tasteatlas.com/Sauces,Ngapi jet,n/a,"Ngapi jet, meaning , is a traditional Burmese sauce that is widely consumed in Myanmar, especially throughout the central regions of the country. There are many versions of this sauce, but it typically consists of eit...",https://www.tasteatlas.com/ngapi-jet/wheretoeat,https://www.tasteatlas.com/catfishes,https://cdn.tasteatlas.com/images/ingredientgroups/cc00fd4fdc2f47ea81779536a412a95c.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/fish-sauces,https://cdn.tasteatlas.com/images/ingredientgroups/1e20b1af90c8483681f1e48f8b082f11.png?h=120&w=120,cooked fermented fish
