search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,item-location href,item-location,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location src,score-text--na
https://www.tasteatlas.com/tikka,https://cdn.tasteatlas.com//Images/Dishes/ad88b52257ea4e96ab77e3508f6403be.jpg?mw=660,11,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Tikka,4.5,Best in   (Mumbai),Bademiya,https://www.tasteatlas.com/bademiya,"Indian  is a dish consisting of boneless meat, usually chicken, that is cut into smaller pieces and marinated in yogurt and traditional Indian spices such as turmeric, cumin, coriander, cayenne pepper, chili, garlic, and ginger. The ...",tikka,READ MORE,https://www.tasteatlas.com/tikka/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/punjab,Punjab,https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com/images/dishes/e2e04922bd2647f3a8cf147a736c34b5.png?h=120&w=120,https://cdn.tasteatlas.com/images/emblems/962fcd5b43cc410995763b1e14141c6c.png,
https://www.tasteatlas.com/paratha,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,12,Flatbread,https://www.tasteatlas.com/Flatbreads,Paratha,4.6,Best in   (New Delhi),Kake Di Hatti,https://www.tasteatlas.com/KakeDiHatti,"Golden-brown in color, flaky and layered, paratha is a type of Indian bread that is typically consumed for breakfast. The name comes from a combination of words  and  (flour), referring to the cooked, layered dough. It c...",parat,READ MORE,https://www.tasteatlas.com/paratha/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/chapati,https://cdn.tasteatlas.com//Images/Dishes/4e46fbe524c444f7a131f2187c61b6ec.jpg?mw=660,13,Flatbread,https://www.tasteatlas.com/Flatbreads,Chapati,4.0,Best in   (Mumbai),Bhagat Tarachand,https://www.tasteatlas.com/BhagatTarachand,"Chapati is an unleavened flatbread made with whole wheat flour, water, and salt. The dough is usually baked on a griddle. It is extremely popular throughout India, Bangladesh, Nepal, Pakistan, and Sri Lanka, but the bread had also spread to Africa...",,READ MORE,https://www.tasteatlas.com/chapati/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/idli,https://cdn.tasteatlas.com//Images/Dishes/7389072b562f4dd6b08608b2692b4728.jpg?mw=660,14,Breakfast,https://www.tasteatlas.com/Breakfast,Idli,3.9,Best in   (Bangalore),Veena Stores,https://www.tasteatlas.com/VeenaStores,"Idli is a traditional, savory Indian cake that is a popular breakfast item in numerous South Indian households, although it can be found throughout the country. It is made with a batter consisting of fermented lentils and rice, which is then steam...",,READ MORE,https://www.tasteatlas.com/idli/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/southern-india,Southern India,,,,
https://www.tasteatlas.com/kheer,https://cdn.tasteatlas.com//Images/Dishes/bae67efebeaa47f9947a81c4c0f2fd91.jpg?mw=660,15,Pudding,https://www.tasteatlas.com/puddings,Kheer,4.1,Best in   (New Delhi),Old Kheer Shop,https://www.tasteatlas.com/OldKheerShop,"Kheer or  is an ancient Indian dessert, a creamy rice pudding that is made in several versions across the country. It is a common dish at numerous Indian ceremonies, festivals, and celebrations, although it can be consumed any time...",payasam,READ MORE,https://www.tasteatlas.com/kheer/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/tapioca,https://cdn.tasteatlas.com/images/dishes/647dd95002664e5d84e658abb8ea4d20.png?h=120&w=120,https://www.tasteatlas.com/wheats,https://cdn.tasteatlas.com/images/ingredientgroups/81a62d794a8a4cda8bdc48deb9fe7d2c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Cashews,https://cdn.tasteatlas.com/images/ingredientgroups/e3db9e38eecc4cde8846d0d1a9af3797.png?h=120&w=120,https://www.tasteatlas.com/odisha,Odisha,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,https://cdn.tasteatlas.com/images/emblems/3b4cccd08d8249a4bd5ab3e13ca597b2.png,
https://www.tasteatlas.com/chana-masala,https://cdn.tasteatlas.com//Images/Dishes/393074c0c9854ccdbb78da71a8686b86.jpg?mw=660,16,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Chana masala,4.2,Best in   (Sidhrawali),Old Rao Hotel,https://www.tasteatlas.com/OldRaoHotel,"A specialty of North India, chana masala is a tangy chickpea curry that is commonly consumed as a snack, main meal, or breakfast. Arguably, it is the most popular vegetarian dish in India, commonly found on railway platforms, at work, in school ca...",,READ MORE,https://www.tasteatlas.com/chana-masala/wheretoeat,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/gujarat,Gujarat,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://cdn.tasteatlas.com/images/emblems/bd8006cea93e43b48958eae34f20106f.png,
https://www.tasteatlas.com/vada-pav,https://cdn.tasteatlas.com//Images/Dishes/951728fa0ae74174a2602aaece17368c.jpg?mw=660,17,Sandwich,https://www.tasteatlas.com/sandwiches,Vada pav,4.3,Best in   (Mumbai),Ashok Vada Pav,https://www.tasteatlas.com/AshokVadaPav,"Vada pav is one of Mumbai's favorite sandwiches, its name referring to the key ingredients: , or spicy mashed potatoes that are deep-fried in chickpea batter, and , or white bread rolls. This iconic street food is said to ...",vada,READ MORE,https://www.tasteatlas.com/vada-pav/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/gram-flours,https://cdn.tasteatlas.com/images/ingredientgroups/cb656cfef58a41e09269bb98c99caf6f.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/mustard-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/4d03b99336144a789a8257a8cca3bf8d.png?h=120&w=120,https://www.tasteatlas.com/mumbai,Mumbai,https://www.tasteatlas.com/asafoetida,https://cdn.tasteatlas.com/images/dishes/6431cfc1f011419d8a3a04d11a5cfa69.png?h=120&w=120,,
https://www.tasteatlas.com/khichdi,https://cdn.tasteatlas.com//Images/Dishes/d4baa4764df440a4ae6c4bf44dcdff6a.jpg?mw=660,18,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Khichdi,4.0,Best in   (Mumbai),Swati Snacks Mumbai,https://www.tasteatlas.com/SwatiSnacks,"Khichdi is a South Asian dish consisting of rice and lentils, its name derived from the Sanskrit , denoting a dish of rice and legumes. A widely consumed comfort food throughout the Indian subcontinent, Bangladesh, Sri Lanka, Nepal,...",khiccā,READ MORE,https://www.tasteatlas.com/khichdi/wheretoeat,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,,https://www.tasteatlas.com/tlaola-serrano-chili-pepper,https://cdn.tasteatlas.com/images/dishes/be2855be2c0e4779b0d5419d02937cc0.png?h=120&w=120,,
https://www.tasteatlas.com/samosa,https://cdn.tasteatlas.com//Images/Dishes/e668e32ae1a3423c95fbd4d77f8c940c.jpg?mw=660,19,Snack,https://www.tasteatlas.com/Snacks,Samosa,4.4,Best in   (New Delhi),United Coffee House,https://www.tasteatlas.com/united-coffee-house,"Due to their crunchy texture and a variety of different flavors, samosas provide a perfect introduction to the world of Indian cuisine for newcomers. These deep-fried, triangular pastries are filled with a variety of ingredients ranging from veget...",,READ MORE,https://www.tasteatlas.com/samosa/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/upma,https://cdn.tasteatlas.com//Images/Dishes/e4e3193046014f5bb9d0b6dc838d0f53.jpg?mw=660,20,Porridge,https://www.tasteatlas.com/Porridge,Upma,3.5,Best in   (Mumbai),Café Madras,https://www.tasteatlas.com/CafeMadras,"Upma is a wholesome Indian dish made with dry semolina or rice flour, cooked into a thick porridge. Traditionally served hot for breakfast, its taste is slightly bland, so various nuts, beans, and spices such as turmeric and chiles are commonly ad...",,READ MORE,https://www.tasteatlas.com/upma/wheretoeat,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/mustard-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/4d03b99336144a789a8257a8cca3bf8d.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/tamil-nadu,Tamil Nadu,https://www.tasteatlas.com/black-beans,https://cdn.tasteatlas.com/images/ingredientgroups/23e2317d37d54983bf78237cb224ee70.png?h=120&w=120,https://cdn.tasteatlas.com/images/emblems/280926c6837545329b608cc3a3c21139.png,
https://www.tasteatlas.com/appam,https://cdn.tasteatlas.com//Images/Dishes/7de2a201d16e44b18e983b2e402b3737.jpg?mw=660,21,Pancake,https://www.tasteatlas.com/pancakes,Appam,4.2,Best in   (New Delhi),Dakshin,https://www.tasteatlas.com/Dakshin,"Appam is a popular Indian bowl-shaped pancake made from a batter of rice flour and coconut milk. Typically consumed for breakfast or dinner, appam is most popular in Tamil Nadu, Sri Lanka, and Kerala, where it is culturally linked to the Syrian Ch...",,READ MORE,https://www.tasteatlas.com/appam/wheretoeat,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,,,,,,,https://www.tasteatlas.com/kerala,Kerala,,,https://cdn.tasteatlas.com/images/emblems/a62ba96bca9942eb9d59f15091abe2ba.png,
https://www.tasteatlas.com/hyderabadi-biryani,https://cdn.tasteatlas.com//images/dishes/3bd6dfaf53e244dfb7f3ee390447a2f8.jpg?mw=660,22,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Hyderabadi biryani,4.5,Best in   (Hyderabad),Hotel Shadab,https://www.tasteatlas.com/hotel-shadab,"Hyderabadi biryani is a South Indian dish consisting of basmati rice, goat, mutton, or chicken meat, lemon, yogurt, onions, and saffron. There are two main varieties of the dish –  (raw) and  (cooked). It is sai...",kachchi,READ MORE,https://www.tasteatlas.com/hyderabadi-biryani/wheretoeat,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Goat,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/hyderabad,Hyderabad,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,,
