search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,item-location href,item-location src,item-location,search-results__item-description 2,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/weiwurste,https://cdn.tasteatlas.com//Images/Dishes/8f16bdd6f6d74fa5bbe443e8f69654c7.jpg?mw=660,11,Sausage,https://www.tasteatlas.com/Sausages,Weißwürste,3.8,Best in   (Munich),Schneider Bräuhaus,https://www.tasteatlas.com/SchneiderBrauhaus,"Weisswurst or  is a famous specialty of the city of Munich, invented in 1857 by a butcher named Sepp Moser. He was working in a restaurant next to his butcher's shop and had used the last of thick sausage skins used to make r...",READ MORE,https://www.tasteatlas.com/weiwurste/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/munich,https://cdn.tasteatlas.com/images/emblems/b48280f6546f45e2b97b7251d852f133.png,Munich,white sausage,,,
https://www.tasteatlas.com/schweinebraten,https://cdn.tasteatlas.com//images/dishes/4435dc86e7e148e9b5d688df24caff8f.jpg?mw=660,12,Pork Dish,https://www.tasteatlas.com/pork-dishes,Schweinebraten,4.3,Best in   (Munich),Augustiner-Keller,https://www.tasteatlas.com/augustiner-keller,"Schweinebraten is a traditional German pork roast originating from Bavaria. It is typically prepared for Sunday lunch and consists of sliced pork roast that's served with homemade gravy,  (bread dumplings) or potato dumpl...",READ MORE,https://www.tasteatlas.com/schweinebraten/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/bavaria,https://cdn.tasteatlas.com/images/emblems/563f7d3882da4e19b19f6f4c2c5ff12f.png,Bavaria,semmelknödel,,,
https://www.tasteatlas.com/rouladen,https://cdn.tasteatlas.com//Images/Dishes/6f874852480a4f60904e15574ef35ff4.jpg?mw=660,13,Beef Dish,https://www.tasteatlas.com/beef-dishes,Rouladen,4.2,Best in   (Leipzig),Auerbachs Keller,https://www.tasteatlas.com/auerbachs-keller,"Rouladen are traditional German meat rolls stuffed with a variety of ingredients. They are always served accompanied by a creamy sauce. The rolls are usually made with long and thin beef steaks, which are pounded, generously seasoned, and usually ...",READ MORE,https://www.tasteatlas.com/rouladen/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/moutarde-de-dijon,https://cdn.tasteatlas.com/images/dishes/d09d00c1261e4a4898c25514f35bb67c.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/canola-oils,https://cdn.tasteatlas.com/images/ingredientgroups/2f44fc8e9ce447e58ac245fd6f0f2f61.png?h=120&w=120,,,,,https://www.tasteatlas.com/corn-starch,https://cdn.tasteatlas.com/images/ingredientgroups/dfa4af586b3845a8b4e676e648dbf1eb.png?h=120&w=120,
https://www.tasteatlas.com/pumpernickel,https://cdn.tasteatlas.com//Images/Dishes/65eb5fb2075a4075a3e29c39cce6a1a6.jpg?mw=660,14,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Pumpernickel,3.4,,,,"This heavy and slightly sweet rye bread is made from a sourdough starter and coarsely ground rye with whole rye berries as its base. Its name comes from the German , a synonym for being flatulent, and the male given name Nickel&mda...",READ MORE,https://www.tasteatlas.com/pumpernickel/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/north-rhine-westphalia,https://cdn.tasteatlas.com/images/emblems/ddb95d096496458faacb3c3fccf810a6.png,North Rhine-Westphalia,pumpern,,,
https://www.tasteatlas.com/leberwurst,https://cdn.tasteatlas.com//Images/Dishes/4acd80f21d9e4bc2b78a8d3a3a772156.jpg?mw=660,15,Sausage,https://www.tasteatlas.com/Sausages,Leberwurst,3.9,Best in   (Berlin),Rogacki,https://www.tasteatlas.com/Rogacki,"Leberwurst is a spicy German sausage consisting of a combination of ground pork liver, onions, and spices. The sausage is traditionally consumed with sauerkraut, although it can also be used in sandwiches, where leberwurst is sliced and paired wit...",READ MORE,https://www.tasteatlas.com/leberwurst/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kartoffelsuppe,https://cdn.tasteatlas.com//Images/Dishes/43e8f633984649249e2ee16725540607.jpg?mw=660,16,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Kartoffelsuppe,3.9,Best in   (Munich),Ratskeller München,https://www.tasteatlas.com/RatskellerMunchen,"Kartoffelsuppe is a popular German soup made with potatoes as its key ingredient. The soup is usually cooked with the addition of onions, celery, butter, and milk. It is characterized by a very thick consistency. This soup is a specialty of the Ba...",READ MORE,https://www.tasteatlas.com/kartoffelsuppe/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/leeks,https://cdn.tasteatlas.com/images/ingredientgroups/e5722e8831554305a7c507e79b4c3a99.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/baden-wurttemberg,https://cdn.tasteatlas.com/images/emblems/063e23a44b8a4d39b6b8e51136f82829.png,Baden-Württemberg,,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,
https://www.tasteatlas.com/kasespatzle,https://cdn.tasteatlas.com//images/dishes/a5e9c93203964295b59e90fe57aa23ea.jpg?mw=660,17,Pasta,https://www.tasteatlas.com/pasta,Käsespätzle,4.3,Best in   (Stuttgart),Weinstube Fröhlich,https://www.tasteatlas.com/weinstube-frohlich,"Käsespätzle is a simple pasta dish that combines spätzle pasta with a creamy mixture of melted cheese. The pasta or noodles are also called , meaning, and are made with eggs, flour, milk ...",READ MORE,https://www.tasteatlas.com/kasespatzle/wheretoeat,https://www.tasteatlas.com/spatzle,https://cdn.tasteatlas.com/images/dishes/fb52ebd75dcf478eb4ce208f50bfc2e1.png?h=120&w=120,https://www.tasteatlas.com/edam-holland,https://cdn.tasteatlas.com/images/dishes/a670245fa02e4bc08b9dea9a5acc1a13.png?h=120&w=120,https://www.tasteatlas.com/gouda-holland,https://cdn.tasteatlas.com/images/dishes/dd6eeafc3198480c8988d211b8e3a301.png?h=120&w=120,https://www.tasteatlas.com/fontina,https://cdn.tasteatlas.com/images/dishes/4fe018f8f63149009c495eb7a52f3eba.png?h=120&w=120,https://www.tasteatlas.com/gruyere,https://cdn.tasteatlas.com/images/dishes/8b67006b35064933a5a2ae423e9ec8ff.png?h=120&w=120,https://www.tasteatlas.com/baden-wurttemberg,https://cdn.tasteatlas.com/images/emblems/063e23a44b8a4d39b6b8e51136f82829.png,Baden-Württemberg,knöpfle,https://www.tasteatlas.com/appenzeller,https://cdn.tasteatlas.com/images/dishes/4c2adc528593488db0ad922a1bf403ff.png?h=120&w=120,
https://www.tasteatlas.com/semmelknodel,https://cdn.tasteatlas.com//Images/Dishes/6db8b5fcdacc477083d97c65b89f5919.jpg?mw=660,18,Dumplings,https://www.tasteatlas.com/Dumplings,Semmelknödel,4.0,Best in   (Munich),Schneider Bräuhaus,https://www.tasteatlas.com/SchneiderBrauhaus,"Semmelknödel are popular German bread dumplings–nutritious and convenient, they are one of the most versatile side dishes in traditional German cuisine. Even though there are numerous semmelknödel varieties, which come in various s...",READ MORE,https://www.tasteatlas.com/semmelknodel/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/bavaria,https://cdn.tasteatlas.com/images/emblems/563f7d3882da4e19b19f6f4c2c5ff12f.png,Bavaria,,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/schweinshaxe,https://cdn.tasteatlas.com//images/dishes/0a1c8431a8f6445884cf0095ddc93c39.jpg?mw=660,19,Pork Dish,https://www.tasteatlas.com/pork-dishes,Schweinshaxe,4.2,Best in   (Munich),Augustiner Bräustuben,https://www.tasteatlas.com/AugustinerBraustuben,"The term Schweinshaxe is typically used in the southern parts of Germany, predominantly in Bavaria, and it usually refers to a whole pork knuckle that is roasted for hours until it is thoroughly cooked and the sk...",READ MORE,https://www.tasteatlas.com/schweinshaxe/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/beer,https://cdn.tasteatlas.com/images/ingredientgroups/c21ad8ee42e84549a509ee396c633f0c.png?h=120&w=120,https://www.tasteatlas.com/bavaria,https://cdn.tasteatlas.com/images/emblems/563f7d3882da4e19b19f6f4c2c5ff12f.png,Bavaria,,,,
https://www.tasteatlas.com/kasekuchen,https://cdn.tasteatlas.com//images/dishes/a45421ef162c4b2684d5221a1b67642c.jpg?mw=660,20,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Käsekuchen,4.3,Best in   (Berlin),Princess Cheesecake,https://www.tasteatlas.com/PrincessCheesecake,"German-style cheesecake is a traditional dessert consisting of a thin layer of shortcrust pastry that is topped with a creamy combination of quark cheese, eggs, and (occasionally) various fruits. Even though käsekuchen is often compared to th...",READ MORE,https://www.tasteatlas.com/kasekuchen/wheretoeat,https://www.tasteatlas.com/quarks,https://cdn.tasteatlas.com/images/ingredientgroups/adddf40ecafb49cfbea0cb18d74ac987.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/hendl,https://cdn.tasteatlas.com//images/dishes/1b2b1189b32f479db77ccfa6197a21be.jpg?mw=660,21,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Hendl,4.4,,,,"Hendl is the Austro-Bavarian word for roasted chicken. It is traditionally seasoned only with salt and sometimes parsley, then grilled and sold as half a chicken or whole chicken. During the roasting process, the chicken is often doused with melte...",READ MORE,https://www.tasteatlas.com/hendl/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,https://www.tasteatlas.com/bavaria,https://cdn.tasteatlas.com/images/emblems/563f7d3882da4e19b19f6f4c2c5ff12f.png,Bavaria,,,,
https://www.tasteatlas.com/blutwurst,https://cdn.tasteatlas.com//images/dishes/db4c0b7e5da04a05be1d70fa5d99d440.jpg?mw=660,22,Blood Sausage,https://www.tasteatlas.com/blood-sausages,Blutwurst,3.3,Best in   (Berlin),Rogacki,https://www.tasteatlas.com/Rogacki,"Belonging to the category of cooked sausages, blutwurst is a famous German blood sausage with many regional varieties. It is predominantly made with pork and incorporates animal blood, fat, and meat, next to a wide variety of seasonings such as ma...",READ MORE,https://www.tasteatlas.com/blutwurst/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kartoffelpuffer,https://cdn.tasteatlas.com//images/dishes/dd74124b028e4d92a655a2ba3319d989.jpg?mw=660,23,Pancake,https://www.tasteatlas.com/pancakes,Kartoffelpuffer,4.1,Best in   (Berlin),Die Dollen Knollen,https://www.tasteatlas.com/DieDollenKnollen,"German potato pancakes are a restaurant staple, a homemade classic, and a popular street food snack. They are prepared with a thick batter that employs grated raw potatoes, flour, and eggs, and are usually shaped into flat, round discs that are sh...",READ MORE,https://www.tasteatlas.com/kartoffelpuffer/wheretoeat,,,,,,,,,,,,,,,,,
