search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location src,item-location,search-results__item-description,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/walnut-cheddar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,12,Cheese,https://www.tasteatlas.com/Cheese,Walnut Cheddar,https://www.tasteatlas.com/effin,,Effin,"is an Irish cheese produced in Effin. The cheese is made from pasteurized cow's milk using traditional methods. Underneath its natural rind, the texture is crumbly. The aromas are nutty and fresh, while the flavor is savory...",Walnut Cheddar,n/a
https://www.tasteatlas.com/coolattin-cheddar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Cheese,https://www.tasteatlas.com/Cheese,Coolattin Cheddar,https://www.tasteatlas.com/county-carlow,https://cdn.tasteatlas.com/images/emblems/ba1c95686db84bcaa6cf8ae81fdad8be.png,County Carlow,"is an Irish cheese originating from Carlow. The cheese is made from raw cow's milk. This cheddar has a coating of red wax on the exterior, while the texture underneath it is open and crumbly. The flavors of Coolattin are...",Coolattin Cheddar,n/a
https://www.tasteatlas.com/st-gall,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,14,Cheese,https://www.tasteatlas.com/Cheese,St Gall,https://www.tasteatlas.com/county-cork,https://cdn.tasteatlas.com/images/emblems/2b045141ce784fbc946c51fc04162a78.png,County Cork,"is an Irish Swiss-style cheese produced in Cork. The cheese is made from raw Friesian cow's milk and it derives its name after the monastery of Saint Gallen near Appenzell. The rind is washed in brine, and underneath it, the textu...",St Gall,n/a
https://www.tasteatlas.com/carlowcheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,15,Cheese,https://www.tasteatlas.com/Cheese,Carlow,https://www.tasteatlas.com/carlow,,Carlow,,,n/a
https://www.tasteatlas.com/croghan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,16,Cheese,https://www.tasteatlas.com/Cheese,Croghan,https://www.tasteatlas.com/county-wexford,https://cdn.tasteatlas.com/images/emblems/3c17222023a542d4b1f1b60d04844ebc.png,County Wexford,"is an Irish cheese hailing from County Wexford. This semi-soft cheese is made from raw goat's milk. Underneath its washed white rind, the texture is supple after the cheese has matured from 4 to 12 weeks. The aromas are grassy and...",Croghan,n/a
https://www.tasteatlas.com/cooleney-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,17,Cheese,https://www.tasteatlas.com/Cheese,Cooleeney,https://www.tasteatlas.com/county-tipperary,,County Tipperary,"is a traditional Irish cheese hailing from County Tipperary, where it was invented by Breda Maher. The cheese is made from pasteurized and raw Friesian cow's milk. It's aged from 8 to 10 weeks. Underneath its white moldy rind, t...",Cooleeney,n/a
https://www.tasteatlas.com/dunbarra,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,18,Cheese,https://www.tasteatlas.com/Cheese,Dunbarra,https://www.tasteatlas.com/county-tipperary,,County Tipperary,"is a traditional Irish cheese hailing from County Tipperary, where it's produced by Cooleney Farm. This brie-style cheese is made from pasteurized cow's milk and it's fully mature at 8 to 10 weeks. Underneath its white moldy rind...",Dunbarra,n/a
https://www.tasteatlas.com/wicklow-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Cheese,https://www.tasteatlas.com/Cheese,Wicklow Blue,https://www.tasteatlas.com/wicklow,,Wicklow,is a traditional Irish blue cheese produced by John and Bernie Hempenstall of Wicklow Farmhouse Cheese. This Brie-style cheese is made from cow's milk. It has a bloomy rind that hides a buttery and creamy texture. The aromas ...,Wicklow Blue,n/a
https://www.tasteatlas.com/bellingham-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,20,Cheese,https://www.tasteatlas.com/Cheese,Bellingham Blue,https://www.tasteatlas.com/county-louth,https://cdn.tasteatlas.com/images/emblems/ff0084d536f24761b25c1b129d37e7b4.png,County Louth,"is an Irish cheese hailing from County Louth, where it's produced by Peter Thomas and his wife Anita. The cheese is made from raw cow's milk. Underneath its mottled brown rind, the texture is semi-hard with mold-lined hole...",Bellingham Blue,n/a
https://www.tasteatlas.com/mossfield,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,21,Cheese,https://www.tasteatlas.com/Cheese,Mossfield,https://www.tasteatlas.com/county-offaly,https://cdn.tasteatlas.com/images/emblems/5f7578c9a8d14128bdf04e48bb4bbbf1.png,County Offaly,"is an Irish cheese hailing from County Offaly. This cheddar-style cheese is made from pasteurized cow's milk and it's left to age for 6, 9, or 12 months. Underneath its natural rind, the texture is dry, flaky, and crumbly. When ...",Mossfield,n/a
https://www.tasteatlas.com/baylough,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,22,Cheese,https://www.tasteatlas.com/Cheese,Baylough,https://www.tasteatlas.com/county-tipperary,,County Tipperary,"is an Irish cheese hailing from County Tipperary, where it’s produced by Bay Lough Cheese. This cheddar-style cheese is made from raw cow’s milk and it’s usually left to age from 3 to 4 months before consumption...",Baylough,n/a
https://www.tasteatlas.com/drumlin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,23,Cheese,https://www.tasteatlas.com/Cheese,Drumlin,https://www.tasteatlas.com/cavan,,Cavan,"is a traditional cheese hailing from Ireland's County Cavan. The cheese is made from raw cow's milk and it's left to age for at least 2 months before consumption. At 2 or 3 months old, the cheese develops delicate, smooth, and nut...",Drumlin,n/a
https://www.tasteatlas.com/lavistown,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,24,Cheese,https://www.tasteatlas.com/Cheese,Lavistown,https://www.tasteatlas.com/stonyford,,Stonyford,"is an Irish caerphilly-style cheese hailing from Stoneyford. The cheese is made from pasteurized cow's milk and it's left to mature from 2 to 8 months. Underneath its natural brushed rind, the texture is semi-hard, dry, firm, an...",Lavistown,n/a
https://www.tasteatlas.com/imokilly-regato,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,25,Cheese,https://www.tasteatlas.com/Cheese,Imokilly Regato,https://www.tasteatlas.com/mogeely,,Mogeely,"is a cows' milk cheese produced by the Dairygold Co-operative. The milk used in the manufacture comes from cows grazing on pasture from March to October in the baronies of Imokilly, Fermoy and Muskerry in south-east Cork, ...",Imokilly Regato,n/a
https://www.tasteatlas.com/cahills-whiskey-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,26,Cheese,https://www.tasteatlas.com/Cheese,Cahill's Whiskey Cheese,https://www.tasteatlas.com/county-limerick,https://cdn.tasteatlas.com/images/emblems/e836089c15ec4a9e929e5ad4267bcf72.png,County Limerick,"is an Irish cheese produced in County Limerick, Ireland. The cheese is made from cow's milk from local farms, and Kilbeggan Irish Whiskey is added to the curd, imparting a mottled golden hue to the cheese. It has a...",Cahill's Whiskey Cheese,n/a
https://www.tasteatlas.com/oriel-sea-salt,https://cdn.tasteatlas.com//Images/Ingredients/9bfbe8f70e8c47c9b2c96bdf379bf6e4.jpg?mw=660,27,Salt,https://www.tasteatlas.com/Salt,Oriel Sea Salt,https://www.tasteatlas.com/clogherhead,,Clogherhead,"Oriel Sea Salt is the sea salt harvested from the bay of Port Oriel, County Louth, Ireland. Harvesting of sea salt in this region dates back centuries ago because it was a vital ingredient in preserving fish from deep gulf waters. The qualities of...",,n/a
https://www.tasteatlas.com/crozier-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,28,Cheese,https://www.tasteatlas.com/Cheese,Crozier Blue,https://www.tasteatlas.com/fethard,,Fethard,is an Irish blue cheese originating from Fethard. The semi-soft cheese is made from pasteurized sheep's milk and it's basically the sheep's milk version of Cashel Blue. It was invented in 1993 and it's left to mature for 3 months ...,Crozier,n/a
https://www.tasteatlas.com/cratloe-hills,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,29,Cheese,https://www.tasteatlas.com/Cheese,Cratloe Hills,https://www.tasteatlas.com/cratloe,,Cratloe,"is an Irish cheese hailing from Brickhill where it's been produced since 1988. This hard artisan cheese is made from Friesland sheep's milk and it's aged from 1 to 14 months. Underneath its plasticoat rind, the texture is fi...",Cratloe Hills,n/a
https://www.tasteatlas.com/glebe-brethan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,30,Cheese,https://www.tasteatlas.com/Cheese,Glebe Brethan,https://www.tasteatlas.com/dunleer,,Dunleer,"is an Irish Comte-style cheese hailing from Dunleer in County Louth. The cheese is made from raw Montbeliarde cow's milk. Underneath its natural rind, the texture is smooth and open. The aromas are earthy and intense, while ...",Glebe Brethan,n/a
https://www.tasteatlas.com/clonmore,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,31,Cheese,https://www.tasteatlas.com/Cheese,Clonmore,https://www.tasteatlas.com/charleville-cork,,Charleville,"is an Irish gouda-style cheese hailing from Charleville, County Cork, where it's produced by Lena and Tom Beggane from late March until early November. The cheese is made from pasteurized goat's milk, but there's also a raw milk ...",Clonmore,n/a
https://www.tasteatlas.com/knockdrinna-meadow,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,32,Cheese,https://www.tasteatlas.com/Cheese,Knockdrinna Meadow,https://www.tasteatlas.com/stonyford,,Stonyford,"is an Irish farmhouse tomme-style cheese hailing from Stoneyford. The cheese is made from pasteurized sheep's milk. Underneath its lightly washed natural rind, the texture is semi-firm and open with small eyes dispersed...",Knockdrinna Meadow,n/a
https://www.tasteatlas.com/mine-gabhar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,33,Cheese,https://www.tasteatlas.com/Cheese,Mine-Gabhar,https://www.tasteatlas.com/wexford,,Wexford,"is an Irish blue cheese hailing from Wexford, where it's produced by Luc and Anne Van Kampen. The cheese is made from raw goat's milk. Underneath its natural mould-ripened rind, the texture is soft and creamy. The aromas are p...",Mine-Gabhar,n/a
https://www.tasteatlas.com/dublin-bay-prawns,https://cdn.tasteatlas.com//images/ingredients/323fc0aaaaa14d14a47100271662e191.jpg?mw=660,34,Lobster,https://www.tasteatlas.com/lobsters,Dublin Bay Prawns,https://www.tasteatlas.com/dublin,https://cdn.tasteatlas.com/images/emblems/05ece1d99b0d45b6a2f18001a138a989.png,Dublin,"Dublin Bay prawns are small, orange colored lobsters that are caught by nets and sorted, then brought to the markets. They are often prepared with lemon and garlic, dipped in sweet chili, or added to various salads and soups. Apparently, the prawn...",,n/a
https://www.tasteatlas.com/st-tola-log,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,35,Cheese,https://www.tasteatlas.com/Cheese,St Tola Log,https://www.tasteatlas.com/inagh,,Inagh,"is an Irish cheese hailing from Inagh in County Clare, where it's produced by Inagh Farmhouse Cheese Ltd. The cheese is made from pasteurized or raw goat's milk and it's named after the local patron saint. The logs come in two...",St Tola Log,n/a
https://www.tasteatlas.com/st-tola-divine,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,36,Cheese,https://www.tasteatlas.com/Cheese,St Tola Divine,https://www.tasteatlas.com/inagh,,Inagh,"is an Irish cheese hailing from the Inagh area. The cheese is made from pasteurized goat's milk and it's named after St Tola, the local patron saint. This rindless cheese has a soft, creamy, and spreadable texture. The arom...",St Tola Divine,n/a
https://www.tasteatlas.com/bluebell-falls-cygnus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,37,Cheese,https://www.tasteatlas.com/Cheese,Bluebell Falls Cygnus,https://www.tasteatlas.com/charleville-cork,,Charleville,"is a fresh Irish cheese hailing from County Cork, where it's produced by Bluebell Falls Goats Cheese. This fresh chevre log made from goat's milk is usually aged from 2 days to 2 weeks before consumption. Beneath its...",Bluebell Falls Cygnus,n/a
https://www.tasteatlas.com/wexford-blackcurrant,https://cdn.tasteatlas.com//images/ingredients/f2279b5b5b8d4085af1c5f462e64455a.jpg?mw=660,38,Blackcurrant,https://www.tasteatlas.com/blackcurrants,Wexford Blackcurrant,https://www.tasteatlas.com/county-wexford,https://cdn.tasteatlas.com/images/emblems/3c17222023a542d4b1f1b60d04844ebc.png,County Wexford,"With over 1600 hours of sunshine per year, and an average of over 7 hours a day in early summer, Wexford boasts a reputation of Ireland's best fruit growing region, producing blackcurrants with the highest natural sweetness and a remarkable depth ...",,n/a
