search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/mojo-de-ajo-cuba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,11,Sauce,https://www.tasteatlas.com/Sauces,Mojo de ajo,,,,,"Mojo de ajo is a garlic sauce that's popular in Mexico, Cuba, Chile, and many Caribbean and Latin American countries. It usually consists of olive oil, crushed garlic, salt, and lemon, orange, or lime juice. The ingredients are simply blended toge...",,https://www.tasteatlas.com/mojo-de-ajo-cuba/wheretoeat,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/orange-juices,https://cdn.tasteatlas.com/images/ingredientgroups/b273e6ef03124afa919ff876d1bdee71.png?h=120&w=120
https://www.tasteatlas.com/chuletas-de-puerco,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,12,Pork Dish,https://www.tasteatlas.com/pork-dishes,Chuletas de puerco,n/a,,,,"Chuletas de puerco is a traditional Cuban way of preparing pork chops. The dish is made with a combination of pork chops, cumin, oregano, garlic, sour oranges, olive oil, onions, and seasonings. The meat is marinated in a mixture of sour orange ju...",,https://www.tasteatlas.com/chuletas-de-puerco/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/orange-juices,https://cdn.tasteatlas.com/images/ingredientgroups/b273e6ef03124afa919ff876d1bdee71.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120
https://www.tasteatlas.com/fricase-de-pollo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Fricasé de pollo,n/a,,,,"Fricasé de pollo is a traditional chicken dish originating from Cuba. The dish is usually made with a combination of dark chicken meat (legs and thighs), garlic, onions, bell peppers, potatoes, olives, bay leaves, tomatoes, chicken stock, a...",,https://www.tasteatlas.com/fricase-de-pollo/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120
https://www.tasteatlas.com/pan-con-bistec,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,14,Sandwich,https://www.tasteatlas.com/sandwiches,Pan con bistec,n/a,,,,"Pan con bistec is a traditional sandwich originating from Cuba. Although there are many versions, and the preparation varies from one restaurant to another, it's usually prepared with toasted Cuban or French bread, sliced beef steak, grilled onion...",,https://www.tasteatlas.com/pan-con-bistec/wheretoeat,https://www.tasteatlas.com/cuban-bread,https://cdn.tasteatlas.com/images/dishes/8fc0c2636dc640b09fdc5d8f2c1da62e.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Lettuce,https://cdn.tasteatlas.com/images/ingredientgroups/7e0f57e1acdf4336ae728bbaf80a1f36.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120
https://www.tasteatlas.com/arroz-imperial,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,15,Casserole,https://www.tasteatlas.com/casserole,Arroz imperial,n/a,,,,"Although arroz imperial is often served as a side dish in Cuba, it is hearty enough to be served as a main dish, on its own, a fact that can be proven just by looking at the extremely long list of ingredients used to make it: chicken pieces, bacon...",,https://www.tasteatlas.com/arroz-imperial/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pizza-cubana,https://cdn.tasteatlas.com//images/dishes/e12f44a647e1445a843b65316b062f76.jpg?mw=660,16,Pizza,https://www.tasteatlas.com/Pizzas,Pizza cubana,n/a,Best in   (Havana),Hector's Pizza,https://www.tasteatlas.com/hectors-pizza,"Cuban pizza is a pizza variety that's distinguished by the dough and the sauce. The dough is a little thicker than in other pizzas and the sauce is a little bit sweeter. This is not a fancy pizza style – it's simple, comforting, and accessib...",,https://www.tasteatlas.com/pizza-cubana/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pan-con-lechon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,17,Sandwich,https://www.tasteatlas.com/sandwiches,Pan con lechón,n/a,,,,"Pan con lechón is a traditional sandwich originating from Cuba, but it's also very popular in Miami. This pressed sandwich is made with Cuban bread, lechón roasted pork, butter, onions, and mojo sauce. The bread is cut lengthwise, bu...",,https://www.tasteatlas.com/pan-con-lechon/wheretoeat,https://www.tasteatlas.com/cuban-bread,https://cdn.tasteatlas.com/images/dishes/8fc0c2636dc640b09fdc5d8f2c1da62e.png?h=120&w=120,https://www.tasteatlas.com/lechon,https://cdn.tasteatlas.com/images/dishes/30ca8f24543d433992f8455fbc176d09.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/mojo,https://cdn.tasteatlas.com/images/dishes/895bf80251ec42159eee3d50597d038f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,
https://www.tasteatlas.com/rabo-encendido,https://cdn.tasteatlas.com//images/dishes/1abb7f13bac54d13bab3aa8cde4cb233.jpg?mw=660,18,Stew,https://www.tasteatlas.com/Stews,Rabo encendido,n/a,,,,"Rabo encendido is a spicy Cuban stew prepared with oxtails as the key ingredient. The oxtails are typically cooked in a rich sauce made with tomatoes and red wine, along with vegetables such as potatoes, onions, carrots, garlic, and green peppers....",,https://www.tasteatlas.com/rabo-encendido/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pulpeta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,19,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Pulpeta,n/a,,,,"Pulpeta is a classic Cuban meat dish. It's essentially a meatloaf that's prepared with a combination of ground meat (beef, pork, ham), eggs, onions, vinegar, cheese, breadcrumbs, tomatoes, dry wine, and herbs and spices such as oregano, bay leaves...",,https://www.tasteatlas.com/pulpeta/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/bistec-de-palomilla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,20,Beef Dish,https://www.tasteatlas.com/beef-dishes,Bistec de palomilla,n/a,,,,"Bistec de palomilla is a traditional Cuban meat dish. It's made with a combination of top sirloin beef, garlic, lime juice, onions, salt, pepper, and olive oil. The steak is cut super thin, marinated in garlic, lime juice, and seasonings, then pan...",,https://www.tasteatlas.com/bistec-de-palomilla/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120
https://www.tasteatlas.com/munyeta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,21,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Munyeta,n/a,,,,"Munyeta is a somewhat obscure Cuban dish based on beans. It is made with navy beans, onions, garlic, paprika, ham, bacon, and olive oil. The beans should be soaked, cooked, drained, then combined with other ingredients (which should be sauté...",,https://www.tasteatlas.com/munyeta/wheretoeat,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/cured-ham,https://cdn.tasteatlas.com/images/ingredientgroups/e24fe15038ed4b04b5ba1b336664583a.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120
https://www.tasteatlas.com/boniatillo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,22,Dessert,https://www.tasteatlas.com/Desserts,Boniatillo,n/a,,,,"Boniatillo is a Cuban dessert made with sweet potatoes, water, sugar, egg yolks, and butter. It is flavored with vanilla, cinnamon, and lemon zest. When prepared, boniatillo is typically served warm or well-chilled, sprinkled with cinnamon powder ...",,https://www.tasteatlas.com/boniatillo/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/elena-ruz,https://cdn.tasteatlas.com//images/dishes/e775609b79e74143bb1a7c16de81481a.jpg?mw=660,23,Sandwich,https://www.tasteatlas.com/sandwiches,Elena Ruz,n/a,,,,"Elena Ruz is a unique Cuban sandwich consisting of a roll topped with turkey, fruit jam, and cream cheese. Its popularity is a result of the unusual contrast between the combined sweet and savory flavors. The sandwich is traditionally served durin...",,https://www.tasteatlas.com/elena-ruz/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pan-con-timba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,24,Sandwich,https://www.tasteatlas.com/sandwiches,Pan con timba,n/a,,,,"Pan con timba is a traditional sandwich originating from Cuba. In order to prepare this specialty, guava paste should be sandwiched between layers of Swiss cheese and bread. The sandwich is prepared with a combination of sandwich rolls, guava past...",,https://www.tasteatlas.com/pan-con-timba/wheretoeat,https://www.tasteatlas.com/cuban-bread,https://cdn.tasteatlas.com/images/dishes/8fc0c2636dc640b09fdc5d8f2c1da62e.png?h=120&w=120,https://www.tasteatlas.com/guava-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/e898e9f8b01343568fffaa45f2dbe366.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,
https://www.tasteatlas.com/pargo-relleno-cuba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,25,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Pargo relleno,n/a,,,,"Pargo relleno is a traditional fish dish that's popular in Cuba and Costa Rica. It consists of a stuffed red snapper. The fish is seasoned with salt, pepper, lemon juice, and garlic. It's covered with onions and rings of green pepper, and then it'...",,https://www.tasteatlas.com/pargo-relleno-cuba/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/torticas-de-moron,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,26,Cookie,https://www.tasteatlas.com/Cookies,Torticas de Morón,n/a,,,,"Torticas de Morón are traditional Cuban shortbread cookies originating from the city of Morón in the Ciego de Ávila province. These crumbly cookies are usually made with a combination of flour, sugar, lard or shortening, and l...",,https://www.tasteatlas.com/torticas-de-moron/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Limes,https://cdn.tasteatlas.com/images/ingredientgroups/64e50731ad814053bbaa3e63f1006784.png?h=120&w=120,,,,
https://www.tasteatlas.com/huevos-habaneros,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,27,Egg Dish,https://www.tasteatlas.com/egg-dishes,Huevos habaneros,n/a,,,,"Huevos habaneros is a traditional Cuban dish originating from Havana. Although there are a few version of the dish, it's most commonly prepared with eggs, onions, bell peppers, garlic, tomatoes, white wine, habanero peppers, paprika powder, cumin,...",,https://www.tasteatlas.com/huevos-habaneros/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120
