search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/curd-and-treacle,https://cdn.tasteatlas.com//images/dishes/b1aceac8f3bd42d4bb0e198eec7933e1.jpg?mw=660,11,Dessert,https://www.tasteatlas.com/Desserts,Curd and treacle,"Curd and treacle is a popular Sri Lankan sweet treat that is mainly enjoyed for breakfast. The dish consists of a creamy curd (), mostly made from buffalo milk, which is drizzled with sweet treacle—in Sri Lanka known as",https://www.tasteatlas.com/curd-and-treacle/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/pani-appa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,12,Dessert,https://www.tasteatlas.com/Desserts,Pani appa,"This traditional Sri Lankan appam (hopper) variety is prepared with a rice batter that is usually enriched with sugar or thick, syrupy molasses. The base of this pancake-like dish combines rice flour and coconut milk, while treacle, jaggery, or br...",https://www.tasteatlas.com/pani-appa/wheretoeat,n/a,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/aasmi,https://cdn.tasteatlas.com//images/dishes/a29d7ea6badf40b79516f6923facd3bd.jpg?mw=660,13,Dessert,https://www.tasteatlas.com/Desserts,Aasmi,"Aasmi is a famous Sri Lankan sweet made with a combination of rice flour, coconut milk, okra juice, sugar, and water. Once made, the batter is fried into thin strings which are overlapped. Before serving, aasmi is typically drizzled with sugar syr...",https://www.tasteatlas.com/aasmi/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/helapa,https://cdn.tasteatlas.com//images/dishes/cac25a7fbc9a49e4a685288e88be9b76.jpg?mw=660,14,Dessert,https://www.tasteatlas.com/Desserts,Helapa,"Helapa is a traditional Sri Lankan sweet treat. It's prepared with a combination of kurakkan flour, rice flour, treacle, cardamom, and grated coconut. The ingredients are cooked together and mixed until they develop a doughy consistency. The mixtu...",https://www.tasteatlas.com/helapa/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/avocado-crazy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Dessert,https://www.tasteatlas.com/Desserts,Avocado Crazy,"Avocado crazy is a Sri Lankan dessert made with ripe avocados, sugar, cream, and (optionally) rum. The avocados are scooped, mashed, then combined with cream, sugar, and a dash of rum, if desired. Before serving, the combination is chilled, and it...",https://www.tasteatlas.com/avocado-crazy/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/brinjal-moju,https://cdn.tasteatlas.com//images/dishes/aeea3b3f77c242af862b25bf313eab5d.jpg?mw=660,16,Side Dish,https://www.tasteatlas.com/Sides,Brinjal moju,"Brinjal moju, also known as wambat moju, is a Sri Lankan eggplant pickle that is mainly enjoyed as a side dish. The star ingredient is sliced fried eggplant that is mixed with fried onions, green chili peppers, and a combination of tamarind water ...",https://www.tasteatlas.com/brinjal-moju/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/pol-sambola,https://cdn.tasteatlas.com//images/dishes/ab9c23d9434f4392a699af834b42a381.jpg?mw=660,17,Side Dish,https://www.tasteatlas.com/Sides,Pol sambola,"Pol sambola is a traditional Sri Lankan side dish made with fresh coconut, red onions, red chilis, chili powder, and lime. Optional ingredients include garlic, cured tuna (Maldive fish), and chopped tomatoes. The dish is prepared by crushing all t...",https://www.tasteatlas.com/pol-sambola/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/mutton-rolls,https://cdn.tasteatlas.com//images/dishes/481cc73a5efa41debcac96ff960dd523.jpg?mw=660,18,Snack,https://www.tasteatlas.com/Snacks,Mutton Rolls,"Mutton rolls are Sri Lankan snacks or appetizers consisting of pancakes that are filled with potatoes, onions, and mutton, which are then wrapped and deep-fried. The pancakes are usually prepared with flour, eggs, milk, and water. After they have ...",https://www.tasteatlas.com/mutton-rolls/wheretoeat,n/a,https://www.tasteatlas.com/mutton,https://cdn.tasteatlas.com/images/ingredientgroups/82790d17b4894b93847171b62d7fdfb4.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120
https://www.tasteatlas.com/gova-mallung,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Gova mallung,"Gova mallung is a traditional dish originating from Sri Lanka. It's made with a combination of finely shredded cabbage, onions, green chili peppers, turmeric, black pepper, black mustard seeds, salt, coconut, and either pounded Maldive fish or dri...",https://www.tasteatlas.com/gova-mallung/wheretoeat,n/a,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/maldive-fish,https://cdn.tasteatlas.com/images/dishes/1a7c628d48564feda59cea111dcdba81.png?h=120&w=120,https://www.tasteatlas.com/black-mustard-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/af54a22b34dc4758946142f3388795c6.png?h=120&w=120
https://www.tasteatlas.com/aggala,https://cdn.tasteatlas.com//images/dishes/fa29710e6e6d4e8abc2ea569e9201bfc.jpg?mw=660,20,Snack,https://www.tasteatlas.com/Snacks,Aggala,"Aggala is a popular Sri Lankan sweet that is traditionally served as a snack, accompanied by a cup of tea in the afternoon. These delicious, roasted balls are made with a combination of roasted rice flour (or rice), honey, coconut, and salt. They ...",https://www.tasteatlas.com/aggala/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/athirasa,https://cdn.tasteatlas.com//images/dishes/78bd49b1e9d645fbae658b12a97c1fc9.jpg?mw=660,21,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Athirasa,"Athirasa is a traditional Sri Lankan sweet made with a combination of rice flour, roasted rice, coconut treacle, coconut oil, and cardamom. The ingredients are formed into a stiff paste that is flattened into circles, then deep-fried in hot oil. T...",https://www.tasteatlas.com/athirasa/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/lavariya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,22,Snack,https://www.tasteatlas.com/Snacks,Lavariya,,https://www.tasteatlas.com/lavariya/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/kallappam-sri-lanka,https://cdn.tasteatlas.com//images/dishes/2e5edb333820435e9073daa46bd42d25.jpg?mw=660,23,Pancake,https://www.tasteatlas.com/pancakes,Kallappam,"Kallapam is a traditional coconut pancake that's popular in Sri Lanka and Kerala. It's made with a combination of raw and cooked rice, coconut milk, grated coconut, yeast, shallots, sugar, salt, and cumin seeds. Traditionally, the pancake is made ...",https://www.tasteatlas.com/kallappam-sri-lanka/wheretoeat,n/a,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120
https://www.tasteatlas.com/leeks-mirisata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,24,Stew,https://www.tasteatlas.com/Stews,Leeks mirisata,"Leeks mirisata is a traditional vegetable stew or curry originating from Sri Lanka. It's made with a combination of thinly sliced leeks (white parts only), oil, turmeric, chili powder, pounded Maldive fish, and salt. The leeks are sautéed i...",https://www.tasteatlas.com/leeks-mirisata/wheretoeat,n/a,https://www.tasteatlas.com/leeks,https://cdn.tasteatlas.com/images/ingredientgroups/e5722e8831554305a7c507e79b4c3a99.png?h=120&w=120,https://www.tasteatlas.com/maldive-fish,https://cdn.tasteatlas.com/images/dishes/1a7c628d48564feda59cea111dcdba81.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/red-chilli-powder,https://cdn.tasteatlas.com/images/ingredientgroups/0bf070508e5f4a41b10e14a0642e59fe.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120
https://www.tasteatlas.com/ogu-ruloung,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,25,Egg Dish,https://www.tasteatlas.com/egg-dishes,Ogu ruloung,"Ogu ruloung is a traditional egg-based dish originating from Sri Lanka. It's made with a combination of eggs, dill, salt, pepper, ghee or oil, scallions, and curry leaves, either dried or fresh. The scallions are thinly sliced and sautéed i...",https://www.tasteatlas.com/ogu-ruloung/wheretoeat,n/a,,,,,,,,,,,,
