search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,item-location href,item-location,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,mini-ingredients__link href 6,mini-ingredients__image src,mini-ingredients__image src 2,mini-ingredients__image src 3,mini-ingredients__image src 4,mini-ingredients__image src 5,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/fugazza,,12,Pizza,https://www.tasteatlas.com/Pizzas,Fugazza,3.6,Best in   (Buenos Aires),Banchero,https://www.tasteatlas.com/Banchero,"Similar to the Genovese , fugazza is one of many traditional Argentinian dishes that was influenced by the Italian cuisine. It is made with sourdough and comes topped with a generous amount of caramelized onions. Fugazza's crust i...",focaccia,https://www.tasteatlas.com/fugazza/wheretoeat,,,https://www.tasteatlas.com/Flour,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Olives,https://www.tasteatlas.com/Artichokes,https://www.tasteatlas.com/parmigiano-reggiano,,,,,,,,
https://www.tasteatlas.com/sandwiches-de-miga,,13,Sandwich type,https://www.tasteatlas.com/sandwich-types,Sandwiches de miga,4.2,Best in   (Buenos Aires),Confiteria Ritz,https://www.tasteatlas.com/ConfiteriaRitz,"Sandwiches de miga are prepared with crustless white bread, and they can consist of two or more bread slices per sandwich. It is believed that they developed under strong European influences, primarily British and Italian. The most common variety ...",,https://www.tasteatlas.com/sandwiches-de-miga/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/chocotorta,,14,Chocolate Cake,https://www.tasteatlas.com/chocolate-cakes,Chocotorta,4.5,Best in   (Buenos Aires),Oui Oui,https://www.tasteatlas.com/OuiOui,"Translated as , this no-bake Argentinian dessert was influenced by Italian cuisine and modeled on the famous Italian . It is made with three Argentinian staple ingredients: chocolate biscuits, dulce de leche...",chocolate cake,https://www.tasteatlas.com/chocotorta/wheretoeat,,,https://www.tasteatlas.com/dulce-de-leche,https://www.tasteatlas.com/cream-cheeses,https://www.tasteatlas.com/chocolate-biscuits,https://www.tasteatlas.com/Coffee,https://www.tasteatlas.com/Cream,https://www.tasteatlas.com/dark-chocolates,,,,,,,
https://www.tasteatlas.com/grilledprovoleta,,15,Cheese Dish,https://www.tasteatlas.com/cheese-dishes,Provoleta,4.6,Best in   (Buenos Aires),La Cabrera Parrilla Palermo,https://www.tasteatlas.com/LaCabrera,"In Argentina, provoleta or grilled provoleta cheese is typically enjoyed before a meal or as a side to grilled meats in Argentinean barbecue. The semi-hard provolone is the perfect cheese for the grill, because it's compact an...",asado—,https://www.tasteatlas.com/grilledprovoleta/wheretoeat,,,https://www.tasteatlas.com/provolone-valpadana,https://www.tasteatlas.com/oregano,https://www.tasteatlas.com/red-chili-flakes,,,,,,,,,,
https://www.tasteatlas.com/pastafrola,,16,Tart,https://www.tasteatlas.com/tarts,Pastafrola,4.1,Best in   (Buenos Aires),Confitería La Pasta Frola,https://www.tasteatlas.com/confiteria-la-pasta-frola,"Even though their name and origin stem from Italian tradition, pastafrola tarts have become an integral part of South American cuisine. They traditionally combine buttery shortcrust pastry and various fillings such as quince cheese, dulce de leche...",,https://www.tasteatlas.com/pastafrola/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/fugazzeta,,17,Pizza,https://www.tasteatlas.com/Pizzas,Fugazzeta,4.0,Best in   (Buenos Aires),La Mezzetta,https://www.tasteatlas.com/LaMezzetta,"Fugazzeta is a mozzarella-stuffed pizza topped with onions, originating from Argentina. The onions should be thinly sliced, and they can be either raw or sautéed. The dough is usually made with milk, water, yeast, flour, sugar, salt, and ol...",,https://www.tasteatlas.com/fugazzeta/wheretoeat,,,https://www.tasteatlas.com/Flour,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/mozzarella,https://www.tasteatlas.com/spinach,https://www.tasteatlas.com/prosciutto-cotto,,,,,,,,
https://www.tasteatlas.com/milanesa-napolitana,,18,Beef Dish,https://www.tasteatlas.com/beef-dishes,Milanesa napolitana,4.5,Best in   (Buenos Aires),El Obrero,https://www.tasteatlas.com/el-obrero,"Milanesa napolitana is a traditional Argentine dish originating from Buenos Aires. It consists of a milanesa steak that's breaded, fried, then topped with a slice of ham, tangy tomato sauce, and thick slices of mozzarella, which will melt under th...",,https://www.tasteatlas.com/milanesa-napolitana/wheretoeat,https://www.tasteatlas.com/buenos-aires,Buenos Aires,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/breadcrumbs,https://www.tasteatlas.com/cured-ham,https://www.tasteatlas.com/mozzarella,https://www.tasteatlas.com/tomato-sauce,,,,,,,
https://www.tasteatlas.com/dulce-de-leche,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Dulce de leche,4.5,,,,"Dulce de leche is a type of condensed milk sweet from Argentina. Traditionally, it is made by heating sweetened cow's milk until it caramelizes and achieves a thick consistency, enough to act as a spread, a filling for cakes and pies, or an ice cr...",,https://www.tasteatlas.com/dulce-de-leche/wheretoeat,https://www.tasteatlas.com/buenos-aires,Buenos Aires,https://www.tasteatlas.com/Milk,https://www.tasteatlas.com/Sugar,https://www.tasteatlas.com/vanilla,,,,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,,,,
https://www.tasteatlas.com/milanesa,https://cdn.tasteatlas.com//images/dishes/8ae6e3c99b2d41a2a15c57d23a337b4e.jpg?mw=660,5,Beef Dish,https://www.tasteatlas.com/beef-dishes,Milanesa,4.5,Best in   (Buenos Aires),Don Ignacio,https://www.tasteatlas.com/don-ignacio,"Often referred to as Argentina's unofficial national dish, milanesa is a humble, yet delicious meal consisting of a breaded slice of prime beef that is fried in hot oil, curling up as it cooks, due to the fact that the chosen cuts of meat have les...",,https://www.tasteatlas.com/milanesa/wheretoeat,,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/breadcrumbs,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/parsley,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/sunflower-oils,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/129a92222faa455392f43cc1a8957fcc.png?h=120&w=120,
https://www.tasteatlas.com/chimichurri,https://cdn.tasteatlas.com//Images/Dishes/00fc3f52336b4a899ef05358d222ae59.jpg?mw=660,6,Sauce,https://www.tasteatlas.com/Sauces,Chimichurri,4.2,Best in   (Buenos Aires),La Cabrera Parrilla Palermo,https://www.tasteatlas.com/LaCabrera,"What harissa is to Moroccan cuisine and what mustard is to hot dogs in the USA, chimichurri is to steaks in Argentina. It is an aromatic mixture of parsley, garlic, oregano, olive oil, vinegar, and hot red pepper flakes, although additional ingred...",,https://www.tasteatlas.com/chimichurri/wheretoeat,,,https://www.tasteatlas.com/parsley,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/oregano,https://www.tasteatlas.com/Olive-oil,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/red-chili-flakes,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/0ea6693aa6ea4ac88e0277319fdec69e.png?h=120&w=120,
https://www.tasteatlas.com/medialunas,https://cdn.tasteatlas.com//images/dishes/a2052a3aa95249729fdadee7024d0e79.jpg?mw=660,7,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Medialunas,4.1,Best in   (Buenos Aires),Dos Escudos,https://www.tasteatlas.com/DosEscudos,"These soft crescent rolls are regarded as the Argentinian take on traditional French . Even though they are very similar to the French variety, medialunas are slightly smaller and a bit sweeter. There are two traditional types o...",croissants,https://www.tasteatlas.com/medialunas/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/choripan,https://cdn.tasteatlas.com//Images/Dishes/19ca5c1cba384f128b06dc2de20cd935.jpg?mw=660,8,Sandwich,https://www.tasteatlas.com/sandwiches,Choripán,4.4,Best in   (Buenos Aires),Nuestra Parrilla,https://www.tasteatlas.com/NuestraParrilla,"Choripán is the ultimate in Argentine street food, a sandwich consisting of a  sausage and a variety of condiments in a crusty bun. It is usually consumed on the go, since it is mostly sold at street stands throughout Latin ...",chorizo,https://www.tasteatlas.com/choripan/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sandwich-de-lomo,https://cdn.tasteatlas.com//images/dishes/c4bd710987a8424fbf7fec064af81eba.jpg?mw=660,9,Sandwich,https://www.tasteatlas.com/sandwiches,Sandwich de lomo,4.2,Best in   (Buenos Aires),La Rambla,https://www.tasteatlas.com/la-rambla,"This is an extreme version of a steak sandwich – filled with thinly sliced lomo steak, tomatoes, onions, lettuce, mayonnaise, chimichurri sauce, ham, cheese, and a fried egg, sandwich de lomo or  is a behemoth of a sandwich th...",lomito,https://www.tasteatlas.com/sandwich-de-lomo/wheretoeat,https://www.tasteatlas.com/cordoba-province,Córdoba Province,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Lettuce,https://www.tasteatlas.com/mayonnaise,https://www.tasteatlas.com/chimichurri,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/7e0f57e1acdf4336ae728bbaf80a1f36.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/1839d40499514008ba765c0c1815f7e2.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/bd126ba4ba5c419f8b15edc3ec465f63.png?h=120&w=120,
https://www.tasteatlas.com/rogel,https://cdn.tasteatlas.com//images/dishes/15929e32f7284513aed236876c5ca419.jpg?mw=660,10,Cake,https://www.tasteatlas.com/cakes,Rogel,3.6,Best in   (Buenos Aires),Dos Escudos,https://www.tasteatlas.com/DosEscudos,"Rogel is a classic Argentinian dessert consisting of numerous thin layers of dough that are topped with a creamy dulce de leche spread. The cake traditionally includes eight layers, while the top is usually decorated with Italian meringue. Althoug...",,https://www.tasteatlas.com/rogel/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/locro,https://cdn.tasteatlas.com//Images/Dishes/31d218e770be43b686c9777d6d974dba.jpg?mw=660,11,Stew,https://www.tasteatlas.com/Stews,Locro,3.5,Best in   (Buenos Aires),El Sanjuanino,https://www.tasteatlas.com/elsanjuanino,"Locro is a thick and nourishing stew which originated in South America, long before the arrival of Spanish conquistadores. This authentic and traditional stew has numerous varieties, but the most famous version is the Argentinian locro, mostly mad...",,https://www.tasteatlas.com/locro/wheretoeat,,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/organ-meats,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Sausages,https://www.tasteatlas.com/bacon,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,
https://www.tasteatlas.com/fugazza,https://cdn.tasteatlas.com//Images/Dishes/5ab9fd06902d4aceaa47f407c508d11d.jpg?mw=660,12,Pizza,https://www.tasteatlas.com/Pizzas,Fugazza,3.6,Best in   (Buenos Aires),Banchero,https://www.tasteatlas.com/Banchero,"Similar to the Genovese , fugazza is one of many traditional Argentinian dishes that was influenced by the Italian cuisine. It is made with sourdough and comes topped with a generous amount of caramelized onions. Fugazza's crust i...",focaccia,https://www.tasteatlas.com/fugazza/wheretoeat,,,https://www.tasteatlas.com/Flour,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Olives,https://www.tasteatlas.com/Artichokes,https://www.tasteatlas.com/parmigiano-reggiano,,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/11a0e8e3bc9845e0b0845eae798563de.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/afbcb4f501e2409181f3c0c9174dff8b.png?h=120&w=120,,
https://www.tasteatlas.com/sandwiches-de-miga,https://cdn.tasteatlas.com//Images/Dishes/06b8a62514114b26a19bd2319eba38cd.jpg?mw=660,13,Sandwich type,https://www.tasteatlas.com/sandwich-types,Sandwiches de miga,4.2,Best in   (Buenos Aires),Confiteria Ritz,https://www.tasteatlas.com/ConfiteriaRitz,"Sandwiches de miga are prepared with crustless white bread, and they can consist of two or more bread slices per sandwich. It is believed that they developed under strong European influences, primarily British and Italian. The most common variety ...",,https://www.tasteatlas.com/sandwiches-de-miga/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/chocotorta,https://cdn.tasteatlas.com//images/dishes/839239a21daa4e56be0f8ff557f61113.jpg?mw=660,14,Chocolate Cake,https://www.tasteatlas.com/chocolate-cakes,Chocotorta,4.5,Best in   (Buenos Aires),Oui Oui,https://www.tasteatlas.com/OuiOui,"Translated as , this no-bake Argentinian dessert was influenced by Italian cuisine and modeled on the famous Italian . It is made with three Argentinian staple ingredients: chocolate biscuits, dulce de leche...",chocolate cake,https://www.tasteatlas.com/chocotorta/wheretoeat,,,https://www.tasteatlas.com/dulce-de-leche,https://www.tasteatlas.com/cream-cheeses,https://www.tasteatlas.com/chocolate-biscuits,https://www.tasteatlas.com/Coffee,https://www.tasteatlas.com/Cream,https://www.tasteatlas.com/dark-chocolates,https://cdn.tasteatlas.com/images/dishes/75d5bcdf11ca4839bc222247eecdf100.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/2c43b723665a4ffebeb3d58fab993d20.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/1f2908a6e5164023bd2c3cc121aa56c5.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/805122d5276342e8b0e2aa26e43cee70.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/5e42bba78ad84f15a75bd384bbe1b54e.png?h=120&w=120,
https://www.tasteatlas.com/grilledprovoleta,https://cdn.tasteatlas.com//images/dishes/0d12f97ab9a340c9b52473e49cbac41c.jpg?mw=660,15,Cheese Dish,https://www.tasteatlas.com/cheese-dishes,Provoleta,4.6,Best in   (Buenos Aires),La Cabrera Parrilla Palermo,https://www.tasteatlas.com/LaCabrera,"In Argentina, provoleta or grilled provoleta cheese is typically enjoyed before a meal or as a side to grilled meats in Argentinean barbecue. The semi-hard provolone is the perfect cheese for the grill, because it's compact an...",asado—,https://www.tasteatlas.com/grilledprovoleta/wheretoeat,,,https://www.tasteatlas.com/provolone-valpadana,https://www.tasteatlas.com/oregano,https://www.tasteatlas.com/red-chili-flakes,,,,https://cdn.tasteatlas.com/images/dishes/6c3e1a70d26045399090a5024d4d5736.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/0ea6693aa6ea4ac88e0277319fdec69e.png?h=120&w=120,,,,
https://www.tasteatlas.com/pastafrola,https://cdn.tasteatlas.com//images/dishes/edc6e9f108ea43988d5e80785fc15d0e.jpg?mw=660,16,Tart,https://www.tasteatlas.com/tarts,Pastafrola,4.1,Best in   (Buenos Aires),Confitería La Pasta Frola,https://www.tasteatlas.com/confiteria-la-pasta-frola,"Even though their name and origin stem from Italian tradition, pastafrola tarts have become an integral part of South American cuisine. They traditionally combine buttery shortcrust pastry and various fillings such as quince cheese, dulce de leche...",,https://www.tasteatlas.com/pastafrola/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/fugazzeta,https://cdn.tasteatlas.com//images/dishes/2cd66aff967748e7bc9e4ff227c09182.jpg?mw=660,17,Pizza,https://www.tasteatlas.com/Pizzas,Fugazzeta,4.0,Best in   (Buenos Aires),La Mezzetta,https://www.tasteatlas.com/LaMezzetta,"Fugazzeta is a mozzarella-stuffed pizza topped with onions, originating from Argentina. The onions should be thinly sliced, and they can be either raw or sautéed. The dough is usually made with milk, water, yeast, flour, sugar, salt, and ol...",,https://www.tasteatlas.com/fugazzeta/wheretoeat,,,https://www.tasteatlas.com/Flour,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/mozzarella,https://www.tasteatlas.com/spinach,https://www.tasteatlas.com/prosciutto-cotto,,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/0f49880c948545228967a4db32b39d41.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/f39499a2edf14a8fb379817a193eaff8.png?h=120&w=120,,
https://www.tasteatlas.com/milanesa-napolitana,https://cdn.tasteatlas.com//images/dishes/043d4cc3d9ff4870a99de36edab4b87e.jpg?mw=660,18,Beef Dish,https://www.tasteatlas.com/beef-dishes,Milanesa napolitana,4.5,Best in   (Buenos Aires),El Obrero,https://www.tasteatlas.com/el-obrero,"Milanesa napolitana is a traditional Argentine dish originating from Buenos Aires. It consists of a milanesa steak that's breaded, fried, then topped with a slice of ham, tangy tomato sauce, and thick slices of mozzarella, which will melt under th...",,https://www.tasteatlas.com/milanesa-napolitana/wheretoeat,https://www.tasteatlas.com/buenos-aires,Buenos Aires,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/breadcrumbs,https://www.tasteatlas.com/cured-ham,https://www.tasteatlas.com/mozzarella,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/e24fe15038ed4b04b5ba1b336664583a.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/0f49880c948545228967a4db32b39d41.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,
