search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/lham-lahlou,https://cdn.tasteatlas.com//images/dishes/d0d951f75b2a4b278d622846cca9fd8a.jpg?mw=660,11,Stew,https://www.tasteatlas.com/Stews,Lham lahlou,,"Lham (lit. meat) lahlou (lit. sweet) is an Algerian dish consisting of pieces of lamb stewed in a sweet syrup with fruit and various spices such as cinnamon and star anise. The dish often employs fruits such as prunes, quince, apples, pears, apric...",https://www.tasteatlas.com/lham-lahlou/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/sugar-syrups,https://cdn.tasteatlas.com/images/ingredientgroups/8b1aa8cc46f7435c83cfb8dce4f14f69.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/star-anises,https://cdn.tasteatlas.com/images/ingredientgroups/4b484164b7d34a489be78cea8d98149f.png?h=120&w=120,https://www.tasteatlas.com/Prunes,https://cdn.tasteatlas.com/images/ingredientgroups/75fe720786dd42e0896eef781fd7e6b2.png?h=120&w=120,n/a
https://www.tasteatlas.com/kesra,https://cdn.tasteatlas.com//images/dishes/9a4680b3acca4a0e98f6abfb72dcb949.jpg?mw=660,12,Flatbread,https://www.tasteatlas.com/Flatbreads,Kesra,4.5,"Kesra or  is a traditional Algerian flatbread that is used as a daily bread. The dough consists of semolina, oil, salt, and water, and typically contains no yeast. Unlike the similar , kesra is not baked, b...",https://www.tasteatlas.com/kesra/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/mkhabez,https://cdn.tasteatlas.com//images/dishes/91102d1d417143d9be51ead094ec91a4.jpg?mw=660,13,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Mkhabez,,"Every important celebration in Algeria is never complete without mkhabez, a traditional and delicate Algerian pastry. It is made with ground nuts, sugar, eggs, and flavorings, then cut into small, elegant shapes. Essentially, it is easy to make, h...",https://www.tasteatlas.com/mkhabez/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/kalb-el-louz,https://cdn.tasteatlas.com//images/dishes/bb804b14578e4687a20265e2795f0ef0.jpg?mw=660,14,Dessert,https://www.tasteatlas.com/Desserts,Kalb-el-louz,,"Kalb-el-louz is a popular Algerian baked dessert consisting of semolina and ground almonds as key ingredients. It's typically flavored with cardamom, cinnamon, vanilla, and orange blossom water. After it has been cooked, kalb-el-louz is combined w...",https://www.tasteatlas.com/kalb-el-louz/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/makroud-el-louse,https://cdn.tasteatlas.com//images/dishes/dd7f42b78b6d4727a1033efbaa95119d.jpg?mw=660,15,Cookie,https://www.tasteatlas.com/Cookies,Makroud el louse,,"Makroud el louse are flourless Algerian cookies consisting of almonds, eggs, sugar, and a flavoring of orange flower water. Baked until lightly browned, these cookies are typically tossed in powdered sugar in order to be completely coated. Once co...",https://www.tasteatlas.com/makroud-el-louse/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/tamina,https://cdn.tasteatlas.com//images/dishes/ee34e1bdf698465895514fe67ae7312b.jpg?mw=660,16,Dessert,https://www.tasteatlas.com/Desserts,Tamina,,"Tamina is an ancient Algerian sweet treat consisting of toasted ground semolina, butter, and honey. It is typically decorated with cinnamon or sugared almonds. Traditionally, it is served when celebrating the birth of a child, but it can be prepar...",https://www.tasteatlas.com/tamina/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Honey,https://cdn.tasteatlas.com/images/ingredientgroups/a5a217a77bba4b058da954c06e385041.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,,,,n/a
https://www.tasteatlas.com/shakshouka-algeria,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,17,Egg Dish,https://www.tasteatlas.com/egg-dishes,Shakshouka,4.2,"Shakshouka is a delicious combination of eggs poached in a spicy tomato sauce. Although it has an unusual name, the dish is straightforward and easy to make. It is usually made in a skillet in which onions, tomatoes, and spices are cooked until th...",https://www.tasteatlas.com/shakshouka-algeria/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,
https://www.tasteatlas.com/khobz-el-dar,https://cdn.tasteatlas.com//images/dishes/04960183591b43468a8f362bbff28fd6.jpg?mw=660,18,Bread,https://www.tasteatlas.com/Breads,Khobz el dar,,"Khobz el dar is an Algerian bread that requires no kneading. It consists of semolina, salt, sugar, yeast, oil, eggs, milk, and optional sesame seeds for decoration. Once it has been baked, the bread develops a soft and tender texture and a slightl...",https://www.tasteatlas.com/khobz-el-dar/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/bouzellouf,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,19,Offal Dish,https://www.tasteatlas.com/Offal,Bouzellouf,,"Bouzellouf is a North African dish prepared with sheep’s head and sheep’s feet. They are first seared over an open flame in order to be dehaired, then washed with a brush and seasoned with salt, cumin, and cayenne pepper. The ingredien...",https://www.tasteatlas.com/bouzellouf/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/mbesses,https://cdn.tasteatlas.com//images/dishes/d3f55bf93b724052a0e2c3fb73892b09.jpg?mw=660,20,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Mbesses,,"Mbesses is an Algerian sweet cake that is made with a combination of semolina or farina and eggs as the key ingredients. Apart from those, this cake consists of milk, yeast, sugar, honey, butter, and just a pinch of salt. It is typically garnished...",https://www.tasteatlas.com/mbesses/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/chorba-beida,https://cdn.tasteatlas.com//images/dishes/043251dd6b934e76a64fe898b70752f5.jpg?mw=660,21,Chicken Soup,https://www.tasteatlas.com/chicken-soups,Chorba beïda,,"Chorba beïda is a rich and nourishing Algerian white chicken soup that's traditionally prepared for Ramadan. It's usually made with a combination of chicken, onions, carrots, celery, garlic, butter, cinnamon, chickpeas, and seasonings. The ch...",https://www.tasteatlas.com/chorba-beida/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,n/a
https://www.tasteatlas.com/mesfouf,https://cdn.tasteatlas.com//Images/Dishes/b21077560dd34df2bee66e731d1f76b0.jpg?mw=660,22,Side Dish,https://www.tasteatlas.com/Sides,Mesfouf,,"Mesfouf refers to a dish where the main ingredient is a version of couscous made with finely ground semolina and butter. The dish can then be made in sweet or savory versions, depending on the additional ingredients. This flavorful side dish origi...",https://www.tasteatlas.com/mesfouf/wheretoeat,,,,,,,,,,,,,n/a
