search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,search-results__item-description 2
https://www.tasteatlas.com/diri-ak-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,11,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Diri ak pwa,n/a,"Diri ak pwa, also called , is the national dish of Haiti, consisting of rice and beans. The dish became a common, everyday staple during the period of slavery, when rice and beans were two of the few ingredients that were ...",https://www.tasteatlas.com/diri-ak-pwa/wheretoeat,diri kole ak pwa
https://www.tasteatlas.com/diri-ak-djon-djon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,12,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Diri ak djon djon,n/a,"Diri ak djon djon is a Haitian dish consisting of rice combined with black mushrooms. During the boiling process, these mushrooms release a natural coloring (gray to black), giving the dish its distinctive colors and flavors. Black mushrooms are n...",https://www.tasteatlas.com/diri-ak-djon-djon/wheretoeat,
https://www.tasteatlas.com/diri-ak-legim,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,13,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Diri ak legim,n/a,"Diri ak legim is a healthy Haitian dish consisting of rice that is combined with one of the Haitian staple dishes known as . Legim is made with a variety of vegetables such as cabbage, watercress, and eggplant. When combined with ric...",https://www.tasteatlas.com/diri-ak-legim/wheretoeat,legim
https://www.tasteatlas.com/diri-ak-sos-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,14,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Diri ak sos pwa,n/a,"Diri ak sos pwa refers to a Haitian dish that is essentially a combination of white rice and , a sauce made by mashing a variety of beans with a few spices and flavorings. When the two are combined, it makes for a whole, nutritious...",https://www.tasteatlas.com/diri-ak-sos-pwa/wheretoeat,sos pwa
https://www.tasteatlas.com/sos-ti-malice,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Sauce,https://www.tasteatlas.com/Sauces,Sos ti-malice,n/a,"This spicy Haitian sauce is popular throughout the Caribbean. It consists of oil, scotch bonnet peppers, tomato sauce or tomato paste, lemon or lime juice, and various spices and flavorings such as onions, cloves, salt, pepper, thyme, and parsley....",https://www.tasteatlas.com/sos-ti-malice/wheretoeat,
https://www.tasteatlas.com/dous-makos,https://cdn.tasteatlas.com//images/dishes/c869c9b6aacd4e73ad22f3761de4ecec.jpg?mw=660,16,Dessert,https://www.tasteatlas.com/Desserts,Dous makos,n/a,"Dous makos is the Haitian version of fudge. This sweet dessert originates from the town of Petit-Goave and dates back to 1939, when it was invented by Fernand Macos, a Belgian entrepreneur. It is made from sugar, milk, flavorings, and colorings. D...",https://www.tasteatlas.com/dous-makos/wheretoeat,
https://www.tasteatlas.com/sos-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,17,Sauce,https://www.tasteatlas.com/Sauces,Sos pwa,n/a,"Sos pwa is a Haitian sauce with Creole origins. It is a purée made with various types of beans, and the choice of beans will determine the consistency and the color of the sauce. Traditionally, it is prepared in a , a m...",https://www.tasteatlas.com/sos-pwa/wheretoeat,pilòn
https://www.tasteatlas.com/pwason-boukannen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,18,Technique,https://www.tasteatlas.com/Techniques,Pwason boukannen,n/a,"In Haiti, pwason boukannen refers to fish that has been smoked using a traditional technique called . It is prepared by taking a large piece of wood and splitting it into two, then tying one end and leaving the other end open so the...",https://www.tasteatlas.com/pwason-boukannen/wheretoeat,boukan
https://www.tasteatlas.com/poul-ak-nwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,19,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Poul ak nwa,n/a,"Poul ak nwa is a traditional Haitian chicken dish originating from the Cap-Haïtien area. The name of the dish means cashew chicken, and it's usually made by first marinating the chicken in a combination of lime juice or Seville orange juice, ...",https://www.tasteatlas.com/poul-ak-nwa/wheretoeat,
https://www.tasteatlas.com/mayi-moulen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,20,Porridge,https://www.tasteatlas.com/Porridge,Mayi moulen,n/a,"Mayi moulen is a Haitian staple consisting of yellow cornmeal that is cooked in water and combined with garlic, butter, and salt until the concoction has a desired thickness and creaminess. It is quick and easy to prepare, which is the reason why ...",https://www.tasteatlas.com/mayi-moulen/wheretoeat,
https://www.tasteatlas.com/pain-haitien,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,21,Bread,https://www.tasteatlas.com/Breads,Pain Haïtien,n/a,"Haitian bread is the most common type of bread that can be found in Haiti. It consists of flour, yeast, sugar, butter, and salt, although every baker has its own twist on the ingredients. This bread may be prepared in various sizes and shapes, and...",https://www.tasteatlas.com/pain-haitien/wheretoeat,
https://www.tasteatlas.com/doukounou,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,22,Pudding,https://www.tasteatlas.com/puddings,Doukounou,n/a,"Doukounou is the name for a popular Haitian cornmeal pudding that is neither sweet nor savory in flavor, which is why it is commonly eaten with a sweet or savory sauce on the side. For the sweet version, the combination of cornmeal, milk, sugar, c...",https://www.tasteatlas.com/doukounou/wheretoeat,
https://www.tasteatlas.com/tonmtonm,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,23,Side Dish,https://www.tasteatlas.com/Sides,Tonmtonm,n/a,"Tonmtonm is a Haitian dish that is made with mashed breadfruit as the main ingredient. Sometimes, it is combined with okra or sweet potatoes. It is traditionally made in a large, deep mortar with a long pestle. Some believe that the name of the di...",https://www.tasteatlas.com/tonmtonm/wheretoeat,
https://www.tasteatlas.com/pain-patate,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,24,Pudding,https://www.tasteatlas.com/puddings,Pain patate,n/a,"Pain patate is one of the most beloved Haitian desserts. The main ingredient used in pain patate are sweet potatoes, preferably the variety with violet skin and white interior. Apart from those, the dessert is made with freshly grated coconut, coc...",https://www.tasteatlas.com/pain-patate/wheretoeat,
https://www.tasteatlas.com/accra-haiti,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,25,Snack,https://www.tasteatlas.com/Snacks,Accra,n/a,"Accra is a traditional Haitian fritter that is usually made with black-eyed peas, scallions, onions, garlic, bell peppers, chili peppers, eggs, flour, baking powder, and  – a nutty-flavored root that is closely linked to cass...",https://www.tasteatlas.com/accra-haiti/wheretoeat,malanga
