search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2
https://www.tasteatlas.com/sua-ia,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,11,Fish Soup,https://www.tasteatlas.com/fish-soups,Sua i'a,"Sua i'a is a flavorful Samoan fish soup prepared with any medium to firm-textured fish such as snapper, yellowtail, or sea bass, together with the skin and bones. In addition to the fish, the soup is prepared with thinly sliced onions, water, salt...",https://www.tasteatlas.com/sua-ia/wheretoeat
https://www.tasteatlas.com/paifala,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,12,Sweet Pie,https://www.tasteatlas.com/sweet-pies,Paifala,"Paifala are Samoan pies shaped into half-moons, visually similar to a . The most traditional recipe calls for a filling of crushed pineapple and leftover syrup, milk, sugar, and cornstarch. The crust is typically made with flour, b...",https://www.tasteatlas.com/paifala/wheretoeat
https://www.tasteatlas.com/faausi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Dessert,https://www.tasteatlas.com/Desserts,Fa'ausi,"Fa'ausi is a traditional Samoan dessert consisting of a creamy caramel concoction that is prepared with coconut milk. Typically, the sugar gets caramelized over hot stones and rocks, and the combination is then poured over baked taro root cubes or...",https://www.tasteatlas.com/faausi/wheretoeat
https://www.tasteatlas.com/poi-mago,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,14,Pudding,https://www.tasteatlas.com/puddings,Poi mago,"Poi mago is a refreshing Samoan mango pudding consisting of mangoes, lime juice, coconut milk, sugar, and vanilla. The concoction is blended until smooth and chilled until ready for consumption. It is recommended to serve this flavorful dessert ov...",https://www.tasteatlas.com/poi-mago/wheretoeat
https://www.tasteatlas.com/keke-puaa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,15,Snack,https://www.tasteatlas.com/Snacks,Keke pua'a,"Keke pua'a are Samoan versions of bao steamed buns, filled with a combination of pork, garlic, soy sauce, and onions, although they can be filled with basically any combination of meat and other ingredients. The tender dough is made with flour, su...",https://www.tasteatlas.com/keke-puaa/wheretoeat
https://www.tasteatlas.com/faalifu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,16,Dressing,https://www.tasteatlas.com/dressings,Fa'alifu,"Fa'aifu is a staple Samoan sauce that is mostly used for dressing up fruits such as breadfruit and green bananas or starchy roots such as taro, yams, potatoes, cassava, and sweet potatoes. The sauce consists of coconut milk, a bit of salt, and cho...",https://www.tasteatlas.com/faalifu/wheretoeat
https://www.tasteatlas.com/faapapa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,17,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Fa'apapa,"Fa'apapa is a Samoan coconut bread characterized by a heavy and dense texture that you can almost break your teeth on! In modern times, the bread has somewhat evolved, so baking powder is added to the dough, and the bakers put a bit less coconut i...",https://www.tasteatlas.com/faapapa/wheretoeat
https://www.tasteatlas.com/keke-fai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,18,Cake,https://www.tasteatlas.com/cakes,Keke fa'i,"Keke fa'i is the perfect way to use leftover, overripe bananas. This Samoan cake is made with flour, baking powder, butter, sugar, eggs, vanilla, milk, and mashed bananas. Once the cake is baked, it should be left to cool off, and then it could be...",https://www.tasteatlas.com/keke-fai/wheretoeat
https://www.tasteatlas.com/koko-araisa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,19,Dessert,https://www.tasteatlas.com/Desserts,Koko araisa,"Koko araisa is a Samoan dessert consisting of rice, coconut milk, sugar, and cocoa powder. All of the ingredients are combined and boiled, and the final result should resemble a thick, dark-colored soup. Consumed either hot or chilled, cocoa rice ...",https://www.tasteatlas.com/koko-araisa/wheretoeat
https://www.tasteatlas.com/oka-popo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,20,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Oka popo,"Oka popo is a Samoan dish made with coconut milk, fresh fish, and vegetables such as cucumber, tomatoes, and onions. The ingredients are mixed with lime or lemon juice, salt and pepper, and freshly chopped coriander. This concoction is then placed...",https://www.tasteatlas.com/oka-popo/wheretoeat
https://www.tasteatlas.com/alaisa-faapopo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,21,Snack,https://www.tasteatlas.com/Snacks,Alaisa fa'apopo,"Although it looks like a side dish, in Samoan cuisine, coconut rice is usually served as a savory snack. It is made with rice, water, coconut milk, and salt. The dish should be served hot or warm, at room temperature. It is recommended to pair coc...",https://www.tasteatlas.com/alaisa-faapopo/wheretoeat
