search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/chlebicky,https://cdn.tasteatlas.com//Images/Dishes/7d0b13a8798b48f9b02df8e8203f6200.jpg?mw=660,11,Sandwich type,https://www.tasteatlas.com/sandwich-types,Chlebíčky,3.9,Best in   (Prague),Sisters,https://www.tasteatlas.com/sisters,"Chlebíčky are small, open-faced sandwiches originating from the Czech Republic. Although there are many open-faced sandwiches throughout the world, chlebíčky are unique because of their unusual combination of toppings, a variety of f...",,https://www.tasteatlas.com/chlebicky/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pernik,https://cdn.tasteatlas.com//Images/Dishes/22e822c84963413bbc23b4f6042b5c59.jpg?mw=660,12,Cookie,https://www.tasteatlas.com/Cookies,Pernik,4.2,,,,"Although the name pernik might refer to a soft ginger-spiced bundt cake, it is predominately used to describe traditional Czech cookies spiced with cinnamon, cloves, nutmeg, allspice, and ginger. They are usually cut out into different shapes and ...",,https://www.tasteatlas.com/pernik/wheretoeat,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/cloves,https://cdn.tasteatlas.com/images/ingredientgroups/59dd76e264aa44b3890bec8a11722eac.png?h=120&w=120,https://www.tasteatlas.com/nutmegs,https://cdn.tasteatlas.com/images/ingredientgroups/7ee6cd3c42294ee7a9b8fc3e2184ac56.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
https://www.tasteatlas.com/vanocni-cukrovi,https://cdn.tasteatlas.com//Images/Dishes/7673927b159b4be48d0b18e3acf4bb11.jpg?mw=660,13,Cookie,https://www.tasteatlas.com/Cookies,Vánoční cukroví,4.5,,,,"The huge group of traditional Czech Christmas cookies are united under the name vánoční cukroví. It consists of numerous varieties of traditional sweets that are made with various basic and additional ingredients, shaped into ...",,https://www.tasteatlas.com/vanocni-cukrovi/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/uzene,https://cdn.tasteatlas.com//images/dishes/ff3c01ebb9d3425b92ca564c587a9952.jpg?mw=660,14,Pork Dish,https://www.tasteatlas.com/pork-dishes,Uzené,4.2,,,,"Uzené is a Czech term which refers to a variety of smoked meat products such as pork joints, pork ribs, or different types of ham. Whether they are industrially produced or smoked in traditional smokehouses, uzené products are often ...",,https://www.tasteatlas.com/uzene/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/trdelnik,https://cdn.tasteatlas.com//images/dishes/b17fce3105f54e74864d7de485513231.jpg?mw=660,15,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Trdelník,4.2,,,,This Hungarian tube-shaped pastry popularly known as  traces its origin to the medieval era Székely Land—back then a part of the Kingdom of Hungary. The first known recipe titled,chimney cake,https://www.tasteatlas.com/trdelnik/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120
https://www.tasteatlas.com/utopenci,https://cdn.tasteatlas.com//Images/Dishes/2ccd12ceae77462ea693b8fba0c92a97.jpg?mw=660,16,Sausage,https://www.tasteatlas.com/Sausages,Utopenci,3.7,Best in   (Prague),U Vejvodů,https://www.tasteatlas.com/UVejvodu,"Utopenci is a popular Czech dish that is commonly served in pubs and bars as a snack. It consists of sausages that are pickled in a tangy marinade with bay leaves, onions, black pepper, and other spices. The dish is traditionally eaten cold with w...",,https://www.tasteatlas.com/utopenci/wheretoeat,https://www.tasteatlas.com/Sausages,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/peppercorns,https://cdn.tasteatlas.com/images/ingredientgroups/208d4c78a6af42c8b06206069f6b1f81.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120
https://www.tasteatlas.com/buchty,https://cdn.tasteatlas.com//Images/Dishes/3c8c4d8168f844c4892f2213e9694b4e.jpg?mw=660,17,Dessert,https://www.tasteatlas.com/Desserts,Buchty,4.3,Best in   (Prague),Antonínovo Pekařství,https://www.tasteatlas.com/antoninovo-pekarstvi,"Buchty are traditional Czech yeasted buns that are filled with various sweet ingredients. They consist of a light, buttery dough that is occasionally enriched with fragrant vanilla or citrus flavorings. Divided into smaller portions, the dough is ...",,https://www.tasteatlas.com/buchty/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/bramboracka,https://cdn.tasteatlas.com//images/dishes/9102ac501aaf4062ab33224c31085da0.jpg?mw=660,18,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Bramboračka,4.2,Best in   (Prague),Restaurace Mincovna,https://www.tasteatlas.com/restaurace-mincovna,"Although it was originally considered a poor man’s meal, this creamy potato soup known as bramboračka has become one of the classics of Czech cuisine. It appears in numerous variations, but mainly includes simple ingredients such as root veg...",,https://www.tasteatlas.com/bramboracka/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/parsnips,https://cdn.tasteatlas.com/images/ingredientgroups/c8df7467755a46948c91e21ae29dcec0.png?h=120&w=120
https://www.tasteatlas.com/cesnecka,https://cdn.tasteatlas.com//Images/Dishes/4c9e7ec59b7a4c088465fd598a03736e.jpg?mw=660,19,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Česnečka,4.2,Best in   (Český Krumlov),Bílá Paní,https://www.tasteatlas.com/BilaPani,"In Czech folklore, the best cure for a cold or a hangover is a bowl of česnečka, a traditional garlic soup. Although garlic is the key ingredient, the soup also incorporates potatoes, meat broth, onions, and traditional spices such as caraway and ...",,https://www.tasteatlas.com/cesnecka/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/marjoram,https://cdn.tasteatlas.com/images/ingredientgroups/12b31184394747588ce88ac03cfa4f1d.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120
https://www.tasteatlas.com/karbanatky,https://cdn.tasteatlas.com//Images/Dishes/a671f86a21e54a19a43500c7fcf69253.jpg?mw=660,20,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Karbanátky,4.1,,,,"Karbanátky is a universal term which refers to a broad group of traditional Czech and Slovak patties. Although they are predominately made with minced pork, beef, or chicken, they can also be based on various vegetables, fish, soy, lentils,...",,https://www.tasteatlas.com/karbanatky/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120
https://www.tasteatlas.com/bramboraky,https://cdn.tasteatlas.com//Images/Dishes/44a39b3cdc874bb3bc6eff9986d1c7f5.jpg?mw=660,21,Pancake,https://www.tasteatlas.com/pancakes,Bramboráky,4.6,Best in   (Hořičky),Vila Barbora,https://www.tasteatlas.com/VilaBarbora,"Bramboráky are savory potato pancakes, considered to be one of the most famous Czech dishes. They consist of grated potatoes mixed with eggs, finely grated garlic, and traditional spices such as marjoram and pepper. The mixture is pan-fried...",,https://www.tasteatlas.com/bramboraky/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/marjoram,https://cdn.tasteatlas.com/images/ingredientgroups/12b31184394747588ce88ac03cfa4f1d.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,,
https://www.tasteatlas.com/livance,https://cdn.tasteatlas.com//images/dishes/5ecc1f4219704c7b8ae2ce14a54e1300.jpg?mw=660,22,Pancake,https://www.tasteatlas.com/pancakes,Lívance,4.4,Best in   (Prague),Den Noc,https://www.tasteatlas.com/den-noc,"Round, thick, and soft, lívance are traditional Czech pancakes. The addition of yeast in the egg batter gives them an incredibly soft and buttery texture and differentiates them from other common pancake varieties. Lívance are usuall...",,https://www.tasteatlas.com/livance/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/smazeny-syr,https://cdn.tasteatlas.com//images/dishes/a748dafb34ad4e5eb073289af3f9feed.jpg?mw=660,23,Snack,https://www.tasteatlas.com/Snacks,Smažený sýr,4.1,Best in   (Prague),Lokál Dlouhááá,https://www.tasteatlas.com/AmbienteLokal,"This traditional Czech specialty is also known by the popular name . The dish consists of a block of cheese – usually  – which is coated in eggs, breadcrumbs, and flour, then shallow-fried until crispy. Even...",smazak,https://www.tasteatlas.com/smazeny-syr/wheretoeat,https://www.tasteatlas.com/edam-holland,https://cdn.tasteatlas.com/images/dishes/a670245fa02e4bc08b9dea9a5acc1a13.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,,
https://www.tasteatlas.com/vepro-knedlo-zelo,https://cdn.tasteatlas.com//Images/Dishes/e625a0f827e64e0d827e7210c98cc44c.jpg?mw=660,24,Pork Dish,https://www.tasteatlas.com/pork-dishes,Vepřo knedlo zelo,4.5,Best in   (Prague),Lokál Dlouhááá,https://www.tasteatlas.com/AmbienteLokal,"The name of this Czech national dish translates simply as  Pork is roasted in the oven with chopped onions, and the drippings from the roast are reduced into a sauce that is served with the d...",pork roast with bread dumplings and sauerkraut.,https://www.tasteatlas.com/vepro-knedlo-zelo/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120
https://www.tasteatlas.com/vanocka,https://cdn.tasteatlas.com//Images/Dishes/1fd01e5246c240d5805f027f5365619f.jpg?mw=660,25,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Vánočka,4.3,,,,"Traditionally prepared for Christmastime, vánočka is a braided brioche-like bread that is typically flavored with rum and lemon zest, although it is often made with the addition of raisins and almonds. The name of this delicacy stems from <...",,https://www.tasteatlas.com/vanocka/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/jelito,https://cdn.tasteatlas.com//Images/Dishes/62089562acc6429a9c9f044227b8e771.jpg?mw=660,26,Blood Sausage,https://www.tasteatlas.com/blood-sausages,Jelito,3.5,,,,"Jelito is a traditional Czech blood sausage. Prepared with pig’s blood and ground pork meat (mainly head, belly, and offal) it incorporates lard and various spices such as marjoram and cumin. Many jelito variations also consist of grains or ...",,https://www.tasteatlas.com/jelito/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kulajda,https://cdn.tasteatlas.com//images/dishes/ac1ffba19f054a8cbb52fc6307c30186.jpg?mw=660,27,Soup,https://www.tasteatlas.com/Soups,Kulajda,4.0,Best in   (Prague),Café Imperial,https://www.tasteatlas.com/CafeImperial,"Czech kulajda is a creamy dill soup with a floury  acting as the base. It is believed that every Czech region and family have their signature version of this hearty soup. Today most varieties consist of mushrooms and potatoes, with an...",roux,https://www.tasteatlas.com/kulajda/wheretoeat,,,,,,,,,,,,
