search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na,search-results__item-description 2
https://www.tasteatlas.com/ayam-masak-merah,https://cdn.tasteatlas.com//images/dishes/03b49284ddfb4967857a46e181ed4e2b.jpg?mw=660,11,Fried Chicken Dish,https://www.tasteatlas.com/fried-chicken-dishes,Ayam masak merah,Best in   (Kuala Lumpur),Chawan,https://www.tasteatlas.com/chawan,"Ayam masak merah is a Malaysian dish made with chicken pieces that are doused in a rich, spicy, and creamy tomato sauce. Chicken pieces are first fried, then simmered in a sauce consisting of tomatoes, chili peppers, onions, garlic, and various sp...",https://www.tasteatlas.com/ayam-masak-merah/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,,n/a,
https://www.tasteatlas.com/hokkien-mee-malaysia,https://cdn.tasteatlas.com//images/dishes/b45b63eeb2294447a4d17bbadf8fd598.jpg?mw=660,12,Noodle Dish,https://www.tasteatlas.com/Noodles,Hokkien mee Malaysia,Best in   (Kuala Lumpur),Kim Lian Kee Hokkien Mee,https://www.tasteatlas.com/kim-lian-kee-hokkien-mee,"This popular noodle dish hails from Malaysia, and it should not be confused with the similar Singaporean version or significantly different variety that comes from Penang—but which curiously share the same name. Malaysian Hokkien mee that is...",https://www.tasteatlas.com/hokkien-mee-malaysia/wheretoeat,,,,,,,,,,,,,,,,n/a,
https://www.tasteatlas.com/pan-mee,https://cdn.tasteatlas.com//images/dishes/72dbd213b1854c7fa63ab7e1ea21325d.jpg?mw=660,13,Noodle Dish,https://www.tasteatlas.com/Noodles,Pan mee,Best in   (Kuala Lumpur),Restaurant Kin Kin,https://www.tasteatlas.com/restaurant-kin-kin,"Although it is hard to trace its exact origin, this hearty noodle dish is believed to be a classic fusion of Chinese and Malaysian culinary traditions. The dish usually consists of hand-pulled noodles that are served in broth, usually accompanied ...",https://www.tasteatlas.com/pan-mee/wheretoeat,,,,,,,,,,,,,,,,n/a,
https://www.tasteatlas.com/nasi-kerabu,https://cdn.tasteatlas.com//images/dishes/7be259cbce8d442dba511da533c750af.jpg?mw=660,14,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Nasi kerabu,Best in   (Kota Bharu),Yati Ayam Percik,https://www.tasteatlas.com/yati-ayam-percik,"This complex Malaysian dish consists of tinted rice that is served alongside various accompaniments. Although it can vary in color, the rice in nasi kerabu is traditionally blue since it is cooked together with petals of the butterfly pea flower. ...",https://www.tasteatlas.com/nasi-kerabu/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/kelantan,https://cdn.tasteatlas.com/images/emblems/a8e7fc663c6741c79dcad3205f7026ec.png,Kelantan,n/a,
https://www.tasteatlas.com/laksam,https://cdn.tasteatlas.com//Images/Dishes/5bfd7ccd35254f10bb0fccae19118077.jpg?mw=660,15,Noodle Dish,https://www.tasteatlas.com/Noodles,Laksam,Best in   (Shah Alam),Restoran Hatinie,https://www.tasteatlas.com/restoran-hatinie,"Traditionally associated with the regions of Kelantan and Terengganu, this flavorful Malaysian soup consists of rolled rice noodles served in a creamy fish broth. The noodles are prepared with a thin rice flour batter that is poured on a flat surf...",https://www.tasteatlas.com/laksam/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/mackerels,https://cdn.tasteatlas.com/images/ingredientgroups/ea27ab9ee58641d0ae37f3275c0b06d2.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/terengganu,https://cdn.tasteatlas.com/images/emblems/fa84ce034cf14aad9149878019623131.png,Terengganu,n/a,
https://www.tasteatlas.com/ayam-percik,https://cdn.tasteatlas.com//images/dishes/daae7515a18a46f89b37d977726fba31.jpg?mw=660,16,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Ayam percik,Best in   (Kota Bharu),Yati Ayam Percik,https://www.tasteatlas.com/yati-ayam-percik,"Hailing from Kelantan, ayam percik consists of marinated chicken that is traditionally slowly grilled over charcoal. It is prepared with bone-in cuts that are generously seasoned with a spice blend that usually incorporates coconut milk, cumin, tu...",https://www.tasteatlas.com/ayam-percik/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/kelantan,https://cdn.tasteatlas.com/images/emblems/a8e7fc663c6741c79dcad3205f7026ec.png,Kelantan,n/a,
https://www.tasteatlas.com/kolo-mee,https://cdn.tasteatlas.com//images/dishes/bc7d7e07859b48fcb60a6192ad2f7d0e.jpg?mw=660,17,Noodle Dish,https://www.tasteatlas.com/Noodles,Kolo mee,Best in   (Kuching),Mi Kolok Haji Salleh,https://www.tasteatlas.com/mi-kolok-haji-salleh,"Kolo mee is a traditional Malaysian dish hailing from Sarawak. This simple dish consists of egg noodles that are tossed in sauce and topped or served with sliced barbecued pork (), minced pork, and fried onions. In hawker stalls, ...",https://www.tasteatlas.com/kolo-mee/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/kuching,,Kuching,n/a,char siu
https://www.tasteatlas.com/bak-kut-teh,https://cdn.tasteatlas.com//Images/Dishes/ce851f5546e64611be7a7d2cf4c0b9dd.jpg?mw=660,18,Meat Soup,https://www.tasteatlas.com/meat-soups,Bak kut teh,Best in   (Klang),Teluk Pulai Bak Kut Teh,https://www.tasteatlas.com/TelukPulaiBakKutTeh,"Even though it is traditionally associated with Malaysia and Singapore, this hearty dish stems from the Chinese culinary tradition. In its simplest form, it consists of various pork cuts that are cooked in a flavorful broth which is seasoned with ...",https://www.tasteatlas.com/bak-kut-teh/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/star-anises,https://cdn.tasteatlas.com/images/ingredientgroups/4b484164b7d34a489be78cea8d98149f.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/fennel,https://cdn.tasteatlas.com/images/ingredientgroups/64c246113f4147b6a1bff6eae8667ae4.png?h=120&w=120,https://www.tasteatlas.com/klang,,Klang,,
https://www.tasteatlas.com/asam-pedas,https://cdn.tasteatlas.com//Images/Dishes/e0a6ca976c7e407c8bf475d189a9da43.jpg?mw=660,19,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Asam pedas,Best in   (Melaka City),Asam Pedas Pasar Borong,https://www.tasteatlas.com/AsamPedasPasarBorong,"The main characteristic of this popular Malaysian dish is the combination of tamarind juice and chili paste, giving the dish its signature sour and spicy flavors. Even though it appears in numerous varieties throughout the country, it is tradition...",https://www.tasteatlas.com/asam-pedas/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/melaka,https://cdn.tasteatlas.com/images/emblems/c33c228cb5e14e92aab35df710667c4a.png,Malacca,n/a,
https://www.tasteatlas.com/sarawak-laksa,https://cdn.tasteatlas.com//images/dishes/2fb147502c0c4e97940738c9bc427656.jpg?mw=660,20,Soup,https://www.tasteatlas.com/Soups,Sarawak laksa,Best in   (Petaling Jaya),Aunty Christina's Sarawak Laksa,https://www.tasteatlas.com/aunty-christinas-sarawak-laksa,"Closely related to other laksa varieties, Sarawak laksa is characterized by a subtle, mild flavor. Consisting of a flavorful chicken or shrimp-based broth that is seasoned with thick laksa paste, which sometimes includes more than twenty different...",https://www.tasteatlas.com/sarawak-laksa/wheretoeat,https://www.tasteatlas.com/vermicelli,https://cdn.tasteatlas.com/images/dishes/7fa8c8089627426ab477978e7dba02cc.png?h=120&w=120,https://www.tasteatlas.com/prawns,https://cdn.tasteatlas.com/images/ingredientgroups/f8c173a0e0e547ae889f483169ce22f8.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/kuching,,Kuching,,
https://www.tasteatlas.com/tempoyak,https://cdn.tasteatlas.com//images/dishes/01b36d1c4c7f45229d8bebea8afe5fcf.jpg?mw=660,21,Side Dish,https://www.tasteatlas.com/Sides,Tempoyak,,,,"This popular Malaysian condiment is made with salted durian fruit that is left to ferment at room temperature for at least two days. Since it is highly versatile, it can vary in flavor and spiciness, but it is usually characterized by a combinatio...",https://www.tasteatlas.com/tempoyak/wheretoeat,,,,,,,,,,,,,,,,n/a,
https://www.tasteatlas.com/masak-lemak,https://cdn.tasteatlas.com//images/dishes/1c1a9794eb48485997a3b6226b7aa770.jpg?mw=660,22,Stew,https://www.tasteatlas.com/Stews,Masak lemak,,,,"Masak lemak is a vibrant yellow Malaysian curry with a supposed origin in Negeri Sembilan. The dish can be prepared with various proteins such as chicken (ayam), fish (ikan), daging (beef), or seafood, but the base is always the same – a cre...",https://www.tasteatlas.com/masak-lemak/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/negeri-sembilan,https://cdn.tasteatlas.com/images/emblems/f7a2667a6ddd43cf81eb0ccc38bfc2e8.png,Negeri Sembilan,n/a,
https://www.tasteatlas.com/mee-rebus,https://cdn.tasteatlas.com//images/dishes/ee3b86bae1a6448baf267e853fabba10.jpg?mw=660,23,Noodle Dish,https://www.tasteatlas.com/Noodles,Mee rebus,,,,Mee rebus is a Malay noodle dish that is also popular in Indonesia and Singapore. It consists of yellow egg noodles that are doused in a rich and flavorful sauce that is highly versatile but usually includes various combinations of shrimps and sha...,https://www.tasteatlas.com/mee-rebus/wheretoeat,,,,,,,,,,,,,,,,n/a,
https://www.tasteatlas.com/penang-laksa,https://cdn.tasteatlas.com//images/dishes/0baf57d7cb7640c09e161d5f220f2b90.jpg?mw=660,24,Noodle Dish,https://www.tasteatlas.com/Noodles,Penang laksa,,,,"The perfect blend of spicy, sweet, savory, and umami flavors, penang laksa is a popular Malaysian street food, originating from the north-western state of Penang. This hearty noodle soup is made with poached mackerel (or sardines), tamarind, lemon...",https://www.tasteatlas.com/penang-laksa/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/mackerels,https://cdn.tasteatlas.com/images/ingredientgroups/ea27ab9ee58641d0ae37f3275c0b06d2.png?h=120&w=120,https://www.tasteatlas.com/sardines,https://cdn.tasteatlas.com/images/ingredientgroups/cfaaeb4f7a7943e6b41b0b7dad0ac9fb.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,https://www.tasteatlas.com/shrimp-paste,https://cdn.tasteatlas.com/images/dishes/bc7f81b6fdb74746a59d2abb0835c07c.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/penang,https://cdn.tasteatlas.com/images/emblems/debc7efe8a014c53a5c8ceb68dfda2aa.png,Penang,,
https://www.tasteatlas.com/karipap,https://cdn.tasteatlas.com//images/dishes/9d6ed776d7894d96b2af1c8f503f24ff.jpg?mw=660,25,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Karipap,Best in   (Petaling Jaya),HOMI Chicken Curry Puff,https://www.tasteatlas.com/HOMIChickenCurryPuff,"Karipap or  is a small, deep-fried or baked pastry shell filled with thick chicken and potatoes curry. It is believed that the flavorful snack was invented by the Malays from the Malay Peninsula and parts of Sumatra and Borneo. ...",https://www.tasteatlas.com/karipap/wheretoeat,,,,,,,,,,,,,,,,n/a,curry puff
https://www.tasteatlas.com/kuih-lapis,https://cdn.tasteatlas.com//images/dishes/b5ad5bf9ecc2470cb61d50d3aa506d1f.jpg?mw=660,26,Cake,https://www.tasteatlas.com/cakes,Kuih lapis,Best in   (Ampang Jaya),Vanity Kitchen,https://www.tasteatlas.com/vanity-kitchen,"Kuih lapis is a traditional Asian dessert popular in Malaysia, Indonesia, and Singapore. It is usually prepared as a layered cake consisting of rice flour, tapioca flour, water, sugar, coconut milk, pandan leaves, and red, green, or pink food colo...",https://www.tasteatlas.com/kuih-lapis/wheretoeat,,,,,,,,,,,,,,,,n/a,
