search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/kenyan-pilau,https://cdn.tasteatlas.com//images/dishes/98400b2389ac45d687c3b253512ab7ba.jpg?mw=660,11,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Kenyan Pilau,"Made with beef, chicken, goat, or no meat at all, Kenyan pilau is a rice-based specialty that is popular along the Swahili coast. The dish consists of rice that is flavored with a variety of spices and cooked in a broth made from meat or fish. Typ...",https://www.tasteatlas.com/kenyan-pilau/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Goat,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120
https://www.tasteatlas.com/kaimati,https://cdn.tasteatlas.com//Images/Dishes/0a1ab770d1294796b6e8bbaadbc3a5fb.jpg?mw=660,12,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kaimati,"Kaimati are sweet Kenyan dumplings consisting of flour, water, yogurt, yeast, and ghee. The dough is fried in oil until golden brown, then coated in sugar syrup made with sugar, water, lemon rinds, and a pinch of vanilla sugar or cardamom powder. ...",https://www.tasteatlas.com/kaimati/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/viazi-karai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,13,Street Food,https://www.tasteatlas.com/Street-food,Viazi karai,"Viazi karai is a crunchy Kenyan specialty consisting of boiled potatoes that are coated in a batter made with regular and gram flour, and either turmeric or saffron. The battered potatoes are then deep-fried in hot oil until golden brown. When ser...",https://www.tasteatlas.com/viazi-karai/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kenyan-stew,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,14,Stew,https://www.tasteatlas.com/Stews,Kenyan Stew,"Although Kenyan stew can be prepared with goat or chicken, the most popular and traditional version is made with chunks of beef, oil, onions, curry powder, tomatoes, coriander, and garlic. The base is typically prepared with ingredients such as pe...",https://www.tasteatlas.com/kenyan-stew/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mbaazi-za-nazi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Mbaazi za nazi,"Mbaazi za nazi is a specialty of Kenya's Coastal region, consisting of pigeon peas () cooked in coconut milk. When the milk evaporates, the dish is ready to be consumed. It can be additionally flavored with hot peppers, turmeric, ga...",https://www.tasteatlas.com/mbaazi-za-nazi/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kenyan-chapati,https://cdn.tasteatlas.com//images/dishes/266ebd85f0df4b999ecd0c7b2140da42.jpg?mw=660,16,Flatbread,https://www.tasteatlas.com/Flatbreads,Kenyan Chapati,"This flatbread is prepared with wheat flour, warm water, salt, and oil. Although chapati arrived in Kenya quite late, at the end of the 19th century, when Indian people worked on the Kenya-Uganda railway, nowadays it is considered a traditional fo...",https://www.tasteatlas.com/kenyan-chapati/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/oysters-mombasa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,17,Oyster Dish,https://www.tasteatlas.com/oyster-dishes,Oysters Mombasa,"Oysters Mombasa is a delicious Kenyan dish made by baking oysters which are drizzled with a sauce consisting of butter, garlic, white wine, hot sauce, and either parsley or coriander. After about 8 minutes, the oysters are ready, and it is recomme...",https://www.tasteatlas.com/oysters-mombasa/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mkate-wa-maji,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,18,Pancake,https://www.tasteatlas.com/pancakes,Mkate wa maji,"Mkate wa maji are Kenyan crepes consisting of flour, water, eggs, sugar, and ground cardamom. The batter is cooked in a pan with ghee butter. These crepes are often sprinkled with sugar and are served hot for breakfast. It is recommended to pair m...",https://www.tasteatlas.com/mkate-wa-maji/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/supu-ya-malenge,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,19,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Supu ya malenge,"This soup is made with chopped deseeded pumpkin, carrots, potatoes, stock, ginger, garlic, onions, and oil. In Kenyan cuisine, pumpkin is used in a number of ways – as a side dish, a replacement for potatoes, or in traditional soups such as ...",https://www.tasteatlas.com/supu-ya-malenge/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kenyan-bajias,https://cdn.tasteatlas.com//images/dishes/13beaa320a0c43febf87547dca29cdf7.jpg?mw=660,20,Snack,https://www.tasteatlas.com/Snacks,Kenyan Bajias,"Kenyan bajias are a popular street food item consisting of thinly sliced potatoes that are seasoned with turmeric, cumin, chili powder, garam masala, coriander, ginger, salt, and black pepper. The potatoes are then battered and fried until golden ...",https://www.tasteatlas.com/kenyan-bajias/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/pilipili-ya-maembe,https://cdn.tasteatlas.com//images/dishes/f3f6b3934bf14466a80b14ec315de467.jpg?mw=660,21,Relish,https://www.tasteatlas.com/relishes,Pilipili ya maembe,"Pilipili ya maembe is a healthy Kenyan chutney made with mango as the key ingredient. Apart from peeled and sliced mango, the chutney is made with ginger, onions, garlic, tomatoes, carrots, coriander, hot peppers, vinegar, and oil. All of the ingr...",https://www.tasteatlas.com/pilipili-ya-maembe/wheretoeat,https://www.tasteatlas.com/Mangoes,,https://www.tasteatlas.com/ginger,,https://www.tasteatlas.com/garlic,,https://www.tasteatlas.com/Tomatoes,,https://www.tasteatlas.com/Carrots,,https://www.tasteatlas.com/coriander,
