search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/sfinz,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,11,Breakfast,https://www.tasteatlas.com/Breakfast,Sfinz,n/a,"Sfinz is a traditional Libyan fried pastry made with a dough consisting of flour, sugar, yeast, salt, and water. The dough is shaped into small balls which are then flattened to form a thin layer of pastry. After it has been fried, sfinz is typica...",https://www.tasteatlas.com/sfinz/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/bakalawa-bil-jibna,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,12,Dessert,https://www.tasteatlas.com/Desserts,Bakalawa bil jibna,n/a,"Bakalawa bil jibna is the Libyan variety of baklava made with rosewater-flavored muhallabia and cream cheese. The filling typically consists of cream cheese, sugar, cornflour, milk, qashta cream, and rosewater. This baklava variety is doused in a ...",https://www.tasteatlas.com/bakalawa-bil-jibna/wheretoeat,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120,https://www.tasteatlas.com/cream-cheeses,https://cdn.tasteatlas.com/images/ingredientgroups/2c43b723665a4ffebeb3d58fab993d20.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120
https://www.tasteatlas.com/bureek-tajin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,13,Savory Pie,https://www.tasteatlas.com/savory-pies,Bureek tajin,n/a,"Bureek tajin is a savory Libyan meat pie consisting of two layers of thin dough with a ground meat filling sandwiched in between. The filling is usually made with ground meat, onions, and flavorings such as parsley, nutmeg, and hararat mixed spice...",https://www.tasteatlas.com/bureek-tajin/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/sharba-libiya,https://cdn.tasteatlas.com//images/dishes/a3e7ae562c9c445db2fa51cded746ebb.jpg?mw=660,14,Meat Soup,https://www.tasteatlas.com/meat-soups,Sharba Libiya,n/a,"Sharba Libiya is often considered the national dish of Libya, and it is especially popular during Ramadan. Although there are versions made with chicken or fish, the traditional version of this aromatic soup is prepared with lamb and dried mint as...",https://www.tasteatlas.com/sharba-libiya/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/tbeikhet-eid,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,15,Stew,https://www.tasteatlas.com/Stews,Tbeikhet 'Eid,n/a,"Originating from the city of Derna, this time-consuming Libyan stew is made with lamb, chopped pumpkin, onions, clarified butter, crushed tomatoes, and chickpeas. The addition of raisins gives it a particular sweetness that is typical of savory Ea...",https://www.tasteatlas.com/tbeikhet-eid/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mubattan-kusha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,16,Casserole,https://www.tasteatlas.com/casserole,Mubattan kusha,n/a,"Mubattan kusha is a layered potato and meat casserole originating from Libya. Quick and easy to prepare, the dish consists of ground meat (lamb or beef), sliced potatoes, onions, tomatoes, butter, eggs, and flour. It is traditionally flavored with...",https://www.tasteatlas.com/mubattan-kusha/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mbatan-batata,https://cdn.tasteatlas.com//images/dishes/6544f1159fd641be9f0f619c1afee3bd.jpg?mw=660,17,Appetizer,https://www.tasteatlas.com/Appetizers,Mbatan batata,n/a,"Mbatan batata is a Libyan dish consisting of fried potato wedges that are stuffed with a combination of flavorful ingredients. The filling typically consists of ground meat (beef or lamb), onions, breadcrumbs, parsley, garlic, chile peppers, eggs,...",https://www.tasteatlas.com/mbatan-batata/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120
https://www.tasteatlas.com/khbeiza-bil-tonn,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,18,Bread,https://www.tasteatlas.com/Breads,Khbeiza bil tonn,n/a,"Khbeiza bil tonn is a small stuffed bread originating from Libya. The dough, which consists of flour, milk, butter, and yeast, is typically shaped into small loaves, crescents, or balls. Although these tasty snacks are often filled with dried mint...",https://www.tasteatlas.com/khbeiza-bil-tonn/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kaak-malih,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Cookie,https://www.tasteatlas.com/Cookies,Kaak malih,n/a,"Kaak malih are savory Libyan cookies consisting of flour, baking powder, oil, butter, milk, and salt. The dough, which is either braided or shaped into rings, is often decorated with sesame seeds before baking. Once baked and golden-brown, these l...",https://www.tasteatlas.com/kaak-malih/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/tajin-sfinari-bil-zaytun,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,20,Casserole,https://www.tasteatlas.com/casserole,Tajin sfinari bil zaytun,n/a,"Tajin sfinari bil zaytun is a colorful Libyan casserole prepared with diced lamb, sliced carrots, chopped onions, and pitted green olives as key ingredients. The casserole is flavored with caraway, lemon juice, cinnamon, harissa, and parsley. Trad...",https://www.tasteatlas.com/tajin-sfinari-bil-zaytun/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kusksi-bil-hoot,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,21,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Kusksi bil hoot,n/a,"Kusksi bil hoot is a traditional Libyan dish using steamed couscous and fried firm-fleshed fish (e.g. grouper) as the main ingredients. Before frying, the fish is usually marinated in a combination of garlic, lemon juice, hot peppers, celery, oliv...",https://www.tasteatlas.com/kusksi-bil-hoot/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/filfel-chuma,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,22,Sauce,https://www.tasteatlas.com/Sauces,Filfel chuma,n/a,"Filfel chuma is a Libyan hot sauce with a thick consistency. The sauce is made with ingredients such as garlic, bell peppers, cayenne pepper, sweet paprika, cumin, caraway, oil, salt, and lemon juice. Filfel chuma is known to keep well in the frid...",https://www.tasteatlas.com/filfel-chuma/wheretoeat,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com/images/dishes/e2e04922bd2647f3a8cf147a736c34b5.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120
https://www.tasteatlas.com/aqras-batata-mabshura,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,23,Side Dish,https://www.tasteatlas.com/Sides,Aqras batata mabshura,n/a,"These versatile Libyan fritters are typically prepared with a combination of grated potatoes, onions, hot peppers, beaten eggs, flour, and flavorings such as parsley, coriander, garlic, and cumin. The mixture is fried over medium heat until the fr...",https://www.tasteatlas.com/aqras-batata-mabshura/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/bureek-muwaraq,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,24,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Bureek muwaraq,n/a,"This savory Libyan pastry consists of dough that is filled with a combination of ground meat, chopped onions, salt, pepper, and various spices. The dough is typically made with flour, water, butter, baking powder, and salt. The thin layers of flak...",https://www.tasteatlas.com/bureek-muwaraq/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/ftat-misrati,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,25,Flatbread,https://www.tasteatlas.com/Flatbreads,Ftat misrati,n/a,"Ftat misrati is a Libyan flatbread originating from the city of Misrata, hence the name. The simple dough is prepared with a combination of flour, water, olive oil, and salt. It is then cooked on a hot, flat surface, so it can be cooked on a stove...",https://www.tasteatlas.com/ftat-misrati/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/sharba-libiya-bil-dajaj-wa-alzatar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,26,Meat Soup,https://www.tasteatlas.com/meat-soups,Sharba Libiya bil dajaj wa alzatar,n/a,"Although the traditional sharba Libiya soup is made with lamb and mint, this variety, known as sharba Libiya bil dajaj wa alzatar is much lighter, prepared with chicken and thyme as the key ingredients. Apart from chicken and thyme, the soup is ma...",https://www.tasteatlas.com/sharba-libiya-bil-dajaj-wa-alzatar/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/khubzah-bil-a3shab,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,27,Bread,https://www.tasteatlas.com/Breads,Khubzah bil a3shab,n/a,"Khubzah bil a3shab is a savory Libyan bread characterized by its soft and spongy texture. The dough is made with a combination of flour, olive oil, sugar, salt, and baking powder. It can be flavored with ingredients such as thyme, parsley, rosemar...",https://www.tasteatlas.com/khubzah-bil-a3shab/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/hassa-dernawi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,28,Meat Soup,https://www.tasteatlas.com/meat-soups,Hassa dernawi,n/a,"Hassa dernawi is a thick Libyan soup that is traditionally prepared and consumed during winter. It consists of lamb, chopped tomatoes, tomato paste, water, and flavorings such as turmeric, chili powder, and black pepper. The soup can be additional...",https://www.tasteatlas.com/hassa-dernawi/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mbatan-kawali,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,29,Appetizer,https://www.tasteatlas.com/Appetizers,Mbatan kawali,n/a,"Mbatan kawali is a unique Libyan dish consisting of small fish fillets stuffed with a combination of potatoes, coriander, garlic, and hot peppers. The fish is then battered, breaded, and fried in hot oil. Mbatan kawali is traditionally served as a...",https://www.tasteatlas.com/mbatan-kawali/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/salata-arabiya-bil-tufah-albaladi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,30,Salad,https://www.tasteatlas.com/Salads,Salata arabiya bil tufah albaladi,n/a,"This healthy and refreshing Libyan salad is made with tomatoes, diced apples, onions, grated cucumbers, parsley, and coriander. It is traditionally combined with a dressing consisting of tomato pulp, olive oil, salt, and lemon juice. It is recomme...",https://www.tasteatlas.com/salata-arabiya-bil-tufah-albaladi/wheretoeat,,,,,,,,,,,,
