search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/aji-de-gallina,https://cdn.tasteatlas.com//images/dishes/b4748c90658d4d749553075bc0ff18ef.jpg?mw=660,11,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Aji de gallina,4.4,Best in   (Lince),El Rincón Que No Conoces,https://www.tasteatlas.com/el-rincon-que-no-conoces,"Often consumed on rainy or cold days by many Peruvians, aji de gallina is a spicy dish consisting of shredded chicken in a creamy sauce. It is traditionally served over rice and garnished with black olives and boiled potatoes. The sauce is made wi...",https://www.tasteatlas.com/aji-de-gallina/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,,,,
https://www.tasteatlas.com/leche-de-tigre,https://cdn.tasteatlas.com//images/dishes/6f8d38a6018c484e994d0bdc17de0d91.jpg?mw=660,12,Appetizer,https://www.tasteatlas.com/Appetizers,Leche de tigre,4.6,Best in   (Miraflores),El Veridico de Fidel de Miraflores,https://www.tasteatlas.com/el-veridico-de-fidel-de-miraflores,"Leche de tigre is a Peruvian specialty consisting of  juice that is left after the fish has been consumed. The milky liquid is sometimes made on its own with fish stock. There are numerous variations of leche de tigre, but each dri...",https://www.tasteatlas.com/leche-de-tigre/wheretoeat,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Limes,https://cdn.tasteatlas.com/images/ingredientgroups/64e50731ad814053bbaa3e63f1006784.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,,,ceviche,
https://www.tasteatlas.com/salchipapas,https://cdn.tasteatlas.com//images/dishes/81b433ea05e043c4a9b8b97f535d6ea8.jpg?mw=660,13,Street Food,https://www.tasteatlas.com/Street-food,Salchipapas,3.9,Best in   (Lima District),Lima Obrera,https://www.tasteatlas.com/lima-obrera,Salchipapas is a very popular Peruvian street food staple that began as a poor man's dish. The name of the dish is derived from the names of its main ingredients –  (sausage) and  (potatoes). Sold by numerous ...,https://www.tasteatlas.com/salchipapas/wheretoeat,https://www.tasteatlas.com/pommes-frites,https://cdn.tasteatlas.com/images/dishes/ac4a94c98d6e42d8b392e5cabb9dd013.png?h=120&w=120,https://www.tasteatlas.com/Sausages,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://www.tasteatlas.com/aji-criollo,https://cdn.tasteatlas.com/images/dishes/518aa6dd2823415aa3c379f4232ca913.png?h=120&w=120,https://www.tasteatlas.com/mayonnaise,https://cdn.tasteatlas.com/images/dishes/1839d40499514008ba765c0c1815f7e2.png?h=120&w=120,https://www.tasteatlas.com/Mustard,https://cdn.tasteatlas.com/images/ingredientgroups/36f67695affa43ec9a0397a775614c85.png?h=120&w=120,https://www.tasteatlas.com/ketchup,https://cdn.tasteatlas.com/images/dishes/64adc6ca5bbd48e283fb1a4515c749f0.png?h=120&w=120,https://www.tasteatlas.com/lima,Lima,salchicha,
https://www.tasteatlas.com/juane,https://cdn.tasteatlas.com//Images/Dishes/2059bb119bc441d7bff9edddce9d3809.jpg?mw=660,14,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Juane,4.0,Best in   (Jesús María),El Aguajal,https://www.tasteatlas.com/el-aguajal,"Juane is a traditional meal originating from the Peruvian jungles, consisting of chicken, olives, hard-boiled eggs, and rice seasoned with spices that might include turmeric, oregano, and cumin. The combination of these ingredients is wrapped in w...",https://www.tasteatlas.com/juane/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,,,
https://www.tasteatlas.com/papa-rellena,https://cdn.tasteatlas.com//Images/Dishes/90ae5e16931c4b338718a05b74af61c4.jpg?mw=660,15,Snack,https://www.tasteatlas.com/Snacks,Papa rellena,4.3,Best in   (San Isidro),Astrid y Gaston,https://www.tasteatlas.com/AstridYGaston,"Golden, tender, and warm papa rellenas are traditional Peruvian stuffed potatoes, a type of croquette consisting of fried mashed potatoes with a meat filling on the interior. The filling usually consists of chopped beef that is mixed with onions a...",https://www.tasteatlas.com/papa-rellena/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,,
https://www.tasteatlas.com/chupe-de-camarones,https://cdn.tasteatlas.com//images/dishes/3e4e2afbc2a643d4817fb7b48070dbd0.jpg?mw=660,16,Stew,https://www.tasteatlas.com/Stews,Chupe de camarones,4.5,Best in   (Arequipa),La Nueva Palomino,https://www.tasteatlas.com/la-nueva-palomino,"Chupe de camarones is a popular Peruvian shrimp chowder with a long and unusual history. The chowder is typically made with fish stock, fresh shrimps, onions, eggs, milk, cheese, garlic, and yellow potatoes, while rice, beans, carrots, and peas ar...",https://www.tasteatlas.com/chupe-de-camarones/wheretoeat,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/arequipa,Arequipa,,
https://www.tasteatlas.com/tacu-tacu,https://cdn.tasteatlas.com//images/dishes/1cf937dffa3b4bb0af65420143b1c5f8.jpg?mw=660,17,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Tacu-tacu,4.2,Best in   (Lima District),Restaurante Bar Cordano,https://www.tasteatlas.com/restaurante-bar-cordano,"Tacu-tacu is a simple and rustic Peruvian dish that combines rice, beans, various spices, and onions. The ingredients are typically pan-fried and formed in a thick, pancake-like dish. It is believed that tacu-tacu originated among the African comm...",https://www.tasteatlas.com/tacu-tacu/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/picarones,https://cdn.tasteatlas.com//images/dishes/100277e6dc4d4cc19457542e833900d2.jpg?mw=660,18,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Picarones,4.5,Best in   (Santiago de Surco),Picarones Mary,https://www.tasteatlas.com/picarones-mary,"Picarones are a staple of Peruvian street food, the tasty, deep-fried treats that are also often referred to as  . The dough is shaped into a ring and fried in hot oil, and picarones are then drizzled with a ...",https://www.tasteatlas.com/picarones/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/lima,Lima,the,
https://www.tasteatlas.com/pachamanca,https://cdn.tasteatlas.com//images/dishes/cfa03340043a49e7a38e4f502661da75.jpg?mw=660,19,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Pachamanca,3.7,Best in   (Ollantaytambo),El Albergue,https://www.tasteatlas.com/el-albergue,"Pachamanca is an ancient Peruvian dish made by cooking marinated pieces of meat (usually lamb), herbs, chilis, beans, and a variety of Peruvian potatoes in a hole in the ground (). The ingredients are placed on hot stones and covere...",https://www.tasteatlas.com/pachamanca/wheretoeat,,,,,,,,,,,,,,,huatia,
https://www.tasteatlas.com/ceviche-de-pulpo,https://cdn.tasteatlas.com//images/dishes/267b4cca3d684556b9739a9c5b5d5b10.jpg?mw=660,20,Octopus Dish,https://www.tasteatlas.com/octopus-dishes,Ceviche de pulpo,3.7,,,,"Ceviche de pulpo is a type of ceviche using octopus as the star ingredient. Commonly found along the Peruvian coast, this appetizer is ideal for those who don’t like the fishy texture and flavors of standard ceviche. It is usually made with ...",https://www.tasteatlas.com/ceviche-de-pulpo/wheretoeat,https://www.tasteatlas.com/octopuses,https://cdn.tasteatlas.com/images/ingredientgroups/bdce1ea248964158af865718ad3c7e84.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,
https://www.tasteatlas.com/chifle,https://cdn.tasteatlas.com//images/dishes/3bf008de2eba4eab8353c595477161cd.jpg?mw=660,21,Snack,https://www.tasteatlas.com/Snacks,Chifle,4.3,Best in   (Piura),Chifles Olaechea,https://www.tasteatlas.com/chifles-olaechea,"Typically associated with the Peruvian region of Piura and Ecuador, chifles are thinly sliced, fried green plantains. They can be sliced crosswise or lengthwise, and while homemade varieties are usually sold as a convenient and portable street foo...",https://www.tasteatlas.com/chifle/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/piura-region,Piura Region,,
https://www.tasteatlas.com/parihuela,https://cdn.tasteatlas.com//Images/Dishes/6a94844fc7ac4164b105eb0a7a5f4be3.jpg?mw=660,22,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Parihuela,4.3,Best in   (Surquillo),La Picanteria,https://www.tasteatlas.com/la-picanteria,"This hearty and spicy seafood soup whose flavors and ingredients are uniquely Peruvian originated in the fishing communities of Peru; it is what the fishermen would enjoy after a long day at sea, and it is now a popular dish all along the coast. P...",https://www.tasteatlas.com/parihuela/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/carapulcra,https://cdn.tasteatlas.com//images/dishes/039ad40c5665424b8f8822b0e7777ec9.jpg?mw=660,23,Stew,https://www.tasteatlas.com/Stews,Carapulcra,4.1,Best in   (Barranco),La Carapulcrera,https://www.tasteatlas.com/la-carapulcrera,"Carapulcra or  is a Peruvian stew made with dried potatoes (), pork, peanut sauce, pimento chilis, and lots of fresh herbs such as rocket and mint. The stew is often seasoned with onions, garlic, black pepper, a...",https://www.tasteatlas.com/carapulcra/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Peanuts,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,carapulca,
https://www.tasteatlas.com/salsa-ocopa,https://cdn.tasteatlas.com//images/dishes/a1584e043ee945fe82491fe7a3672adc.jpg?mw=660,24,Sauce,https://www.tasteatlas.com/Sauces,Salsa ocopa,4.2,Best in   (Arequipa),La Nueva Palomino,https://www.tasteatlas.com/la-nueva-palomino,"Salsa ocopa is a popular Peruvian sauce originating from Arequipa. It is made with queso fresco, aji amarillo chilis, milk, and , also known as Peruvian black mint, giving the sauce a unique flavor. The salsa is traditionally serv...",https://www.tasteatlas.com/salsa-ocopa/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/arequipa,Arequipa,huacatay,
