search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,search-results__item-link 3,search-results__item-link href 3,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/samak-mashwi,https://cdn.tasteatlas.com//images/dishes/7a75334cde174550ad6544a58d25edb9.jpg?mw=660,11,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Samak mashwi,,,,,"Samak mashwi is an Egyptian dish that is also quite popular in Lebanon. It consists of a whole baked fish which is then lavishly garnished with parsley, lemon slices, mayonnaise, pickles, and sliced olives. Before baking, the fish should be cleane...",https://www.tasteatlas.com/samak-mashwi/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/umm-ali,https://cdn.tasteatlas.com//images/dishes/71f3d6d18b9a45db9ba8ee31e85e0c30.jpg?mw=660,12,Dessert,https://www.tasteatlas.com/Desserts,Umm ali,,,,,"Although there are many recipes, the Egyptian umm ali is usually made by dividing bread or puff pastry into pieces, then mixing it with sugar, milk, and coconut flakes. The mixture is typically sprinkled with raisins, pistachios, and cinnamon, the...",https://www.tasteatlas.com/umm-ali/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/hawawshi,https://cdn.tasteatlas.com//Images/Dishes/184155020d564d0ea7f74cfa1f2c03cb.jpg?mw=660,13,Snack,https://www.tasteatlas.com/Snacks,Hawawshi,,Best in   (Cairo),Zooba,https://www.tasteatlas.com/Zooba,"Hawawshi is a popular Egyptian snack consisting of a traditional  bread, in appearance similar to the famous  pockets, stuffed with a flavorful mixture of minced meat, vegetables, and various spices. The generously seas...",https://www.tasteatlas.com/hawawshi/wheretoeat,,,,,,,,,,,,,,,baladi,n/a
https://www.tasteatlas.com/labneh-egypt,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,14,Dip,https://www.tasteatlas.com/dips,Labneh,4.2,,,,Creamy texture and mild flavor are the main attributes of labneh; a traditional Middle Eastern strained yogurt that is prepared with yogurt and salt. No strict guidelines are used to produce it; plain full-fat yogurt is mixed with salt and left to...,https://www.tasteatlas.com/labneh-egypt/wheretoeat,,,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/eggah,https://cdn.tasteatlas.com//images/dishes/c06e9655101b4cdc82ad0191e4aab394.jpg?mw=660,15,Egg Dish,https://www.tasteatlas.com/egg-dishes,Eggah,,,,,"Eggah is the thick and heavy Egyptian version of an omelet. However, eggs might not be the main ingredient – they can merely be used as a binding for the filling, which can include chicken, lamb, or various vegetables such as aubergines, lee...",https://www.tasteatlas.com/eggah/wheretoeat,,,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/leeks,https://cdn.tasteatlas.com/images/ingredientgroups/e5722e8831554305a7c507e79b4c3a99.png?h=120&w=120,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,,n/a
https://www.tasteatlas.com/luqmat-al-qadi,https://cdn.tasteatlas.com//images/dishes/e460c51adc3447639c4418cbaa439309.jpg?mw=660,16,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Luqmat al qadi,3.9,,,,"This internationally known, decadent, and sugar-packed dessert is usually made with a mixture of flour, sugar, yeast, and salt, which is deep-fried and then bathed in syrup or honey. The origin of lokma fritters is ancient but often debated. It is...",https://www.tasteatlas.com/luqmat-al-qadi/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/shakshouka-egypt,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,17,Egg Dish,https://www.tasteatlas.com/egg-dishes,Shakshouka,4.2,,,,"Shakshouka is a delicious combination of eggs poached in a spicy tomato sauce. Although it has an unusual name, the dish is straightforward and easy to make. It is usually made in a skillet in which onions, tomatoes, and spices are cooked until th...",https://www.tasteatlas.com/shakshouka-egypt/wheretoeat,,,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,
https://www.tasteatlas.com/fetir-meshaltet,https://cdn.tasteatlas.com//images/dishes/7d39d0483c634a879ae7cd72fd691836.jpg?mw=660,18,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Fetir meshaltet,,Best in   (Giza),El Dawar Fiteer,https://www.tasteatlas.com/el-dawar-fiteer,"Fetir meshaltet is an Egyptian delicacy consisting of flaky layered pastry which can be plain or filled with various sweet or savory ingredients such as ground beef, cheese, halwa, chocolate, or raisins. The dish dates back to the time of the phar...",https://www.tasteatlas.com/fetir-meshaltet/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/fetir-meshaltet/recipe,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,,,,,,,,n/a
https://www.tasteatlas.com/kamounia-egypt,https://cdn.tasteatlas.com//images/dishes/4f5e07f129e34151b65417af306577bb.jpg?mw=660,19,Stew,https://www.tasteatlas.com/Stews,Kamounia,,,,,"Kamounia is a traditional dish that's a part of Tunisian, Egyptian, and Sudanese cuisine. This hearty stew is usually prepared with beef, liver, and cumin. Variations exist, so lamb is sometimes used instead of the beef, and there are also differe...",https://www.tasteatlas.com/kamounia-egypt/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/rozz-meammar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,20,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Rozz meʿammar,,,,,"Rozz me’ammar is an Egyptian dish prepared with a combination of cooked white rice, milk, butter or cream, and chicken broth. After all the ingredients have been combined in a traditional clay pot called a , the mixture is baked...",https://www.tasteatlas.com/rozz-meammar/wheretoeat,,,,,,,,,,,,,,,bram,n/a
https://www.tasteatlas.com/torly,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,21,Casserole,https://www.tasteatlas.com/casserole,Torly,,,,,"The rich and nutritious torly is an Egyptian mixed vegetable casserole with chunks of beef or lamb dispersed throughout it. The most common vegetables include potatoes, squash, carrots, and onions, while tomato sauce is used as a binding agent. In...",https://www.tasteatlas.com/torly/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/taameya,https://cdn.tasteatlas.com//images/dishes/1726c8f827804ec8aff0d4af5b000ee9.jpg?mw=660,22,Street Food,https://www.tasteatlas.com/Street-food,Taameya,,Best in   (Cairo),Felfela,https://www.tasteatlas.com/Felfela,"Often touted as the original version of falafels, taameya is a variety of the Middle Eastern chickpea fritter that calls for fava beans instead of chickpeas. The fava bean mixture is typically flavored with leeks, onions, fresh coriander, parsley,...",https://www.tasteatlas.com/taameya/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/macaroni-bechamel,https://cdn.tasteatlas.com//images/dishes/e17aaf1ebae446b0ab7377c5318a8d66.jpg?mw=660,23,Pasta,https://www.tasteatlas.com/pasta,Macaroni béchamel,,,,,"The filling Egyptian dish known as macaroni béchamel consists of layers of pasta (penne, angel hair, or elbow macaroni) with a ground beef filling sandwiched in between, and a topping of béchamel sauce. The combination is baked in an...",https://www.tasteatlas.com/macaroni-bechamel/wheretoeat,,,https://www.tasteatlas.com/macaroni,https://cdn.tasteatlas.com/images/dishes/2b099b9dd3d44d72a94fdb895b55b396.png?h=120&w=120,https://www.tasteatlas.com/penne,https://cdn.tasteatlas.com/images/dishes/b1dc9883353d49198826693478eaa0d1.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/bechamel-sauce,https://cdn.tasteatlas.com/images/dishes/a1165229c9624d4abc0f924232188573.png?h=120&w=120,,,,,,n/a
https://www.tasteatlas.com/sayadeya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,24,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Sayadeya,,,,,"Sayadeya is an Egyptian dish made with a combination of yellow rice, spices, onions, tomato sauce, and white fish such as bluefish, mullet, or bass. The combination is then baked in traditional earthenware pots. It is mostly prepared in coastal ci...",https://www.tasteatlas.com/sayadeya/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/aish-baladi,https://cdn.tasteatlas.com//images/dishes/7e3e5711678945ed9d79aa4591d9d84c.jpg?mw=660,25,Flatbread,https://www.tasteatlas.com/Flatbreads,Aish baladi,,,,,"Native to Egypt, aish baladi is a flatbread made with whole wheat flour. It is traditionally baked in extremely hot ovens and can be found at numerous Egyptian markets. The bread has been produced since the times of ancient Egypt, when it was made...",https://www.tasteatlas.com/aish-baladi/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/ful-nabed,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,26,Dip,https://www.tasteatlas.com/dips,Ful nabed,,,,,"Ful nabed is a traditional dish originating from Egypt. It's usually made with a combination of white broad beans (fava beans), onions, olive oil, lemon juice, sugar, and salt. The onions are fried until soft and pale golden, and they're then mixe...",https://www.tasteatlas.com/ful-nabed/wheretoeat,,,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,n/a
https://www.tasteatlas.com/aish-merahrah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,27,Flatbread,https://www.tasteatlas.com/Flatbreads,Aish merahrah,,,,,"Aish merahrah is an Egyptian bread shaped into flat, wide loaves. It is made with maize flour and ground fenugreek seeds, with the help of a sourdough starter which allows the dough to ferment overnight. After baking, this bread can be kept for a ...",https://www.tasteatlas.com/aish-merahrah/wheretoeat,,,,,,,,,,,,,,,,n/a
