search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group,h2,score-text--na,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/aloo-pie,https://cdn.tasteatlas.com//images/dishes/71096b2470a241c7a1cbfe9b34273fb5.jpg?mw=660,11,Street Food,https://www.tasteatlas.com/Street-food,Aloo Pie,n/a,,,,"Aloo pie is a Trini dish consisting of fried dough that is filled with mashed potatoes which are flavored with onions, garlic, cumin, and bandhania. It can often be bought at food stands which sell another Trini favorite known as ....",READ MORE,https://www.tasteatlas.com/aloo-pie/wheretoeat,doubles,,,,,,,,,,,,
https://www.tasteatlas.com/geera-pork,https://cdn.tasteatlas.com//images/dishes/9ad8db27d91c4b3084a722b0cc2ce945.jpg?mw=660,12,Pork Dish,https://www.tasteatlas.com/pork-dishes,Geera Pork,n/a,,,,"Geera pork is a Trini way of preparing pork by cutting it into small pieces, then seasoning the meat with cumin seeds (), garlic, pepper, onions, chives, and hot peppers. The meat is marinated, then cooked in water until most of the ...",READ MORE,https://www.tasteatlas.com/geera-pork/wheretoeat,geera,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/chives,https://cdn.tasteatlas.com/images/ingredientgroups/aed2da4a6a53446290f56faab8c7e36b.png?h=120&w=120
https://www.tasteatlas.com/cow-heel-soup,https://cdn.tasteatlas.com//images/dishes/59cb6a6bd81d4583bf817aa4a51e5018.jpg?mw=660,13,Offal Soup,https://www.tasteatlas.com/offal-soups,Cow Heel Soup,n/a,,,,"This hearty Trini soup is made with cow heel as the key ingredient. Everyone on the island has their own variation of the soup, so different vegetables might be added to the pot, and some people like to add dumplings, while others opt out of them,...",READ MORE,https://www.tasteatlas.com/cow-heel-soup/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/pholourie,https://cdn.tasteatlas.com//images/dishes/38f964ec67c44c1e812a51e8e360d1c8.jpg?mw=660,14,Appetizer,https://www.tasteatlas.com/Appetizers,Pholourie,n/a,Best in   (San Juan),Hosein's Roti Shop,https://www.tasteatlas.com/hoseins-roti-shop,Pholourie is a Trini appetizer or a snack that is traditionally prepared and served at religious gatherings or birthday parties. This fritter is made with a split pea batter that is seasoned with hot peppers and various spices. The batter is dropp...,READ MORE,https://www.tasteatlas.com/pholourie/wheretoeat,,https://www.tasteatlas.com/split-peas,https://cdn.tasteatlas.com/images/ingredientgroups/0d5e2194becd43f987fa5d1e49c7160a.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120
https://www.tasteatlas.com/saheena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,15,Snack,https://www.tasteatlas.com/Snacks,Saheena,n/a,Best in   (San Fernando),Hassanali's D' Green Shed,https://www.tasteatlas.com/hassanalis-d-green-shed,"Saheena is a Trini specialty consisting of flour, split peas powder, saffron, baking powder, and salt. The ingredients are mixed together into a paste which is then placed on taro leaves. The process is repeated and the taro leaves are rolled toge...",READ MORE,https://www.tasteatlas.com/saheena/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/wrap-roti,https://cdn.tasteatlas.com//images/dishes/421f3fb48a7b49be83399afc06e642ea.jpg?mw=660,16,Wrap,https://www.tasteatlas.com/wraps,Wrap Roti,n/a,,,,"This flavorful, savory Trini wrap typically consists of a -cooked  that is filled with curries, potatoes, or meat. The wrapped form of roti originated in Southern Trinidad in the 1940s. It is believed that wrap r...",READ MORE,https://www.tasteatlas.com/wrap-roti/wheretoeat,tawa,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Mustard,https://cdn.tasteatlas.com/images/ingredientgroups/36f67695affa43ec9a0397a775614c85.png?h=120&w=120,https://www.tasteatlas.com/mayonnaise,https://cdn.tasteatlas.com/images/dishes/1839d40499514008ba765c0c1815f7e2.png?h=120&w=120
https://www.tasteatlas.com/geera-chicken,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,17,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Geera Chicken,n/a,,,,"Geera chicken is a tasty Trini poultry dish consisting of chicken parts such as back, neck, and gizzard, along with garlic, onions, hot peppers, thyme, curry powder, and the key ingredient used in the dish – , or cumin. The dis...",READ MORE,https://www.tasteatlas.com/geera-chicken/wheretoeat,geera,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/thyme,https://cdn.tasteatlas.com/images/ingredientgroups/45790b24a3b24deb93df46bad31f8b4c.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120
https://www.tasteatlas.com/iguana-stew-trinidad,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,18,Stew,https://www.tasteatlas.com/Stews,Iguana Stew,n/a,,,,"Iguana stew is an exotic dish originating from the Caribbean, and it's especially popular in Guyana and Trinidad. This delicacy is prepared by frying achiote in oil until it turns red. The iguana's head and its entrails are removed, and the meat i...",READ MORE,https://www.tasteatlas.com/iguana-stew-trinidad/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/aloo-choka,https://cdn.tasteatlas.com//images/dishes/38306f0cf7c24c539d022b5ce8c5e1e1.jpg?mw=660,19,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Aloo choka,n/a,,,,"Aloo choka is a popular Trini dish influenced by Indian cuisine. Simple and filling, consumed for breakfast or dinner, the dish is made by combining boiled potatoes with chopped onions, grated ginger, salt, pepper, and oil. Hot peppers can be adde...",READ MORE,https://www.tasteatlas.com/aloo-choka/wheretoeat,,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120
https://www.tasteatlas.com/benne-balls,https://cdn.tasteatlas.com//images/dishes/16430ac11b8242b593f8bf9a200d10fd.jpg?mw=660,20,Dessert,https://www.tasteatlas.com/Desserts,Benne Balls,n/a,,,,"Achingly sweet, extra hard, dense, and crunchy, benne balls are popular Tobagonian treats made with brown sugar and , which is an African word for . These treats are extremely simple to prepare - brown sugar is h...",READ MORE,https://www.tasteatlas.com/benne-balls/wheretoeat,benne,,,,,,,,,,,,
https://www.tasteatlas.com/goolab-jamoon,https://cdn.tasteatlas.com//images/dishes/7e96cf92a80d4cb99066d3fc5c28b8c4.jpg?mw=660,21,Deep-fried Dessert,https://www.tasteatlas.com/deep-fried-desserts,Goolab jamoon,n/a,,,,"Goolab jamoon (also spelled ) is a festive Trini treat that was developed under the influence of Indian cuisine. Milky and sweet, these fritters consist of milk, flour, ghee, water, and ground cardamom. Fried until golden brown...",READ MORE,https://www.tasteatlas.com/goolab-jamoon/wheretoeat,gulab jamun,,,,,,,,,,,,
https://www.tasteatlas.com/curried-goat-and-pigeon-peas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,22,Stew,https://www.tasteatlas.com/Stews,Curried Goat and Pigeon Peas,n/a,,,,"Curried goat and pigeon peas is a Trini dish consisting of cubed goat meat, onions, hot peppers, garlic, curry powder, pigeon peas, and various spices. The stew is slowly cooked until the meat becomes tender and the pigeon peas are fully cooked. I...",READ MORE,https://www.tasteatlas.com/curried-goat-and-pigeon-peas/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/dhalpuri-roti,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,23,Flatbread,https://www.tasteatlas.com/Flatbreads,Dhalpuri roti,n/a,Best in   (San Juan),Hosein's Roti Shop,https://www.tasteatlas.com/hoseins-roti-shop,"In Trinidad, everybody eats roti – they make it in the morning and in the afternoon - that is how popular this flatbread is on the island. Although roti didn't start in Trinidad, the inhabitants made their own style over the years. Dhalpuri ...",READ MORE,https://www.tasteatlas.com/dhalpuri-roti/wheretoeat,,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/split-peas,https://cdn.tasteatlas.com/images/ingredientgroups/0d5e2194becd43f987fa5d1e49c7160a.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120
https://www.tasteatlas.com/baigan-choka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,24,Dip,https://www.tasteatlas.com/dips,Baigan choka,n/a,,,,"Baigan choka is a vegetarian Trini dip that is made with eggplant as the key ingredient. In order to prepare the dip, the eggplants are traditionally roasted over an open flame, then mashed and combined with garlic, hot chili peppers, onions, and ...",READ MORE,https://www.tasteatlas.com/baigan-choka/wheretoeat,,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120
https://www.tasteatlas.com/fish-and-sweet-potato-chowder,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,25,Soup,https://www.tasteatlas.com/Soups,Fish and Sweet Potato Chowder,n/a,,,,"Easy to prepare, hearty, and healthy, this flavorful Trini dish makes use of sweet potatoes, which are available throughout the year on the island. They are very high in vitamins, beta-carotene, and have anti-inflammatory and antioxidant propertie...",READ MORE,https://www.tasteatlas.com/fish-and-sweet-potato-chowder/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/crab-and-callaloo,https://cdn.tasteatlas.com//images/dishes/32c18609a09d4af0a3df754560b16e9f.jpg?mw=660,26,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Crab and Callaloo,n/a,,,,"Crab and callaloo is the national dish of Trinidad and Tobago, where it is traditionally enjoyed for Sunday lunch. The dish is made by simmering pieces of crab in callaloo, a creamy mixture of dasheen leaves (taro or eddo leaves), onions, green on...",READ MORE,https://www.tasteatlas.com/crab-and-callaloo/wheretoeat,,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/taro-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/a479ec4bce9b43e38a0a16906ddc5605.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Okras,https://cdn.tasteatlas.com/images/ingredientgroups/3e3df0ccbd2442e19dbf2177d5c5c616.png?h=120&w=120,https://www.tasteatlas.com/scotch-bonnet-pepper,https://cdn.tasteatlas.com/images/dishes/ea82a83a1b00497f953dfc53d1ea878b.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120
https://www.tasteatlas.com/baiganee,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,27,Snack,https://www.tasteatlas.com/Snacks,Baiganee,n/a,,,,"Baiganee is a classic Trini snack that can also be served as a side dish. This vegetarian treat consists of sliced eggplant or  (hence the name) that is coated in a spicy batter, then deep-fried to golden-brown perfection. It is typ...",READ MORE,https://www.tasteatlas.com/baiganee/wheretoeat,baigan,,,,,,,,,,,,
https://www.tasteatlas.com/kachourie,https://cdn.tasteatlas.com//images/dishes/3807d36ed28b423fa5dd96a1c5a190d5.jpg?mw=660,28,Snack,https://www.tasteatlas.com/Snacks,Kachourie,n/a,,,,"Kachourie is a Trini variation of a popular Indian snack. The flattened ball of dough consists of flour, channa, split peas, and seasonings such as salt, black pepper, turmeric, and chili powder. These dough balls are then fried in oil until golde...",READ MORE,https://www.tasteatlas.com/kachourie/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/barbecue-pigtail,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,29,Pork Dish,https://www.tasteatlas.com/pork-dishes,Barbecue Pigtail,n/a,,,,"Barbecue pigtail is a traditional Trini dish that is also often prepared in Barbados and throughout the Caribbean. The dish is made with pigtails cured in brine, garlic, barbecue sauce, bay leaves, and green seasoning. Once they have been boiled w...",READ MORE,https://www.tasteatlas.com/barbecue-pigtail/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/pommerac-chow,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,30,Fruit Salad,https://www.tasteatlas.com/Fruit-salads,Pommerac Chow,n/a,,,,"Pommerac chow is a simple Trini fruit salad. It is made with a combination of pommerac (rose apple), culantro (chadon beni), garlic, chili peppers, lime juice, water, salt, and pepper. The pommerac is cut into bite-sized pieces, then combined with...",READ MORE,https://www.tasteatlas.com/pommerac-chow/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/soursop-ice-block,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,31,Frozen Dessert,https://www.tasteatlas.com/frozen-desserts,Soursop Ice Block,n/a,,,,"Soursop ice block is a unique Trini treat that is especially popular on extremely hot days. It is made with soursop pulp, water, condensed milk, and a small amount of bitters. The ingredients are simply blended together until smooth, then transfer...",READ MORE,https://www.tasteatlas.com/soursop-ice-block/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/eddoes-choka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,32,Dip,https://www.tasteatlas.com/dips,Eddoes choka,n/a,,,,"Eddoes choka is a Trini dip made with garlic, onions, scotch bonnet peppers, salt, oil, and  – a type of tuber similar to potatoes. The eddoes are cleaned, boiled, mashed, then combined with other ingredients until smooth. When...",READ MORE,https://www.tasteatlas.com/eddoes-choka/wheretoeat,eddoe,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/scotch-bonnet-pepper,https://cdn.tasteatlas.com/images/dishes/ea82a83a1b00497f953dfc53d1ea878b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,,
