search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,search-results__item-description 2,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/kunafah-syria,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,11,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kunāfah,4.4,"Kunāfah consists of two crunchy layers of shredded and buttered  or  dough, filled with a luscious cheese cream that's often flavored with orange zest and cardamom, then drenched in a sugar syrup infused with lemon ju...",https://www.tasteatlas.com/kunafah-syria/wheretoeat,https://www.tasteatlas.com/akkawi,https://cdn.tasteatlas.com/images/dishes/09a76a10b5d44cffa5e62e170de95cf9.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,kataifi,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,,,,
https://www.tasteatlas.com/labneh-syria,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,12,Dip,https://www.tasteatlas.com/dips,Labneh,4.2,Creamy texture and mild flavor are the main attributes of labneh; a traditional Middle Eastern strained yogurt that is prepared with yogurt and salt. No strict guidelines are used to produce it; plain full-fat yogurt is mixed with salt and left to...,https://www.tasteatlas.com/labneh-syria/wheretoeat,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,,,,
https://www.tasteatlas.com/kubbah-bi-as-siniyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,13,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Kubbah bi-aṣ-sīnīyah,,"Kubbah bi-aṣ-ṣīnīyah is a Syrian dish that combines —a combination of minced meat and bulgur—with a filling consisting of minced meat, usually lamb, which is sautéed with onions, pine nuts, mint or parsley, an...",https://www.tasteatlas.com/kubbah-bi-as-siniyah/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,raw kibbeh,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/aleppo-governorate,,Aleppo Governorate,n/a
https://www.tasteatlas.com/fattah-makdus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,14,Casserole,https://www.tasteatlas.com/casserole,Fattah makdus,,"Considered a Damascus delicacy, fattah makdus is a Syrian dish that features stuffed baby eggplants. It typically consists of crispy pita bread pieces that are covered with a mixture of minced meat, usually beef or lamb, pomegranate molasses, and ...",https://www.tasteatlas.com/fattah-makdus/wheretoeat,,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/kubbah-labaniyah,https://cdn.tasteatlas.com//images/dishes/5674e4aab77d4f0090a6efe0c45a9c97.jpg?mw=660,15,Meat Soup,https://www.tasteatlas.com/meat-soups,Kubbah labanīyah,,"Kubbah labanīyah is a traditional Syrian dish consisting of meatballs cooked in a yogurt-based soup. It is typically prepared with raw or pre-cooked meatballs consisting of minced lamb, bulgur, and onions, which are added to a mixture of plain yog...",https://www.tasteatlas.com/kubbah-labaniyah/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,n/a
https://www.tasteatlas.com/karabij-halab,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,16,Cookie,https://www.tasteatlas.com/Cookies,Karabij halab,,"A sweet specialty hailing from Aleppo, karabij halab is a semolina flour cookie filled with a crunchy nut mixture and flavored with rose and orange blossom water. This sweet treat is typically made with semolina flour dough, topped with a mixture ...",https://www.tasteatlas.com/karabij-halab/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,n/a
https://www.tasteatlas.com/maqluba-syria,https://cdn.tasteatlas.com//images/dishes/37c2673a6c914365946f2402e74ee0e0.jpg?mw=660,17,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Maqluba,,"Maqluba is the national dish of Palestine, but it can also be found in Iraq, Syria, and Jordan. This layered one-pot dish has many versions, but the basic principle is to turn it upside down before serving, which is what the word maqluba means. Th...",https://www.tasteatlas.com/maqluba-syria/wheretoeat,,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/kubbah-hamda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,18,Meat Soup,https://www.tasteatlas.com/meat-soups,Kubbah hāmḍa,,"Kubbah ḥāmḍa is a Syrian specialty made with stuffed meatballs cooked in a broth flavored with fresh lemon or lime juice. The meatballs, called kubbah, usually consist of lean ground lamb or beef, ground rice, and onions. They are filled with a mi...",https://www.tasteatlas.com/kubbah-hamda/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,n/a
https://www.tasteatlas.com/kubbah-summaqiyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Meatballs,https://www.tasteatlas.com/meatballs,Kubbah summāqīyah,,"Kubbah summāqīyah is an Aleppine specialty consisting of stuffed meatballs combined with a sumac-based sauce. The large meatballs, known as kibbeh, are usually prepared with ground beef or lamb, bulgur, and onions, and then filled with a mixture o...",https://www.tasteatlas.com/kubbah-summaqiyah/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,n/a
https://www.tasteatlas.com/fattah-djaj,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,20,Appetizer,https://www.tasteatlas.com/Appetizers,Fattah djaj,,"Fattah djaj is a Syrian dish made with a combination of chicken, rice, pita bread, a yogurt-based sauce, and a mix of nuts. All ingredients are typically tossed together in layers on a serving platter, creating an excellent blend of flavors and te...",https://www.tasteatlas.com/fattah-djaj/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,,,,n/a
https://www.tasteatlas.com/maamoul-syria,https://cdn.tasteatlas.com//Images/Dishes/8cd1a7bee211432d893d12eae9912883.jpg?mw=660,21,Cookie,https://www.tasteatlas.com/Cookies,Ma'amoul,3.9,"Ma'amoul is an ancient cookie filled with fruits and nuts such as dates, walnuts, and pistachios. The cookies are traditionally prepared for Easter, festivals, and celebrations, and they are typically shaped into balls or domes. In order to differ...",https://www.tasteatlas.com/maamoul-syria/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120,,,,
https://www.tasteatlas.com/fattah-bi-al-lahm,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,22,Breakfast,https://www.tasteatlas.com/Breakfast,Fattah bi-al-lahm,,"Fattah bi-al-lahm is a Syrian dish that consists of fried ground meat and nuts on a bed of crispy pieces of pita bread, boiled chickpeas, and garlicky yogurt sauce. The dish is typically assembled in layers in a deep serving dish or a casserole. F...",https://www.tasteatlas.com/fattah-bi-al-lahm/wheretoeat,,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/mutabal-syria,https://cdn.tasteatlas.com//images/dishes/16b7c00d2edd4d4da9657cc19e4e9d9a.jpg?mw=660,23,Dip,https://www.tasteatlas.com/dips,Mutabal,4.7,,https://www.tasteatlas.com/mutabal-syria/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,,,,
https://www.tasteatlas.com/swar-as-sitt,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,24,Dessert,https://www.tasteatlas.com/Desserts,Swar as-sitt,,Swar as-sitt is a delectable Syrian dessert that is a variation of Middle Eastern baklava and is commonly known as . It consists of very thin and crispy phyllo dough that is rolled and folded into a round pastry treat with...,https://www.tasteatlas.com/swar-as-sitt/wheretoeat,,,,,,,,,,,baklava bracelet,,,,,,n/a
https://www.tasteatlas.com/kubbah-safarjaliyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,25,Meat Soup,https://www.tasteatlas.com/meat-soups,Kubbah safarjalīyah,,"Kubbah safarjalīyah is an Aleppine dish that consists of stuffed meatballs cooked with a quince-based soup. The meatballs, known as kibbeh, are typically made with ground lamb or beef, bulgur, and onions. They are stuffed with a mixture of spiced ...",https://www.tasteatlas.com/kubbah-safarjaliyah/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,,https://www.tasteatlas.com/quinces,https://cdn.tasteatlas.com/images/ingredientgroups/a5a3dd4880f14f49a61e54dec9deef04.png?h=120&w=120,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,n/a
https://www.tasteatlas.com/taj-al-malek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,26,Dessert,https://www.tasteatlas.com/Desserts,Taj al malek,,"Taj al malek, meaning , are decadent little sweets made with shredded phyllo dough (), sugar syrup, and roasted pistachios. Kataifi dough is first shaped into little nests, dried, brushed with clarified ...",https://www.tasteatlas.com/taj-al-malek/wheretoeat,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,https://www.tasteatlas.com/Cashews,https://cdn.tasteatlas.com/images/ingredientgroups/e3db9e38eecc4cde8846d0d1a9af3797.png?h=120&w=120,https://www.tasteatlas.com/Peanuts,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,king’s crowns,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,,,,n/a
