search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location,score-text,search-results__item-description,search-results__item-link href 2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/pastel-de-banano,https://cdn.tasteatlas.com//images/dishes/13ec82cda90b42a8a506fb10c30ed69a.jpg?mw=660,11,Cake,https://www.tasteatlas.com/cakes,Pastel de banano,,,,"A simple dessert typical of Guatemalan cuisine, pastel de banano is a homemade banana sponge cake. With a mild banana flavor and a subtle sweetness, the cake is typically made with a combination of bananas (both mashed and sliced), flour, eggs, bu...",https://www.tasteatlas.com/pastel-de-banano/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/kakik,https://cdn.tasteatlas.com//images/dishes/01bb069441d5459da221c85d9a1040db.jpg?mw=660,12,Stew,https://www.tasteatlas.com/Stews,Kak'ik,https://www.tasteatlas.com/coban,Cobán,,"Kak'ik is a Guatemalan stew made with turkey leg as the star ingredient. It also contains tomatoes, tomatillos, onions, bell peppers, and variety of spices such as achiote, Cobanero chile peppers, and coriander. In Cobán, the origin place o...",https://www.tasteatlas.com/kakik/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/arroz-con-apio,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con apio,https://www.tasteatlas.com/baja-verapaz-department,Baja Verapaz Department,,"Arroz con apio is a Guatemalan rice specialty hailing from the region of Baja Verapaz. The key ingredients of this dish are rice and chopped celery stalks, which are cooked with onions, butter, garlic, lemon juice, water, and salt. The combination...",https://www.tasteatlas.com/arroz-con-apio/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/tostadas-de-salsa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,14,Appetizer,https://www.tasteatlas.com/Appetizers,Tostadas de salsa,,,,"Tostadas de salsa is a traditional dish originating from Guatemala. The dish consists of toasted tortillas topped with red salsa. The salsa is typically made with a combination of tomatoes, onions, garlic, sweet peppers, Adobo seasoning, oil, salt...",https://www.tasteatlas.com/tostadas-de-salsa/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/chuchitos,https://cdn.tasteatlas.com//Images/Dishes/0ce2c50ebf5940f799c49ad7d12ab434.jpg?mw=660,15,Snack,https://www.tasteatlas.com/Snacks,Chuchitos,https://www.tasteatlas.com/guatemala-city,Guatemala City,,"Chuchitos are traditional Guatemalan-style tamales that are usually made for holiday celebrations and festivities, but are also eaten any day of the year. Chuchito, meaning  or , consists of warm corn masa dough...",https://www.tasteatlas.com/chuchitos/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/pulique,https://cdn.tasteatlas.com//images/dishes/ad6f03d80c24407380a3a3716ce42c82.jpg?mw=660,16,Stew,https://www.tasteatlas.com/Stews,Pulique,,,,"Pulique is a Guatemalan stew consisting of beef, garlic, tomatoes, onions, guaque chile peppers, and chicken stock. The stew is typically flavored with whole cloves, black peppercorns, and epazote. The beef is first baked, then combined with the r...",https://www.tasteatlas.com/pulique/wheretoeat,,,,n/a,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/chile-guaque,https://cdn.tasteatlas.com/images/dishes/81285be46af6475face45c71579cf2f2.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120
https://www.tasteatlas.com/paches,https://cdn.tasteatlas.com//images/dishes/960acc1772b5467fbf84c796fa1ff4ef.jpg?mw=660,17,Wrap,https://www.tasteatlas.com/wraps,Paches,https://www.tasteatlas.com/quezaltenango-department,Quetzaltenango Department,,"Although tamales are usually made with maize dough, the Guatemalan version called paches uses mashed potatoes, along with optional ingredients such as achiote powder, allspice, and lard. These tamales are typically filled with a combination of tom...",https://www.tasteatlas.com/paches/wheretoeat,Best in   (Huehuetenango),Pastelería Doña Estercita,https://www.tasteatlas.com/pasteleria-dona-estercita,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/tamalitos-de-chipilin,https://cdn.tasteatlas.com//images/dishes/fccdcb3d3c2a4938ac6373dadba23334.jpg?mw=660,18,Street Food,https://www.tasteatlas.com/Street-food,Tamalitos de chipilín,https://www.tasteatlas.com/guatemala-city,Guatemala City,4.4,"Tamalitos de chipilín is a Guatemalan tamale variety made with a leafy green vegetable called chipilín, native to Mexico. This variety does not contain any meat, just chipilín leaves that are wrapped in a combination of corn f...",https://www.tasteatlas.com/tamalitos-de-chipilin/wheretoeat,Best in   (Santa Cruz La Laguna),Cafe Sabor Cruceño,https://www.tasteatlas.com/cafe-sabor-cruceno,,,,,,,,,,,,,
https://www.tasteatlas.com/subanik,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,19,Stew,https://www.tasteatlas.com/Stews,Subanik,https://www.tasteatlas.com/san-martin-jilotepeque,San Martin Jilotepeque,,"Originating from the Guatemalan Mayas, subanik is a ceremonial dish containing ingredients such as chicken, pork, beef, tomatoes, tomatillos, bell peppers, and chile peppers. The dish is traditionally steamed in a bundle of mashan leaves which are...",https://www.tasteatlas.com/subanik/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/chojin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,20,Salad,https://www.tasteatlas.com/Salads,Chojín,,,,"Chojín is an authentic Guatemalan salad prepared with radishes, fried pork rinds (which are also known as ), and fresh mint leaves. The salad is typically dressed with a combination of orange juice and lime juice. It ca...",https://www.tasteatlas.com/chojin/wheretoeat,,,,n/a,https://www.tasteatlas.com/radishes,https://cdn.tasteatlas.com/images/ingredientgroups/b5fc9e4af2ca4f48a844773d630190f8.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,https://www.tasteatlas.com/orange-juices,https://cdn.tasteatlas.com/images/ingredientgroups/b273e6ef03124afa919ff876d1bdee71.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120
https://www.tasteatlas.com/choca,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,21,Stew,https://www.tasteatlas.com/Stews,Choc'a,https://www.tasteatlas.com/almolonga,Almolonga,,"Choc'a is a traditional dish originating from Guatemala, specifically the town of Almolonga. The dish is made with a combination of boneless pork shoulder that's cut into chunks, onions, tomatoes, sesame seeds, pumpkin seeds, garlic, black pepperc...",https://www.tasteatlas.com/choca/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/tortitas-de-yuca,https://cdn.tasteatlas.com//images/dishes/12054680ef4741f29c3b440ae68d12f7.jpg?mw=660,22,Pancake,https://www.tasteatlas.com/pancakes,Tortitas de yuca,,,,"Tortitas de yuca are thick, round pancakes that are made with cooked and mashed cassava (also known as ), a starchy tuberous root that is widely used throughout the countries of Latin America. This Guatemalan specialty can be made in ...",https://www.tasteatlas.com/tortitas-de-yuca/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/zompopos-de-mayo,https://cdn.tasteatlas.com//images/dishes/b966ba4b0ed54e7aaf4ab6a149220681.jpg?mw=660,23,Insect Dish,https://www.tasteatlas.com/insect-dishes,Zompopos de mayo,,,,"Zompopos de mayo is a traditional Guatemalan dish of leaf cutter ants. These are the only insects that are consumed in the country. Due to the fact that the ants are seasonal, they can only be found in May during the rainy season. Once harvested, ...",https://www.tasteatlas.com/zompopos-de-mayo/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/piloyada-antiguena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,24,Salad,https://www.tasteatlas.com/Salads,Piloyada Antigueña,https://www.tasteatlas.com/antigua-guatemala,Antigua Guatemala,,"Piloyada Antigueña is a Guatemalan salad made with piloye beans as the key ingredient. The beans are cooked and combined with other ingredients: onions, chorizo, pork, butifarra sausage, bell peppers, tomatoes, garlic, vinegar, olive oil, s...",https://www.tasteatlas.com/piloyada-antiguena/wheretoeat,,,,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/boxboles,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,25,Side Dish,https://www.tasteatlas.com/Sides,Boxboles,https://www.tasteatlas.com/quiche-department,Quiché Department,,"Boxboles is a traditional Guatemalan dish consisting of cornmeal that is flavored with spices, cheese, and sour cream, while almonds and chili peppers can also be included. The concoction is steamed inside pumpkin leaves. Boxboles are usually serv...",https://www.tasteatlas.com/boxboles/wheretoeat,,,,n/a,,,,,,,,,,,,
