search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/rdkal,https://cdn.tasteatlas.com//Images/Dishes/8c21030151e74962815aa344ee7d1d00.jpg?mw=660,11,Side Dish,https://www.tasteatlas.com/Sides,Rødkål,4.3,Best in   (Copenhagen),Det Lille Apotek,https://www.tasteatlas.com/det-lille-apotek,"Rødkål is a Danish dish consisting of shredded red cabbage that is shortly simmered with red currant juice, vinegar, sugar, and various spices. Quick and easy to prepare, this dish is often enriched with other ingredients such as plai...",READ MORE,https://www.tasteatlas.com/rdkal/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/jodekager,https://cdn.tasteatlas.com//images/dishes/039c0229b5804bec965fb70e690e72c6.jpg?mw=660,12,Cookie,https://www.tasteatlas.com/Cookies,Jødekager,4.0,,,,"Jodekager are Danish cookies that are traditionally made for Christmas. Also known as Jewish cookies, they're made with butter, flour, sugar, and eggs, then brushed with eggwash and topped with a combination of chopped almonds, sugar, and cinnamon...",READ MORE,https://www.tasteatlas.com/jodekager/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/bleskiver,https://cdn.tasteatlas.com//Images/Dishes/981bd4e0ce474faea94acb697366b6c7.jpg?mw=660,13,Pancake,https://www.tasteatlas.com/pancakes,Æbleskiver,4.3,Best in   (Copenhagen),Vaffelbageriet,https://www.tasteatlas.com/Vaffelbageriet,"These light, small-sized Danish pancakes are prepared with a leavened egg batter that is poured and baked in specially designed hollowed pans. Even though they were initially prepared with apples – hence the name – today, they rarely a...",READ MORE,https://www.tasteatlas.com/bleskiver/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/tarteletter,https://cdn.tasteatlas.com//images/dishes/7def78aec0114e5f86c218eda7e6127b.jpg?mw=660,14,Snack,https://www.tasteatlas.com/Snacks,Tarteletter,4.0,Best in   (Aakirkeby),Restaurant Ekkodalshuset,https://www.tasteatlas.com/restaurant-ekkodalshuset,"Danish tarteletter are crispy, pre-baked puff pastry shells used as containers for various fillings. They initially appeared in the late 19th century as a sophisticated dish which slowly became popular among all social classes. Even though these s...",READ MORE,https://www.tasteatlas.com/tarteletter/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/rugbrd,https://cdn.tasteatlas.com//Images/Dishes/00cb2aa07c87445a94e0beb25b82f1c0.jpg?mw=660,15,Bread,https://www.tasteatlas.com/Breads,Rugbrød,3.9,,,,"Rugbrød is a brown rye bread from Denmark, typically used as a base for popular Danish open sandwiches. Usually, it is sliced thinly, buttered, and topped with ingredients such as smoked fish, shrimp, boiled eggs, liver pate, cucumbers, or ...",READ MORE,https://www.tasteatlas.com/rugbrd/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/koldskal,https://cdn.tasteatlas.com//Images/Dishes/56c0134b33ce475fb5410149e7d23a6a.jpg?mw=660,16,Sweet Soup,https://www.tasteatlas.com/sweet-soups,Koldskål,3.5,,,,"Koldskål is a popular Danish buttermilk dessert that is also occasionally enjoyed as a creamy drink. Even though there are numerous regional varieties, most of them combine buttermilk with yogurt, sugar, lemon juice, vanilla essence, and egg...",READ MORE,https://www.tasteatlas.com/koldskal/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/vaniljekranse,https://cdn.tasteatlas.com//Images/Dishes/5ee184527a7244ffbd36d41179f4ac36.jpg?mw=660,17,Cookie,https://www.tasteatlas.com/Cookies,Vaniljekranse,3.9,,,,Vaniljekranse are one of the most famous Danish cookies. They consist of a simple buttery dough which is extruded into long strips and then formed into small circles. These traditional cookies are distinguished by a light taste of vanilla and the ...,READ MORE,https://www.tasteatlas.com/vaniljekranse/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/aeblekage,https://cdn.tasteatlas.com//Images/Dishes/4fcccddf77a048769522181d8dabd306.jpg?mw=660,18,Dessert,https://www.tasteatlas.com/Desserts,Æblekage,4.3,Best in   (Østermarie),Fru Petersens Café,https://www.tasteatlas.com/FruPetersensCafe,"Although the name  can be translated as, this traditional Danish dessert is a sweet treat that has more in common with a  or a . It consists of a creamy, cinnamon-spiced app...",READ MORE,https://www.tasteatlas.com/aeblekage/wheretoeat,,,,,,,,,,,,,æblekage,
https://www.tasteatlas.com/ggekage,https://cdn.tasteatlas.com//Images/Dishes/f4a9d7f39fe3455181fb17ba21ea2dec.jpg?mw=660,19,Egg Dish,https://www.tasteatlas.com/egg-dishes,Æggekage,3.9,Best in   (Spentrup),Hvidsten Kro,https://www.tasteatlas.com/HvidstenKro,"Æggekage is a traditional Danish egg-based dish that resembles an omelet or a thick pancake. It consists of a mixture of lightly beaten eggs, milk, and flour, which is poured in a skillet and topped with various condiments. The dish is usual...",READ MORE,https://www.tasteatlas.com/ggekage/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/chives,https://cdn.tasteatlas.com/images/ingredientgroups/aed2da4a6a53446290f56faab8c7e36b.png?h=120&w=120,,
https://www.tasteatlas.com/leverpostej,https://cdn.tasteatlas.com//Images/Dishes/7110e2cda30141cc832ee1cd5bc12592.jpg?mw=660,20,Pâté,https://www.tasteatlas.com/pates,Leverpostej,3.7,,,,"This versatile liver pâté is one of the most common Danish spreads known as leverpostej. Since it is incredibly popular throughout the country, it appears in numerous varieties which differ in ingredients, flavors, and textures. Next ...",READ MORE,https://www.tasteatlas.com/leverpostej/wheretoeat,https://www.tasteatlas.com/livers,https://cdn.tasteatlas.com/images/ingredientgroups/c6d16f597df2450da7585c92b9bff509.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,,
https://www.tasteatlas.com/fiskefrikadeller,https://cdn.tasteatlas.com//images/dishes/76f480de716b474c9cf3664ae8a0f68e.jpg?mw=660,21,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Fiskefrikadeller,3.8,,,,"Danish fiskefrikadeller are traditional pan-fried fish patties. They are made with a creamy mixture of ground white fish fillets, eggs, milk, onions, and various spices and fresh herbs. Some varieties often incorporate cream, breadcrumbs, and othe...",READ MORE,https://www.tasteatlas.com/fiskefrikadeller/wheretoeat,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,,
https://www.tasteatlas.com/hakkebf,https://cdn.tasteatlas.com//Images/Dishes/1cca1f1908af4cc9b80184c9a5e92c82.jpg?mw=660,22,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Hakkebøf,4.1,,,,"Hakkebøf is the Danish variety of a hamburger patty, usually made with coarsely minced beef. Pan-fried until perfectly crispy, it is typically served alongside caramelized onions and boiled potatoes, a dish often referred to as",READ MORE,https://www.tasteatlas.com/hakkebf/wheretoeat,,,,,,,,,,,,,hakkeb&o...,
https://www.tasteatlas.com/gammeldags-kylling,https://cdn.tasteatlas.com//images/dishes/f8b4fc4537a4438fa0c1150b99b18a55.jpg?mw=660,23,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Gammeldags kylling,4.1,,,,"Pot roast chicken is one of the classic Danish dishes that are typically enjoyed as home-cooked meals. A whole chicken is seared and then slowly braised in a broth, usually alongside onions, parsley, and peppercorns. When thoroughly cooked, the br...",READ MORE,https://www.tasteatlas.com/gammeldags-kylling/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/peppercorns,https://cdn.tasteatlas.com/images/ingredientgroups/208d4c78a6af42c8b06206069f6b1f81.png?h=120&w=120,,
https://www.tasteatlas.com/boller-i-curry,https://cdn.tasteatlas.com//images/dishes/70c173587d4646ca9dc517f0669ec694.jpg?mw=660,24,Meatballs,https://www.tasteatlas.com/meatballs,Boller i karry,4.3,,,,"Boller i karry is a traditional Danish dish that was invented around the 1840s, when the first curry powder mix was introduced to the country. It consists of pork meatballs that are doused in a creamy curry sauce. The dish is typically served over...",READ MORE,https://www.tasteatlas.com/boller-i-curry/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Turkeys,https://cdn.tasteatlas.com/images/ingredientgroups/3fc842b3123740339b921f6e3ee290a8.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,
https://www.tasteatlas.com/mrbradbffer-i-fldesovs,https://cdn.tasteatlas.com//images/dishes/9fd8a10965f24241a5717a1a28e3a35d.jpg?mw=660,25,Casserole,https://www.tasteatlas.com/casserole,Mørbradbøffer i flødesovs,4.0,,,,"This Danish classic employs pork tenderloin that is coupled with hefty amounts of onions, all doused in a creamy sauce. The dish is usually baked as a casserole and is often complemented with mushrooms or crispy bacon bits. It is typically enjoyed...",READ MORE,https://www.tasteatlas.com/mrbradbffer-i-fldesovs/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/whipped-creams,https://cdn.tasteatlas.com/images/ingredientgroups/d411ef79c0124f5e9dc3ae178912f4b6.png?h=120&w=120,,
https://www.tasteatlas.com/drommekage,https://cdn.tasteatlas.com//images/dishes/2160b343c05f43c4969beb30139a9a08.jpg?mw=660,26,Cake,https://www.tasteatlas.com/cakes,Drømmekage,,,,,"Drømmekage (lit. Dream cake) is a traditional Danish cake originating from Hjallerup in Jutland. The cake is made with a combination of flour, sugar, butter, eggs, milk, baking powder, and vanilla. Once prepared, the smooth batter is placed...",READ MORE,https://www.tasteatlas.com/drommekage/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,,n/a
https://www.tasteatlas.com/kransekage,https://cdn.tasteatlas.com//Images/Dishes/c52a4c7ef328458b96f310002f66989f.jpg?mw=660,27,Cake,https://www.tasteatlas.com/cakes,Kransekage,3.6,,,,"Kransekake is a traditional Nordic dessert consisting of a number of concentric cake rings which are usually shaped into a large cone or a tower. The crispy cakes are made with ground almonds, sugar, and egg whites, and are held together with a wh...",READ MORE,https://www.tasteatlas.com/kransekage/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/kammerjunker,https://cdn.tasteatlas.com//images/dishes/e82477a399b64f4da3e99a41fa6b0b63.jpg?mw=660,28,Cookie,https://www.tasteatlas.com/Cookies,Kammerjunker,3.9,,,,"Kammerjunker are popular Danish double-baked cookies. Made with wheat flour and butter, the dough is primarily rolled into a log and baked, then sliced and baked again until crispy. The cookies are usually small in size, typically flavored with ca...",READ MORE,https://www.tasteatlas.com/kammerjunker/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/peberndder,https://cdn.tasteatlas.com//Images/Dishes/fcfb66fa25b04723ab042dc0e65b4588.jpg?mw=660,29,Cookie,https://www.tasteatlas.com/Cookies,Pebernødder,4.0,,,,"Pebernødder cookies are a staple in every Danish household during the Christmas season. They are usually light brown in color, small in size, crispy, and generously seasoned with a variety of spices such as cardamom, cinnamon, nutmeg, ginge...",READ MORE,https://www.tasteatlas.com/peberndder/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/brndende-krlighed,https://cdn.tasteatlas.com//Images/Dishes/65b927f1d61842ba9b5c2d37aaa7c6f1.jpg?mw=660,30,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Brændende kærlighed,4.1,,,,"Brændende kærlighed, which can be translated as , is a simple Danish dish consisting of creamy mashed potatoes topped with fried onions and strips of bacon. Mashed potatoes are usually mixed with butter and seasone...",READ MORE,https://www.tasteatlas.com/brndende-krlighed/wheretoeat,,,,,,,,,,,,,burning love,
https://www.tasteatlas.com/palgschokolade,https://cdn.tasteatlas.com//images/dishes/a39f0b78520b489f8b8795ba4929f4b9.jpg?mw=660,31,Chocolate Dessert,https://www.tasteatlas.com/chocolate-desserts,Pålægschokolade,4.2,,,,"Pålægschokolade is a Danish product that consists of thin, crispy slices of milk or dark chocolate. These slices are traditionally coupled with buttered bread or crackers and make a popular breakfast and lunch staple. The product was f...",READ MORE,https://www.tasteatlas.com/palgschokolade/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/medisterplse,https://cdn.tasteatlas.com//images/dishes/b6a0a7ae7b8f44dcbb4b5a39b5caca4b.jpg?mw=660,32,Sausage,https://www.tasteatlas.com/Sausages,Medisterpølse,4.1,,,,"The spicy medisterpølse is one of the classic Danish pork sausages. Nowadays, it is usually prepared with pork, lard, onions, and a variety of spices such as cloves, allspice, and pepper. It is typically poached for a few minutes before it ...",READ MORE,https://www.tasteatlas.com/medisterplse/wheretoeat,,,,,,,,,,,,,,
