# CSV-File created with merge-csv.com
# -----------------------------------------------------------

search-results__item-image href,search-results__item-image src,Type,Name,Country
https://www.tasteatlas.com/shola,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Shola,Afghanistan
https://www.tasteatlas.com/sheer-pira,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dessert,Sheer pira,Afghanistan
https://www.tasteatlas.com/malida,https://cdn.tasteatlas.com//Images/Dishes/6829ad989b184f77959dc581438722cd.jpg?mw=660,Dessert,Malida,Afghanistan
https://www.tasteatlas.com/afghan-mantu,https://cdn.tasteatlas.com//images/dishes/f60d4b3121da41adbec15cbcb25bc8a7.jpg?mw=660,Dumplings,Afghan mantu,Afghanistan
https://www.tasteatlas.com/sheer-yakh,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Ice Cream,Sheer yakh,Afghanistan
https://www.tasteatlas.com/maushawa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Soup,Maushawa,Afghanistan
https://www.tasteatlas.com/khameerbob,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dumplings,Khameerbob,Afghanistan
https://www.tasteatlas.com/salata,https://cdn.tasteatlas.com//Images/Dishes/e3a5ec60b8e94d6595370d29e407bafb.jpg?mw=660,Salad,Salata,Afghanistan
https://www.tasteatlas.com/khetayee,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cookie,Khetayee,Afghanistan
https://www.tasteatlas.com/golpi,,Plant-based/Vegan Dish,Golpi,Afghanistan
https://www.tasteatlas.com/samaroq,,Plant-based/Vegan Dish,Samaroq,Afghanistan
https://www.tasteatlas.com/shor-nakhod,,Salad,Shor nakhod,Afghanistan
https://www.tasteatlas.com/kulcha-shor,,Snack,Kulcha shor,Afghanistan
https://www.tasteatlas.com/naan-e-afghani,,Flatbread,Naan-e Afghani,Afghanistan
https://www.tasteatlas.com/bonjan-salad,,Appetizer,Bonjan Salad,Afghanistan
https://www.tasteatlas.com/borani-e-bademjan,,Appetizer,Badenjan-burani,Afghanistan
https://www.tasteatlas.com/naan-e-roghani,,Flatbread,Naan-e roghani,Afghanistan
https://www.tasteatlas.com/osh-pyozee,,Appetizer,Osh pyozee,Afghanistan
https://www.tasteatlas.com/sholeh-ghorbandi,,Rice Dish,Sholeh ghorbandi,Afghanistan
https://www.tasteatlas.com/reshtah-palaw,,Rice Dish,Reshtah palaw,Afghanistan
https://www.tasteatlas.com/shalgham-challaw,,Stew,Shalgham challaw,Afghanistan
https://www.tasteatlas.com/qofte-ferguara,https://cdn.tasteatlas.com//Images/Dishes/28d92c45587a48409f328fa2c0aca116.jpg?mw=660,Meatballs,Qofte fÃ«rguara,Albania
https://www.tasteatlas.com/tave-kosi,https://cdn.tasteatlas.com//images/dishes/4b7608861de64b4ea220d6163abcb2c3.jpg?mw=660,Casserole,TavÃ« kosi,Albania
https://www.tasteatlas.com/flija,https://cdn.tasteatlas.com//Images/Dishes/e5cc168df59e4f98a7ff1804dd0c178b.jpg?mw=660,Pancake,Flija,Albania
https://www.tasteatlas.com/shapkat,https://cdn.tasteatlas.com//images/dishes/eaf2e913154b497f8f0105349fb8da4f.jpg?mw=660,Savory Pie,Shapkat,Albania
https://www.tasteatlas.com/fergese-tirane,https://cdn.tasteatlas.com//images/dishes/e0ad2655cb20475e9cb41b7b0df15eb9.jpg?mw=660,Vegetable Dish,FÃ«rgesÃ« Tirane,Albania
https://www.tasteatlas.com/jani-me-fasule,https://cdn.tasteatlas.com//images/dishes/cfa3462a3c184352b1cfbbbdcf82bdd1.jpg?mw=660,Vegetable Soup,Jani me fasule,Albania
https://www.tasteatlas.com/qumeshtor,https://cdn.tasteatlas.com//images/dishes/16f3a5c9b7f2442c831de671659b1c1c.jpg?mw=660,Custard,QumÃ«shtor,Albania
https://www.tasteatlas.com/ballokume,https://cdn.tasteatlas.com//images/dishes/1777fe6eb1fd478b9ec3ce6ed55c4b1c.jpg?mw=660,Cookie,Ballokume Elbasani,Albania
https://www.tasteatlas.com/pace-koke,https://cdn.tasteatlas.com//images/dishes/c7581e1098bf48e1af790b8dc1683085.jpg?mw=660,Stew,PaÃ§e koke,Albania
https://www.tasteatlas.com/sarma-albania,,Ground Meat Dish,Sarma,Albania
https://www.tasteatlas.com/kungullur,,Sweet Pie,Kungullur,Albania
https://www.tasteatlas.com/harapash,,Porridge,Harapash,Albania
https://www.tasteatlas.com/tirana-furghes,,Appetizer,Tirana furghes,Albania
https://www.tasteatlas.com/papare,,Snack,Papare,Albania
https://www.tasteatlas.com/Couscous-algeria,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,Stew,Couscous (dish),Algeria
https://www.tasteatlas.com/mahjouba,https://cdn.tasteatlas.com//images/dishes/609374d8a1974d0aa7d84fb582262aa4.jpg?mw=660,Pancake,Mahjouba,Algeria
https://www.tasteatlas.com/harira-algeria,https://cdn.tasteatlas.com//Images/Dishes/31c8c0d449884b7692a0b12910f25687.jpg?mw=660,Soup,Harira,Algeria
https://www.tasteatlas.com/rechta,https://cdn.tasteatlas.com//images/dishes/9288364b5dec4132b26844ec2d7d2314.jpg?mw=660,Noodle Dish,Rechta,Algeria
https://www.tasteatlas.com/chorba-frik,https://cdn.tasteatlas.com//Images/Dishes/aa325778a367403dab3091939991a2cb.jpg?mw=660,Soup,Chorba frik,Algeria
https://www.tasteatlas.com/chakhchoukha,https://cdn.tasteatlas.com//images/dishes/b019ff38fb52455497d53708c972de4e.jpg?mw=660,Stew,Chakhchoukha,Algeria
https://www.tasteatlas.com/tajine-zitoune,https://cdn.tasteatlas.com//images/dishes/12d8d78e1e6e4d2fb4ddb7f015415a5a.jpg?mw=660,Chicken Dish,Tajine zitoune,Algeria
https://www.tasteatlas.com/garantita,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Street Food,Garantita,Algeria
https://www.tasteatlas.com/msemen-algeria,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,Flatbread,Msemen,Algeria
https://www.tasteatlas.com/maaqouda,https://cdn.tasteatlas.com//images/dishes/276dadfa31ae46c3a612642dc2b7dbac.jpg?mw=660,Appetizer,Maaqouda,Algeria
https://www.tasteatlas.com/lham-lahlou,https://cdn.tasteatlas.com//images/dishes/d0d951f75b2a4b278d622846cca9fd8a.jpg?mw=660,Stew,Lham lahlou,Algeria
https://www.tasteatlas.com/kesra,https://cdn.tasteatlas.com//images/dishes/9a4680b3acca4a0e98f6abfb72dcb949.jpg?mw=660,Flatbread,Kesra,Algeria
https://www.tasteatlas.com/mkhabez,https://cdn.tasteatlas.com//images/dishes/91102d1d417143d9be51ead094ec91a4.jpg?mw=660,Sweet Pastry,Mkhabez,Algeria
https://www.tasteatlas.com/kalb-el-louz,https://cdn.tasteatlas.com//images/dishes/bb804b14578e4687a20265e2795f0ef0.jpg?mw=660,Dessert,Kalb-el-louz,Algeria
https://www.tasteatlas.com/makroud-el-louse,https://cdn.tasteatlas.com//images/dishes/dd7f42b78b6d4727a1033efbaa95119d.jpg?mw=660,Cookie,Makroud el louse,Algeria
https://www.tasteatlas.com/tamina,https://cdn.tasteatlas.com//images/dishes/ee34e1bdf698465895514fe67ae7312b.jpg?mw=660,Dessert,Tamina,Algeria
https://www.tasteatlas.com/shakshouka-algeria,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Algeria
https://www.tasteatlas.com/khobz-el-dar,https://cdn.tasteatlas.com//images/dishes/04960183591b43468a8f362bbff28fd6.jpg?mw=660,Bread,Khobz el dar,Algeria
https://www.tasteatlas.com/bouzellouf,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Offal Dish,Bouzellouf,Algeria
https://www.tasteatlas.com/mbesses,https://cdn.tasteatlas.com//images/dishes/d3f55bf93b724052a0e2c3fb73892b09.jpg?mw=660,Sweet Bread,Mbesses,Algeria
https://www.tasteatlas.com/chorba-beida,https://cdn.tasteatlas.com//images/dishes/043251dd6b934e76a64fe898b70752f5.jpg?mw=660,Chicken Soup,Chorba beÃ¯da,Algeria
https://www.tasteatlas.com/mesfouf,https://cdn.tasteatlas.com//Images/Dishes/b21077560dd34df2bee66e731d1f76b0.jpg?mw=660,Side Dish,Mesfouf,Algeria
https://www.tasteatlas.com/trinxat,https://cdn.tasteatlas.com//Images/Dishes/a71c997322b3451d849ec328f8b0208b.jpg?mw=660,Vegetable Dish,Trinxat,Andorra
https://www.tasteatlas.com/escudella-de-pages,https://cdn.tasteatlas.com//images/dishes/3becbedc42664a4096fa19f5bbaeafac.jpg?mw=660,Soup,Escudella de pagÃ©s,Andorra
https://www.tasteatlas.com/truites-de-carreroles,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Egg Dish,Truites de carreroles,Andorra
https://www.tasteatlas.com/calulu,https://cdn.tasteatlas.com//images/dishes/f00b68dd394f4f1db0b796d2fcd7462a.jpg?mw=660,Stew,Calulu,Angola
https://www.tasteatlas.com/cabidela-angola,https://cdn.tasteatlas.com//Images/Dishes/5e565961e3e74c4bb797f3b2462a5779.jpg?mw=660,Meat Dish,Cabidela,Angola
https://www.tasteatlas.com/funje,https://cdn.tasteatlas.com//images/dishes/2df5715b082c4bceb1c2298d2e1e93b5.jpg?mw=660,Porridge,Funje,Angola
https://www.tasteatlas.com/muamba-de-galinha,https://cdn.tasteatlas.com//Images/Dishes/346d8c20b76b4e9682f02d2dc5dfb9db.jpg?mw=660,Chicken Dish,Muamba de galinha,Angola
https://www.tasteatlas.com/piri-piri-sauce,https://cdn.tasteatlas.com//images/dishes/33ea3a8cb42a4f1b952a54d19b6cd484.jpg?mw=660,Sauce,Piri Piri Sauce,Angola
https://www.tasteatlas.com/kizaka,https://cdn.tasteatlas.com//images/dishes/9e69d589f3c9412fa4ff9e68da335424.jpg?mw=660,Stew,Kizaka,Angola
https://www.tasteatlas.com/cocada-amarela,,Pudding,Cocada amarela,Angola
https://www.tasteatlas.com/catatos,,Insect Dish,Catatos,Angola
https://www.tasteatlas.com/chikwanga-angola,,Bread,Chikwanga,Angola
https://www.tasteatlas.com/gafanhotos-de-palmeira,,Insect Dish,Gafanhotos de palmeira,Angola
https://www.tasteatlas.com/papaya-with-port-wine,,Appetizer,Papaya with Port Wine,Angola
https://www.tasteatlas.com/fungee-and-pepperpot,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Fungee and Pepperpot,Antigua and Barbuda
https://www.tasteatlas.com/ducana,https://cdn.tasteatlas.com//images/dishes/0480a8c6a4ba4d6682cde1a1d34d6472.jpg?mw=660,Dessert,Ducana,Antigua and Barbuda
https://www.tasteatlas.com/goat-water,https://cdn.tasteatlas.com//images/dishes/d19d6c03d9c94dc0af2f54ed1aaf0186.jpg?mw=660,Offal Soup,Goat Water,Antigua and Barbuda
https://www.tasteatlas.com/pork-chops-with-bananas-and-bacon,,Pork Dish,Pork Chops with Bananas and Bacon,Antigua and Barbuda
https://www.tasteatlas.com/antiguan-butter-bread,,Bread,Antiguan Butter Bread,Antigua and Barbuda
https://www.tasteatlas.com/black-angelhair-fritters,,Appetizer,Black Angelhair Fritters,Antigua and Barbuda
https://www.tasteatlas.com/alfajor,https://cdn.tasteatlas.com//Images/Dishes/e56d10e630ae46bcb9e04c7ef912dd04.jpg?mw=660,Cookie,Alfajor,Argentina
https://www.tasteatlas.com/asado,https://cdn.tasteatlas.com//Images/Dishes/bc210d52370b456092dde323280efbb7.jpg?mw=660,Barbecue,Asado,Argentina
https://www.tasteatlas.com/parrilla,https://cdn.tasteatlas.com//images/dishes/ee1a2c7d7ae84299a02d9680a556903f.jpg?mw=660,Barbecue,Parrilla,Argentina
https://www.tasteatlas.com/dulce-de-leche,,Dessert,Dulce de leche,Argentina
https://www.tasteatlas.com/milanesa,,Beef Dish,Milanesa,Argentina
https://www.tasteatlas.com/chimichurri,,Sauce,Chimichurri,Argentina
https://www.tasteatlas.com/medialunas,,Sweet Pastry,Medialunas,Argentina
https://www.tasteatlas.com/choripan,,Sandwich,ChoripÃ¡n,Argentina
https://www.tasteatlas.com/sandwich-de-lomo,,Sandwich,Sandwich de lomo,Argentina
https://www.tasteatlas.com/rogel,,Cake,Rogel,Argentina
https://www.tasteatlas.com/locro,,Stew,Locro,Argentina
https://www.tasteatlas.com/fugazza,,Pizza,Fugazza,Argentina
https://www.tasteatlas.com/sandwiches-de-miga,,Sandwich type,Sandwiches de miga,Argentina
https://www.tasteatlas.com/chocotorta,,Chocolate Cake,Chocotorta,Argentina
https://www.tasteatlas.com/grilledprovoleta,,Cheese Dish,Provoleta,Argentina
https://www.tasteatlas.com/pastafrola,,Tart,Pastafrola,Argentina
https://www.tasteatlas.com/fugazzeta,,Pizza,Fugazzeta,Argentina
https://www.tasteatlas.com/milanesa-napolitana,,Beef Dish,Milanesa napolitana,Argentina
https://www.tasteatlas.com/dulce-de-leche,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,Dessert,Dulce de leche,Argentina
https://www.tasteatlas.com/milanesa,https://cdn.tasteatlas.com//images/dishes/8ae6e3c99b2d41a2a15c57d23a337b4e.jpg?mw=660,Beef Dish,Milanesa,Argentina
https://www.tasteatlas.com/chimichurri,https://cdn.tasteatlas.com//Images/Dishes/00fc3f52336b4a899ef05358d222ae59.jpg?mw=660,Sauce,Chimichurri,Argentina
https://www.tasteatlas.com/medialunas,https://cdn.tasteatlas.com//images/dishes/a2052a3aa95249729fdadee7024d0e79.jpg?mw=660,Sweet Pastry,Medialunas,Argentina
https://www.tasteatlas.com/choripan,https://cdn.tasteatlas.com//Images/Dishes/19ca5c1cba384f128b06dc2de20cd935.jpg?mw=660,Sandwich,ChoripÃ¡n,Argentina
https://www.tasteatlas.com/sandwich-de-lomo,https://cdn.tasteatlas.com//images/dishes/c4bd710987a8424fbf7fec064af81eba.jpg?mw=660,Sandwich,Sandwich de lomo,Argentina
https://www.tasteatlas.com/rogel,https://cdn.tasteatlas.com//images/dishes/15929e32f7284513aed236876c5ca419.jpg?mw=660,Cake,Rogel,Argentina
https://www.tasteatlas.com/locro,https://cdn.tasteatlas.com//Images/Dishes/31d218e770be43b686c9777d6d974dba.jpg?mw=660,Stew,Locro,Argentina
https://www.tasteatlas.com/fugazza,https://cdn.tasteatlas.com//Images/Dishes/5ab9fd06902d4aceaa47f407c508d11d.jpg?mw=660,Pizza,Fugazza,Argentina
https://www.tasteatlas.com/sandwiches-de-miga,https://cdn.tasteatlas.com//Images/Dishes/06b8a62514114b26a19bd2319eba38cd.jpg?mw=660,Sandwich type,Sandwiches de miga,Argentina
https://www.tasteatlas.com/chocotorta,https://cdn.tasteatlas.com//images/dishes/839239a21daa4e56be0f8ff557f61113.jpg?mw=660,Chocolate Cake,Chocotorta,Argentina
https://www.tasteatlas.com/grilledprovoleta,https://cdn.tasteatlas.com//images/dishes/0d12f97ab9a340c9b52473e49cbac41c.jpg?mw=660,Cheese Dish,Provoleta,Argentina
https://www.tasteatlas.com/pastafrola,https://cdn.tasteatlas.com//images/dishes/edc6e9f108ea43988d5e80785fc15d0e.jpg?mw=660,Tart,Pastafrola,Argentina
https://www.tasteatlas.com/fugazzeta,https://cdn.tasteatlas.com//images/dishes/2cd66aff967748e7bc9e4ff227c09182.jpg?mw=660,Pizza,Fugazzeta,Argentina
https://www.tasteatlas.com/milanesa-napolitana,https://cdn.tasteatlas.com//images/dishes/043d4cc3d9ff4870a99de36edab4b87e.jpg?mw=660,Beef Dish,Milanesa napolitana,Argentina
https://www.tasteatlas.com/matambre-relleno,https://cdn.tasteatlas.com//images/dishes/cfbc85bff6eb44be949eb4407fc4b7e6.jpg?mw=660,Beef Dish,Matambre relleno,Argentina
https://www.tasteatlas.com/matambre-a-la-pizza,https://cdn.tasteatlas.com//images/dishes/1265e7ac543f4facaa1a8ffe208c14f9.jpg?mw=660,Meat Dish,Matambre a la pizza,Argentina
https://www.tasteatlas.com/salsa-criolla,https://cdn.tasteatlas.com//images/dishes/ed1645daebe74872a0e3969b85f2d33a.jpg?mw=660,Salsa,Salsa Criolla,Argentina
https://www.tasteatlas.com/dulce-de-batata,https://cdn.tasteatlas.com//images/dishes/7c9d609703034ac6b1cb4ca2095e35a3.jpg?mw=660,Dessert,Dulce de batata,Argentina
https://www.tasteatlas.com/tortas-fritas,https://cdn.tasteatlas.com//images/dishes/b0ba725af07e4488b174620773a5ae18.jpg?mw=660,Snack,Tortas fritas,Argentina
https://www.tasteatlas.com/tira-de-asado,https://cdn.tasteatlas.com//Images/Dishes/a8ba3009074a4f2bbfdb09af78c1ac24.jpg?mw=660,Beef Dish,Tira de asado,Argentina
https://www.tasteatlas.com/tomates-rellenos,https://cdn.tasteatlas.com//images/dishes/92f86b0758df4c4b91f47fc3798a5774.jpg?mw=660,Appetizer,Tomates rellenos,Argentina
https://www.tasteatlas.com/postre-vigilante,https://cdn.tasteatlas.com//images/dishes/150625535b244c2fb7849f6eefc42e55.jpg?mw=660,Cheese Dessert,Postre vigilante,Argentina
https://www.tasteatlas.com/sanguche-de-milanesa,https://cdn.tasteatlas.com//images/dishes/6ddac8c089fb4a49b37487bce17d432d.jpg?mw=660,Sandwich,SÃ¡nguche de milanesa,Argentina
https://www.tasteatlas.com/empanadas-tucumanas,https://cdn.tasteatlas.com//Images/Dishes/15eeb7348fe24cbf80c11e668e967a8e.jpg?mw=660,Savory Pastry,Empanadas Tucumanas,Argentina
https://www.tasteatlas.com/postre-balcarce,https://cdn.tasteatlas.com//images/dishes/4d345b0222354c5a935dfd0c8218fe2e.jpg?mw=660,Cake,Postre Balcarce,Argentina
https://www.tasteatlas.com/faina,https://cdn.tasteatlas.com//images/dishes/8d8c27d5bb624d329d14d5b0ff406c52.jpg?mw=660,Flatbread,FainÃ¡,Argentina
https://www.tasteatlas.com/salsa-golf,https://cdn.tasteatlas.com//Images/Dishes/744ae869783b4411abfe60dba01bf483.jpg?mw=660,Sauce,Salsa golf,Argentina
https://www.tasteatlas.com/flan-mixto,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Flan mixto,Argentina
https://www.tasteatlas.com/asado-con-cuero,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Beef Dish,Asado con cuero,Argentina
https://www.tasteatlas.com/berenjenas-en-escabeche,https://cdn.tasteatlas.com//images/dishes/06e8356237b34f2db8f5107554c2c6f8.jpg?mw=660,Side Dish,Berenjenas en escabeche,Argentina
https://www.tasteatlas.com/cubanitos,https://cdn.tasteatlas.com//images/dishes/dbb75b6d423a4374a52079a3d0e9da03.jpg?mw=660,Wafer,Cubanitos,Argentina
https://www.tasteatlas.com/bolas-de-fraile,https://cdn.tasteatlas.com//images/dishes/9d3b1b6793094437913f3ea4dd3c6bea.jpg?mw=660,Sweet Pastry,Bolas de fraile,Argentina
https://www.tasteatlas.com/milhojas-de-dulce-de-leche,https://cdn.tasteatlas.com//images/dishes/2e6fbcec8f294a5a92ab6092c70d6f3d.jpg?mw=660,Cake,Milhojas de dulce de leche,Argentina
https://www.tasteatlas.com/milanesa-a-caballo,https://cdn.tasteatlas.com//images/dishes/c798ae0c06de4c79936072b220444cb1.jpg?mw=660,Beef Dish,Milanesa a caballo,Argentina
https://www.tasteatlas.com/pastelitos-criollos,https://cdn.tasteatlas.com//images/dishes/7cccdf7d9685414cad379d55f00eb25e.jpg?mw=660,Sweet Pastry,Pastelitos Criollos,Argentina
https://www.tasteatlas.com/cordero-patagonico-al-asador,https://cdn.tasteatlas.com//images/dishes/c828689c2cdc4d70b42981755be29a74.jpg?mw=660,Lamb/Mutton Dish,Cordero patagÃ³nico al asador,Argentina
https://www.tasteatlas.com/trucha-a-la-parrilla,https://cdn.tasteatlas.com//images/dishes/c893d42be55844f6907a2d728de695d4.jpg?mw=660,Freshwater Fish Dish,Trucha a la parrilla,Argentina
https://www.tasteatlas.com/torta-negra-galesa,https://cdn.tasteatlas.com//images/dishes/e224f58bfc40408398a642d0c26e35f3.jpg?mw=660,Cake,Torta negra Galesa,Argentina
https://www.tasteatlas.com/dorada-a-la-parrilla,https://cdn.tasteatlas.com//images/dishes/7972bd53485e4091822b9ada99786867.jpg?mw=660,Saltwater Fish Dish,Dorada a la parrilla,Argentina
https://www.tasteatlas.com/chupin-de-pescado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,ChupÃ­n de pescado,Argentina
https://www.tasteatlas.com/milanesa-de-peceto,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Beef Dish,Milanesa de peceto,Argentina
https://www.tasteatlas.com/guiso-carrero,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Guiso carrero,Argentina
https://www.tasteatlas.com/colchon-de-arvejas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetable Dish,ColchÃ³n de arvejas,Argentina
https://www.tasteatlas.com/lomo-de-llama-argentine,https://cdn.tasteatlas.com//images/dishes/4335192ade6f443d8a97070407b2eaaf.jpg?mw=660,Meat Cut,Lomo de llama,Argentina
https://www.tasteatlas.com/carbonada-criolla,https://cdn.tasteatlas.com//images/dishes/db2092dfe9164be3b1a23f89610f248b.jpg?mw=660,Stew,Carbonada Criolla,Argentina
https://www.tasteatlas.com/revuelto-de-gramajo,https://cdn.tasteatlas.com//images/dishes/c7a215b3b289438b89437f21d11ecbdf.jpg?mw=660,Breakfast,Revuelto de Gramajo,Argentina
https://www.tasteatlas.com/empanada-catamarquena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Savory Pastry,Empanada CatamarqueÃ±a,Argentina
https://www.tasteatlas.com/tamales-saltenos,https://cdn.tasteatlas.com//images/dishes/6be1637007184eae96fbeaffad551562.jpg?mw=660,Meat Dish,Tamales SalteÃ±os,Argentina
https://www.tasteatlas.com/boga-a-la-parrilla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Freshwater Fish Dish,Boga a la parrilla,Argentina
https://www.tasteatlas.com/empanada-cordobesa,https://cdn.tasteatlas.com//images/dishes/b330085bbf8243b8a7f54498ddd0480c.jpg?mw=660,Savory Pastry,Empanada Cordobesa,Argentina
https://www.tasteatlas.com/pacu-a-las-brasas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Freshwater Fish Dish,PacÃº a las brasas,Argentina
https://www.tasteatlas.com/arabian-empanadas,https://cdn.tasteatlas.com//images/dishes/437810ae940f4395831d91bc9d191cb6.jpg?mw=660,Savory Pastry,Arabian Empanadas,Argentina
https://www.tasteatlas.com/ensalada-criolla,https://cdn.tasteatlas.com//images/dishes/579b3fc172354bc2a03ce3ac4e682403.jpg?mw=660,Salad,Ensalada Criolla,Argentina
https://www.tasteatlas.com/panchuker,https://cdn.tasteatlas.com//images/dishes/c0b6c0c78b6d4db28c5f6ae676ca5c9e.jpg?mw=660,Snack,Panchuker,Argentina
https://www.tasteatlas.com/sacramentos,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Pastry,Sacramentos,Argentina
https://www.tasteatlas.com/tortilla-santiaguena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Flatbread,Tortilla SantiagueÃ±a,Argentina
https://www.tasteatlas.com/cazuela-de-llama,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Cazuela de llama,Argentina
https://www.tasteatlas.com/costillas-de-cerdo-a-la-riojana,https://cdn.tasteatlas.com//images/dishes/3b26cb31678a4f53b1f7018a4203e644.jpg?mw=660,Pork Dish,Costillas de cerdo a la Riojana,Argentina
https://www.tasteatlas.com/chimichurri-rojo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sauce,Chimichurri rojo,Argentina
